rank	username	minecraft:mined/minecraft:turtle_egg
1	Racengan	2547
2	thewindmillman	934
3	Mahoose	802
4	kekhon	408
5	legal_tax_evader	328
6	Apollo_993	304
7	h2p_emrld	217
8	Arceus1975	215
9	Bumpy419	213
10	Smoke____	194
11	HellsSponge	185
12	PigDab	155
13	TheShyPig	135
14	Blackberry1310	111
15	SSytex_X	109
16	Deathkob	99
17	youhjjhhhjj	97
18	lcvezra	96
19	H72l9w	88
20	Eraxa	86
21	noam464	82
21	JayToe	82
23	eitanzaki	80
24	500am	78
25	T045RTY	73
26	SmashingPump	71
27	EfficientC52	66
28	FreakGenius	65
29	Huic_ostiarius	62
29	Fizznut909	62
31	SaucyDark	61
32	RebelAndroid	56
33	MilleGrug	55
34	YungMaki	50
35	zToasty69z	46
36	DanTheBuilderino	45
37	Kura2218	44
38	Comma__	42
38	Fullut	42
38	Marbz_	42
41	Hyugo	41
41	eiC_	41
43	Werbe	39
44	pintsizedrogue	37
45	claivin	36
46	titanlax	33
46	SaintJosie	33
48	TechnoNinja64	32
49	Bandito_Roamer	31
50	Akoot_	30
50	Sheldor097	30
52	AuroraValkyrie	29
53	Jackattack53	27
54	Jovaphobic	24
54	Nicky_H225	24
54	xxPipperDipperxx	24
57	Frozil20	23
57	ewsophie	23
57	beeperbeeper5	23
60	Hiryu27	22
60	luseis	22
62	Luigipunch989	21
63	ConnorDanky_	20
63	Zoeyfortnite	20
65	diggydog67	19
66	wezzzi	18
67	Onennon	17
67	DarlaMeow	17
69	livingdaydreams	16
70	MangoTheFish	15
70	Eczbek	15
72	mihimihimihi	14
73	ImpavidArcher	13
73	IAmTheWalrus910	13
75	Maenara	12
76	_Virify_	11
77	ShedJr_	10
77	Da_Boss_Rani	10
77	Scathra	10
77	Rasmanden	10
77	EngagedGrub41	10
77	vandmanden	10
83	12Magner05	9
83	ROY4LE	9
83	EveryonesUncle	9
83	RoofTyler	9
83	Hisiste	9
83	LeeMcGee30	9
89	hm947	8
89	The11thDoctor	8
89	QueenShuvi	8
89	Xclax101	8
89	Skippeh	8
94	Nyxiom_	7
94	MightyWertu	7
94	Soplight	7
94	PortlyPete69	7
94	Steelynan	7
99	Stynxy	6
99	Paintz	6
99	TheSeismicDuck	6
99	_TCARREIRA_	6
99	CalebDHawk	6
99	2bolx_	6
105	Esme_1	5
105	bloodbiter	5
105	SingedBread	5
105	Spacewardharpy7	5
105	Kowcio_	5
105	EcksD	5
105	Quotary	5
112	jacxhadow	4
112	m_be9	4
112	mwrty	4
112	thescout7	4
112	Covalents	4
112	gabriels543	4
112	ItsAki_	4
112	RobotMinion101	4
112	NomadicRobin_	4
112	XxCookiequeenxX	4
112	Blu3beast	4
112	RealGroot	4
112	obzii	4
112	Kubeusz2010	4
112	Dr0xzy	4
112	reaperface123	4
112	smogfrog	4
112	Jimb0nat0r	4
130	_Dean_123	3
130	Inchef	3
130	pappaberg	3
130	binman420	3
130	NameGenerat0r	3
130	Typadopoulos	3
130	Warlord324	3
130	LazySupport00	3
130	Dusk_95	3
130	sp00ky_ghost977	3
130	ARCTICxLORD	3
130	Moetis	3
130	HesDemonPants	3
130	xolstoi	3
144	Elprone266	2
144	tuckerdoodle	2
144	BodaciousCake	2
144	KomputerDude	2
144	Jackster03	2
144	rarrq	2
144	Xalithia	2
144	_Gabae	2
144	Di_infiri	2
144	Queen_Jalapeno	2
144	Donutt	2
144	Rebytre	2
144	Voxin2K	2
144	theofiel	2
144	AuroraSkies	2
144	Inbefour	2
144	El_Jalapeno	2
144	stavgod	2
144	vVip3rzzz	2
144	PlasticOtari	2
164	Groovy_MoonBird	1
164	Alteriity	1
164	Natty	1
164	ThiccExotic	1
164	intropass	1
164	r123moore	1
164	BunkeredTree	1
164	yulgur1	1
164	The_slideV3	1
164	banana_ketchup	1
164	Groundler	1
164	iSammael	1
164	Kyrum2169	1
164	__tomato	1
164	Ezekson	1
164	Earlesstrain4	1
