rank	username	minecraft:mined/minecraft:exposed_cut_copper
1	beeperbeeper5	180
2	Manaateee	17
3	pixelviolin	14
3	SpacesickPrism	14
5	Kowcio_	7
6	luseis	5
7	j5ylim	4
7	Mr_Byzantine	4
9	_Huge_Male_	3
9	jessewegottacook	3
11	UCP_TheKingK	2
11	Steelynan	2
11	Jimb0nat0r	2
11	AdmiralSmoke	2
15	Lez_	1
15	LeauVox4921	1
15	hanaryheatwave	1
15	Mattesco	1
15	Lutres_	1
15	MineMaster0012	1
15	PlasticOtari	1
