rank	username	minecraft:mined/minecraft:oak_slab
1	TheShyPig	1690
2	Mahoose	1406
3	Jiminie	1373
4	Freak_Genius	1325
5	MyNameIsJobo	898
6	MrExplorer	842
7	Onennon	811
8	thescout7	798
9	Mr_Byzantine	781
10	El_Jalapeno	703
11	Ssor69	695
12	EMC_	681
13	Megarboh	680
14	PlasticOtari	655
15	Ezekson	607
16	HellsSponge	597
17	KingMatthew506	588
18	AlphaWolfPlaysMC	587
19	Smoke____	551
20	CSG_Haru	547
21	diggydog67	546
22	fkGrim	536
23	Steelynan	529
24	seanitoo	511
25	MightyWertu	509
26	rarrq	489
27	6king6colt6	468
28	SSytex_X	444
29	Legendosh	423
30	Lord_Jord	413
31	AuroraSkies	405
32	Fildyr	395
33	SammiWolfGirl	394
34	CoffeeNoir	390
35	EveryonesUncle	380
36	Groovy_MoonBird	372
37	pintsizedrogue	363
38	BlancoFlaco	359
39	NoChumpChange	342
40	hcb238	325
40	Hiryu27	325
42	m_be9	321
43	jacxhadow	319
44	Matemaks2137	303
45	Gingayy	292
46	yaboo88	280
47	MixerDixer	275
48	KarlKaek	270
49	The11thDoctor	259
49	tsitrawhy	259
51	Snowflowe	252
52	ChocolatePepsi	248
53	fr0stss	247
54	_Karmaa	244
55	_Dean_123	237
56	CharlieButt	234
57	Winklepicker279	232
58	Racengan	231
59	Freedrik	228
60	Mimiir345	226
61	BlankityMcBlank	225
62	KingFaenor	223
63	SteveCraftBlocks	206
63	Barlycorn	206
65	Quotary	203
66	07shiny	192
67	Jackattack53	191
68	youhjjhhhjj	190
68	Choco_Spy	190
70	MovingFish7	189
71	PigDab	184
72	Xclax101	183
73	PortlyPete69	176
74	BodaciousCake	174
75	Rebytre	173
76	Prodiginus	171
76	bndo	171
78	mwrty	170
78	Stiar	170
80	TheThomas69	169
81	Merv__	156
82	beeperbeeper5	151
83	q_wq	147
83	Smashic	147
85	ogoa	143
86	ProfessorBee	142
86	kyouma777	142
88	CalebDHawk	141
89	Bumpy419	139
90	livingdaydreams	137
91	GingerNeutron	135
92	Ecplosive	133
93	Akoot_	132
94	kekhon	127
95	Di_infiri	122
95	Rumpletaezer	122
97	Deathkob	120
98	oxfordschool	119
99	Iagoku	114
100	DarkS0L	113
101	Spacewardharpy7	112
101	Kukkelikuk	112
103	slkiey	111
104	xxPipperDipperxx	110
105	bruh072	109
106	Blu3beast	108
107	Sqwishy	107
108	Blackberry1310	106
108	SkateboardR6	106
110	LilLizardWizard	105
110	Eraxa	105
112	ProfessorDiaper	104
113	ApophisNova	102
113	MyNamaSheff	102
115	joethahobo	101
115	burbankbuilder28	101
115	anbbang	101
118	whoaluv	99
119	ReyTheLegend	97
120	TJawesome09	96
120	Skippeh	96
120	Calbo_	96
123	The_slideV3	94
123	stahouo	94
125	NebulousBadger	93
126	StinkyDiplomat	92
127	Reamdin	91
127	Aangezet	91
129	YungJakobo	90
130	Lord_Zacler	89
131	Frozil12	88
132	500am	86
133	titanlax	85
133	KGTV	85
135	epiksk8erduck	84
136	dopplexd	80
136	ItzYaBoiPicard	80
136	ItsDeltaMC	80
139	Donutt	77
140	Yatitay	75
140	DemTechAlpha	75
140	Soul_Atreus	75
143	CarryLine	74
143	Kateesaur	74
145	Arceus1975	73
146	laron58	71
146	BreadBacon	71
146	EcksDofficial	71
149	Diavri	70
150	Freeman666	69
151	ImpavidArcher	68
151	Ravenbie	68
151	benediktine1	68
154	Travasaur	67
154	eitanzaki	67
154	KartivGal	67
157	prizm_	66
157	Avermu	66
157	silverpopcorn	66
157	Segotep999	66
