rank	username	minecraft:mined/minecraft:soul_sand
1	Zythose	49946
2	lordpipe	19829
3	Spacewardharpy7	13115
4	HellsSponge	13062
5	Di_infiri	11070
6	NomadicRobin_	10057
7	Frozil12	8429
8	TheShyPig	8111
9	YungMaki	7247
10	Smoke____	6507
11	PigDab	4683
12	pintsizedrogue	4416
13	Racengan	4176
14	ebanana	3903
15	noam464	3841
16	Paintz	3838
17	Zaridey	3623
18	12Magner05	3288
19	Ezekson	3274
20	ApophisNova	3002
20	MyNamaSheff	3002
22	TheSecondLord	2731
23	RebelAndroid	2384
24	Miko_Fullbuster	2270
25	eitanzaki	2222
26	Hyp3rion_	2168
27	Hisiste	2151
28	Blaiku	2058
29	lizardfightclub	2056
30	rarrq	1937
31	Freak_Genius	1889
32	EcksD	1847
33	Snowflowe	1842
34	beeperbeeper5	1736
35	thewindmillman	1720
36	EMC_	1668
37	Groundler	1660
38	Dedalus36	1605
39	Xalithia	1589
40	Enderslayerxz3	1576
41	gcaisawesome	1533
42	500am	1494
43	El_Jalapeno	1474
44	jcool7	1439
45	ROY4LE	1316
46	TechnoNinja64	1253
47	claivin	1186
48	m_be9	1154
49	ImpavidArcher	1065
50	MilleGrug	1028
51	MightyWertu	969
52	Kakolbus	936
53	Skippeh	871
54	Xclax101	857
55	M_Patata	854
56	MasterNueve	849
57	Legendosh	832
58	Eraxa	827
59	Blu3beast	807
60	Menthas	784
60	Werbe	784
62	sxc_	776
63	thescout7	770
64	Jackattack53	768
65	Crowvens	763
66	Fullut	757
67	Groovy_MoonBird	755
68	NinjaKnifeKill	666
69	Winklepicker279	632
70	MyNameIsJobo	624
71	kekhon	622
72	MrExplorer	620
73	Segotep999	590
74	mwrty	578
75	dimondking777	564
76	PortlyPete69	561
77	Spenduh	549
78	T045RTY	526
79	TheSeismicDuck	519
80	Onennon	512
81	Bandito_Roamer	497
82	Blackberry1310	482
83	ProfessorBee	478
84	IAmTheWalrus910	461
85	Rumpletaezer	459
86	ToastedGamingYT	435
87	Vorlice	406
88	HolyVenom	402
88	vandmanden	402
90	Alteriity	397
91	masskedman	396
92	GravitySaint	394
93	Marbz_	393
94	Mahoose	391
95	Arceus1975	390
96	ShedJr_	386
97	set67	370
98	Moofyman	359
99	its_lupus	352
100	himak1	349
101	ratglock	347
102	Bumpy419	337
103	Maenara	315
104	trexgb	308
105	Kowcio_	302
106	Soplight	299
107	oxfordschool	296
108	Megarboh	293
109	drumine	290
110	Winston_Ingram	289
110	PlasticOtari	289
112	loveseeker	287
113	EveryonesUncle	286
114	teslawolf38	285
115	Zoeyfortnite	280
116	Nicserso	279
117	gabriels543	277
117	KG1999	277
117	diggydog67	277
120	Lord_Jord	271
121	RoBe__	269
121	Steelynan	269
123	Sheldor097	266
124	maxdacatv2	264
125	joethahobo	263
125	surfinggiraffejp	263
127	Kubelz	262
127	Hermanni__	262
129	Ssor69	260
129	Dusk_95	260
131	Touched_Bread	259
132	Vizzoid	254
133	monky_irl	253
134	Jovaphobic	252
134	Factoroni	252
136	Windo_licker	244
136	Deathkob	244
138	SingedBread	243
139	Yatitay	234
140	Razzgriz	229
141	Hoid_the_Roamer	227
142	Cowison	226
143	TheOnlyRake	220
144	SammiWolfGirl	219
145	eviltunix	217
146	Barlycorn	215
147	MangoTheFish	209
147	Eczbek	209
149	301851	202
150	_Razar	201
150	The_slideV3	201
152	Rebytre	199
153	selectrix	197
154	_Virify_	196
155	Skylord_Luke	195
156	_stets	190
157	Historical_Sand	186
157	breadbowlgamer	186
159	Ryker	184
159	SuperPooch06	184
161	2blox	180
162	djancak	179
163	livingdaydreams	177
163	CliffEmAll	177
163	TheDankPlatypus	177
166	I_Am_Mushkin	175
167	MSK__	170
168	Myszoaz	167
168	jacxhadow	167
168	fffMike	167
171	Hyugo	166
172	Inbefour	162
173	TheTrueClipse	161
174	Paint	155
175	chipklip	154
176	Seyaboy	153
177	FirsTimeGamingTV	152
177	OfficerAnvil	152
179	Awyrlas	151
179	DarkS0L	151
181	AuroraSkies	148
182	NoChumpChange	146
183	q_wq	145
183	ImDisconnected_	145
185	Swexti	143
186	AuroraValkyrie	138
186	Stynxy	138
188	pixelviolin	137
189	PhantomsGhost_	136
189	Akoot_	136
191	Moetis	135
192	Kynigito	134
192	jnp_gaming	134
194	r123moore	133
195	PegLegPete93	131
195	ori0le	131
197	censorsheep	128
198	Lutres_Torane	127
199	jiggywraps	126
199	Chromary	126
201	Hiryu27	125
202	tobinwilliams	124
203	__tomato	123
204	crying_wolf_13	117
204	RodSerlingCringe	117
206	WyngGoy	115
207	DTwenty	113
208	diamondgolem35	112
209	KeruNatsema	111
210	benediktine1	110
210	GlitchyPlate810	110
212	lotarp	108
213	4774	104
213	Darkgon	104
213	Fizznut909	104
216	youhjjhhhjj	103
216	Euclidoris	103
216	KartivGal	103
216	Shogunite	103
220	SellyZ	102
221	Jimi7hits	101
221	ogoa	101
223	NotMeowMix	100
223	stellarjay	100
223	Kubeusz2010	100
226	KingFaenor	99
226	Nagasaki_Riku	99
228	gaziter10	97
228	Smashic	97
230	Katsuragi0243218	94
231	The_Fulgurator	92
231	Cocoamallows	92
233	KnightmareD	91
234	07shiny	90
235	BobDeBouwer1337	89
235	_8man	89
237	BlancoFlaco	88
237	Ender_Souls	88
239	StinkyDiplomat	87
240	_Karmaa	86
241	Masssonnn	85
241	CarltheCuck	85
241	Corbsman	85
241	Sky_light_KING	85
241	tartanboy	85
246	Batoser	84
246	Prismyst	84
246	The11thDoctor	84
249	JEWISHBadenBeele	83
250	fluddd	82
251	adiccting01	81
251	Powowowow	81
253	Ardennes	80
253	ThatBurritoTh0	80
255	Tolhart	78
255	Guillemet	78
257	soundad	77
257	Kouridragon	77
257	EcksDofficial	77
260	fw3xywashere	76
260	SSytex_X	76
262	KGTV	75
263	MAns_44	74
264	abramgray	73
264	fallingemma	73
266	eiC_	72
266	Nycteus_	72
268	Incinere	71
269	ABUSNA1996	70
270	ItsAki_	69
270	ProfessorDiaper	69
272	JayToe	68
273	TooManyDuck	67
273	shyshyannne	67
273	Leyna3	67
273	Rainaldus	67
277	Merv__	66
277	SaucyDark	66
277	dartwaffle	66
277	Lowjinx	66
281	jspwn	65
281	peach0s	65
281	Malorn_Aetherius	65
281	Giannism	65
281	Fuad_R	65
286	MattieHD	64
286	King_Pancake1	64
286	Kokeech	64
289	Nicky_H225	63
289	Quincannon	63
291	6king6colt6	62
292	theonlymagikarp	61
292	AlexxO_o	61
292	SkateboardR6	61
292	_TCARREIRA_	61
296	RoskobiOne	60
296	RobotMinion101	60
296	Jiminie	60
296	obzii	60
300	Wowful	59
