rank	username	minecraft:mined/minecraft:andesite
1	joethahobo	274149
2	gcaisawesome	230247
3	Spacewardharpy7	220433
4	EMC_	128357
5	Iamthejo	99396
6	Werbe	97969
7	PigDab	97353
8	HellsSponge	95763
9	YungMaki	89460
10	Ezekson	78242
11	Di_infiri	78137
12	EcksD	77810
13	AdmiralSmoke	76095
14	noam464	72846
15	TheShyPig	70661
16	12Magner05	58143
17	Blaiku	50974
18	Steelynan	50549
19	pintsizedrogue	48969
20	lordpipe	47424
21	beeperbeeper5	45070
22	Zythose	42204
23	vandmanden	36522
24	NatalieTW	36251
25	Deathkob	31141
26	m_be9	30291
27	PazinGaming	30097
28	EveryonesUncle	29219
29	Skippeh	27222
30	non089	26925
31	Hyp3rion_	25159
32	RebelAndroid	24474
33	TheSecondLord	24397
34	Mewar	24339
35	Jonafrog99	19526
36	mihimihimihi	19320
37	500am	18784
38	Enderxz3	18336
39	MirielThePastor	18212
40	eitanzaki	18116
41	Kakolbus	18069
42	Cowison	16893
43	MyNameIsJobo	16497
44	Mahoose	16464
45	Snowflowe	15617
46	Blackberry1310	15075
47	thewindmillman	14933
48	Xclax101	14695
49	Manaateee	14588
50	luseis	13744
51	PlasticOtari	13680
52	Marbz_	13571
53	ImpavidArcher	13479
54	Inchef	13211
55	MinttyFressh	12718
56	El_Jalapeno	12466
57	FreakGenius	12400
58	PhantomsGhost_	12353
59	Spenduh	12295
60	SuperPooch06	12066
61	Franco093	12059
62	ProfessorBee	12036
63	kekhon	11876
64	Legendosh	11819
65	Lord_Jord	11667
66	OrewaSora	11447
67	Nicserso	11111
68	Onennon	11066
69	ApophisNova	10592
69	MyNamaSheff	10592
71	CoffeeNoir	10477
72	thescout7	10383
73	FelixPSY375	10368
74	Jackattack53	10333
75	Frozil20	10274
76	rarrq	10264
77	Skylord_Luke	10152
78	Maenara	9811
79	Segotep999	9506
80	MilleGrug	9473
81	Hisiste	9443
82	_i_ERROR_i_	9375
83	Inbefour	9305
84	obzii	9107
85	hanaryheatwave	8890
86	Kowcio_	8711
87	FishyBoy3811	8706
88	Rasmanden	8341
89	xzvu	8136
90	Ryan_GEMS	7935
91	TechnoNinja64	7817
92	Bumpy419	7728
93	yulgur1	7716
94	Rumpletaezer	7529
95	mwrty	7508
96	Mattesco	7500
97	T045RTY	7463
98	Fullut	7423
99	q_wq	7403
