rank	username	minecraft:mined/minecraft:lime_stained_glass_pane
1	Groundler	158
2	Hyp3rion_	154
3	DTwenty	113
4	Lez_	88
5	ROY4LE	43
6	Werbe	38
7	Fullut	37
8	Rumpletaezer	36
9	Inbefour	32
10	EveryonesUncle	26
10	Kowcio_	26
12	pintsizedrogue	14
13	SuperPooch06	10
14	TheSecondLord	9
15	_Huge_Male_	8
15	Alteriity	8
15	NameGenerat0r	8
18	CLG_Kata	7
19	Groovy_MoonBird	6
19	Crowman1	6
19	Druid95	6
19	PlasticOtari	6
23	Secret_Canary	5
23	Snowflowe	5
25	noam464	4
26	titanlax	3
26	MrExplorer	3
28	lillips	2
28	Shogunite	2
30	Orcus113	1
30	tobinwilliams	1
30	Nicserso	1
30	Jimb0nat0r	1
