rank	username	minecraft:mined/minecraft:birch_door
1	MangoTheFish	50
1	Eczbek	50
3	ZoomieZoomie	38
4	smarticuno	31
5	Freak_Genius	27
6	xxPipperDipperxx	24
7	jacxhadow	20
8	Arceus1975	18
9	Ezekson	16
10	Dedalus36	15
11	CarltheCuck	14
11	cichy096	14
13	joethahobo	12
14	pintsizedrogue	11
15	Optiprimus	10
15	brofrickcheaters	10
17	Wooptey	9
17	_Dean_123	9
17	ProfessorDiaper	9
17	Smoke____	9
21	HesDemonPants	8
22	Lez_	7
22	Kubelz	7
22	Werbe	7
25	tuckerdoodle	6
25	himak1	6
25	LotusProject	6
25	noam464	6
25	Rebytre	6
25	Spacewardharpy7	6
25	djancak	6
32	error10101	5
32	jaimshae	5
32	Kubeusz2010	5
35	beeperbeeper5	4
35	Fullut	4
35	Dali1465	4
35	KeruNatsema	4
35	TheEnderman548	4
35	LeeMcGee30	4
41	Tommhh	3
41	EMC_	3
41	ShedJr_	3
41	DBoydart303	3
41	TheSecondLord	3
41	kekhon	3
41	Myhym	3
41	lordpipe	3
41	ReyTheLegend	3
50	Menthas	2
50	Paint	2
50	teslawolf38	2
50	titanlax	2
50	Kakolbus	2
50	whoaluv	2
50	bee_gorl	2
50	HolyVenom	2
50	Soplight	2
50	Steelynan	2
50	Enderslayerxz3	2
50	jnp_gaming	2
50	BiggieDawg	2
63	nataliecool	1
63	Yatitay	1
63	6king6colt6	1
63	Base_Tempest	1
63	MC_Gamer_Geek	1
63	Mahoose	1
63	Kirrow	1
63	bloodbiter	1
63	MinttyFressh	1
63	eclipseboi	1
63	NoraTheYandere	1
63	XboxPanda	1
63	Di_infiri	1
63	SuperPooch06	1
63	p4lp	1
63	fred870d	1
63	Kokeech	1
63	Jimi7hits	1
63	Jrose2000	1
63	Lord_Jord	1
63	420BreadLizard	1
63	EveryonesUncle	1
63	proxivitoid	1
63	El_Jalapeno	1
63	YungMaki	1
63	fffMike	1
63	anbbang	1
63	EcksD	1
63	RadarHz	1
63	AltnumberF4	1
63	n0nz	1
63	PlasticOtari	1
63	00000000-0000-0000-0009-01fbab7ea71d	1
63	00000000-0000-0000-0009-01f898304150	1
