rank	username	minecraft:mined/minecraft:birch_log
1	Smoke____	63579
2	beeperbeeper5	14083
3	Blackberry1310	12502
4	joethahobo	7479
5	Snowflowe	7368
6	EveryonesUncle	6228
7	TheShyPig	5981
8	sp00ky_ghost977	5902
9	lordpipe	5885
10	BlancoFlaco	5182
11	KarlKaek	5014
12	Di_infiri	4923
13	tuckerdoodle	4903
14	Cowison	4791
15	FreakGenius	4564
16	pintsizedrogue	4508
17	MyNameIsJobo	4294
18	El_Jalapeno	4148
19	kekhon	3923
20	thewindmillman	3854
21	NomadicRobin_	3781
22	PlasticOtari	3758
23	Mahoose	3552
24	Skylord_Luke	3511
25	_Nuf	3329
26	luseis	3135
27	Wowful	3056
28	MightyWertu	3045
29	YungMaki	3010
30	Legendosh	2964
31	CoffeeNoir	2798
32	Ezekson	2670
33	Enderxz3	2625
34	HellsSponge	2597
35	Rasmanden	2457
36	PazinGaming	2383
37	TooManyDuck	2292
38	_Karmaa	2274
39	RebelAndroid	2271
40	EcksD	2235
41	xzvu	2182
42	Simon_Lowell	2081
43	Groundler	2068
44	Werbe	1957
45	Elastiq	1928
46	rarrq	1923
47	yulgur1	1836
48	Jimb0nat0r	1795
49	Mattesco	1773
50	diggydog67	1767
51	_Cloverbelle_	1758
52	Akoot_	1698
53	Kryktal	1682
54	MrKrabOnCoke	1663
55	_Dean_123	1662
56	Iamthejo	1611
57	NoChumpChange	1607
58	Zythose	1533
59	Spacewardharpy7	1528
60	Jonafrog99	1507
61	PortlyPete69	1487
62	Kakolbus	1457
63	nocturne78	1424
64	Malorn_Aetherius	1418
65	500am	1407
66	AlexStrange	1369
67	SpacesickPrism	1347
68	Quotary	1345
69	Mr_Byzantine	1343
70	Jackattack53	1328
71	eviltunix	1320
72	Giannism	1290
73	Krasnal1337	1281
74	Kowcio_	1241
75	eitanzaki	1204
76	EMC_	1199
77	anbbang	1193
78	Lord_Jord	1181
79	ImpavidArcher	1158
80	LordSpeed37	1128
81	LeauVox4921	1124
82	legal_tax_evader	1108
83	PhantomsGhost_	1093
84	Crowman1	1087
85	r123moore	1069
86	ProfessorBee	1040
87	vandmanden	1035
88	Hermanni__	1025
89	Racengan	1023
90	SuperPooch06	1013
91	tompup	1012
92	Zedducius	993
93	Alteriity	968
94	Frozil20	966
95	Truckoss	961
96	Eczbek	959
97	dendydoom	956
98	BumbleBeever	953
99	AlexxO_o	928
100	LeeMcGee30	919
101	eiC_	910
101	IAmTheWalrus910	910
103	_Virify_	909
104	livingdaydreams	893
105	Winston_Ingram	878
106	gcaisawesome	872
107	cichy096	867
108	DkansK	863
109	DiscardedCE	831
110	noam464	830
111	Steelynan	824
112	Heisenbberrg	823
113	Zielo2017PL	809
114	Inchef	795
115	XboxPanda	786
116	DTwenty	763
117	__Fanda__	751
117	PlzNoBM	751
119	KingMatthew506	744
120	TheSecondLord	730
121	Hoid_the_Roamer	727
122	Merv__	726
123	mwrty	711
124	teslawolf38	696
125	mihimihimihi	692
126	Huwulling	689
127	Human_Resource	685
128	Deerfoot	684
129	Nycteus_	677
130	ShedJr_	650
131	Ryker	649
132	picardred	641
133	Deathkob	632
133	RoofTyler	632
135	obzii	621
136	Esme_1	619
137	ZeroAbyssTTV	615
138	ApophisNova	614
