rank	username	minecraft:mined/minecraft:lily_of_the_valley
1	Legendosh	1078
2	Mahoose	309
3	500am	257
4	Di_infiri	214
5	TheShyPig	148
6	pintsizedrogue	147
7	KeruNatsema	111
8	Fullut	106
9	Freak_Genius	98
10	Hyp3rion_	94
10	sebastiensaborio	94
12	kekhon	74
13	Cowison	73
14	livingdaydreams	70
14	claivin	70
14	oxfordschool	70
17	fluddd	63
18	Racengan	57
19	EcksDofficial	53
20	SaucyDark	52
21	Enigma0251	48
22	CoffeeNoir	45
23	wezzzi	43
24	Prayingninja	42
24	__tomato	42
26	l1dkv	41
27	Xalithia	40
27	_zzoe	40
29	lordpipe	39
30	Skylord_Luke	38
31	Winklepicker279	37
32	Rasmanden	36
33	orxngejuice	35
34	jnp_gaming	34
35	Lirael42	29
35	YungMaki	29
37	Merv__	27
37	Spaghettatron	27
37	titanlax	27
37	MrExplorer	27
37	AnnieBathory	27
37	Smoke____	27
43	MSK__	26
44	ImpavidArcher	25
45	MightyWertu	24
46	KarlKaek	23
47	XxCookiequeenxX	22
47	DarlaMeow	22
49	RatatJuice	21
49	MyNameIsJobo	21
51	xxPipperDipperxx	20
51	jaimshae	20
53	RoskobiOne	19
53	Paint	19
53	hm947	19
53	Dali1465	19
53	AlexStrange	19
58	6king6colt6	18
58	BlancoFlaco	18
58	MyNameIsDakar	18
58	_Karmaa	18
62	Frozt99	17
62	Nicky_H225	17
62	Chromary	17
62	YahooScreen9000	17
62	DTwenty	17
62	sp00ky_ghost977	17
68	Kakolbus	16
68	mountaingirl311	16
70	eitanzaki	15
70	Deathkob	15
70	NameGenerat0r	15
70	Eraxa	15
70	alderban107	15
70	Quotary	15
76	beeperbeeper5	14
76	TheSeismicDuck	14
76	EveryonesUncle	14
79	Mimiir345	13
79	dezxalo	13
79	ProfessorDiaper	13
82	Bolete	12
82	CruncyIsTaken	12
82	Vetral1	12
82	SammiWolfGirl	12
82	Ezekson	12
87	Inchef	11
87	BlueZabu	11
87	Windo_licker	11
87	Onennon	11
87	Inbefour	11
87	stahouo	11
93	Wooptey	10
93	purpolepickle	10
93	burbankbuilder28	10
93	Jiminie	10
93	HellsSponge	10
93	Xclax101	10
93	obtusely	10
100	SugarMyNuggets	9
100	Bandito_Roamer	9
100	GlitchyPlate810	9
103	ProfessorBee	8
103	masskedman	8
103	Katsuragi0243218	8
103	NoChumpChange	8
103	lcvezra	8
103	TechnoNinja64	8
103	WYFYoyo	8
110	La_Conne	7
110	LoganDSA	7
110	Kubelz	7
110	M_Patata	7
110	mads388a	7
110	MasterNueve	7
110	JasmineGK	7
117	T045RTY	6
117	crying_wolf_13	6
117	Awyrlas	6
117	finbob5	6
117	Marbz_	6
117	fred870d	6
117	natajimi	6
117	Jiminbub	6
117	Syropatathe	6
117	the_russell1611	6
117	sadvavilloso	6
117	Soplight	6
129	LittleBug562	5
129	heckface	5
129	TheSecondLord	5
129	PegLegPete93	5
129	Rumpletaezer	5
129	Toasty_Tom	5
129	IdeallyGrey	5
129	RadarHz	5
129	Teebone15	5
138	heysushii	4
138	numbra	4
138	TheMaster972	4
138	12Magner05	4
138	noam464	4
138	thewindmillman	4
138	Zythose	4
138	nut_e	4
138	Kouridragon	4
138	Leyna3	4
138	Akoot_	4
138	CalebDHawk	4
138	adiccting01	4
138	Freedrik	4
152	Menthas	3
152	ProbablyNick	3
152	DepressedCubic	3
152	Sleek_Storm_721	3
152	cowgirlkasia	3
152	Blackberry1310	3
152	XboxPanda	3
152	gabriels543	3
152	Arceus1975	3
152	NomadicRobin_	3
152	Blu3beast	3
152	Dusk_95	3
152	_JrTurtle_	3
152	PlasticOtari	3
152	diggydog67	3
167	AuroraValkyrie	2
167	EMC_	2
167	Zippyzam	2
167	Incinere	2
167	RebelAndroid	2
167	NinjaKnifeKill	2
167	Myszoaz	2
167	joethahobo	2
167	oreee	2
167	gilesmcriles	2
167	_Dean_123	2
167	G1ldor	2
167	Scathra	2
167	CharlieButt	2
167	StylesK	2
167	whoaluv	2
167	Rebytre	2
167	Shiirazuku	2
167	PigDab	2
167	bluefragmentt	2
167	halfbakedlasagna	2
167	SkateboardR6	2
167	Kyrum2169	2
167	laron58	2
167	Enderslayerxz3	2
167	561cool	2
193	funeralhome	1
193	_Virify_	1
193	teslawolf38	1
193	neurotic_a	1
193	Begformurrcy	1
193	diamondgolem35	1
193	RowanYourBoat111	1
193	1dss	1
193	rarrq	1
193	Stynxy	1
193	Prodiginus	1
193	jacxhadow	1
193	bloodbiter	1
193	Jokerman369	1
193	LotusProject	1
193	surfinggiraffejp	1
193	intropass	1
193	ROY4LE	1
193	WWWWMWWWWWWWWWWW	1
193	TableTim	1
193	Typkazprahe	1
193	Ecplosive	1
193	TakeThis2UrGrave	1
193	SuperPooch06	1
193	Snowflowe	1
193	Rocco_Lane	1
193	CaymusKid	1
193	The11thDoctor	1
193	p4lp	1
193	epiksk8erduck	1
193	Cattoh	1
193	ClemenPine	1
193	Holden_17	1
193	LexMakesHistory	1
193	GlitchMixed	1
193	Quincannon	1
193	MangoSalad316	1
193	Frozil12	1
193	SingedBread	1
193	lolpoottoot	1
193	Spacewardharpy7	1
193	ElKaySVK	1
193	iTheRaiden	1
193	TheEnderman548	1
193	KG1999	1
193	07shiny	1
193	_TCARREIRA_	1
193	Poppy235	1
193	PortlyPete69	1
193	al626win52	1
193	Vellu21	1
193	Skippeh	1
193	RoboTramp7865	1
193	DyDyRo	1
193	imaginek1d	1
193	Oxygen16	1
193	MeetTheWollo	1
193	Sral7	1
193	h2p_emrld	1
193	00000000-0000-0000-0009-01f73aa9620f	1
