rank	username	minecraft:mined/minecraft:stripped_jungle_log
1	PlasticOtari	290
2	ConnorDanky_	247
3	eitanzaki	221
4	MightyWertu	182
5	Mahoose	176
6	PigDab	171
7	TheShyPig	167
8	Stiar	149
9	_Virify_	143
10	Airem_Core	91
11	Huwulling	79
12	noam464	73
13	Winklepicker279	56
14	joethahobo	51
14	luseis	51
16	kekhon	46
17	EveryonesUncle	32
18	AuroraValkyrie	27
19	SvenskaHugo	22
20	MyNameIsJobo	20
21	BronkerBrum	15
21	yulgur1	15
21	Factoroni	15
21	Smoke____	15
25	Windo_licker	14
26	Deathkob	13
26	jnp_gaming	13
28	Prodiginus	12
28	ItsJunoIGuess	12
28	KingMatthew506	12
31	KarlKaek	11
32	SpacesickPrism	10
32	Steelynan	10
34	eiC_	9
34	Soplight	9
36	UCP_TheKingK	8
37	Blackberry1310	7
37	500am	7
37	Fullut	7
37	Werbe	7
37	ZA07	7
42	Merv__	6
42	mwrty	6
42	Rebytre	6
42	HellsSponge	6
46	ROY4LE	5
46	MilleGrug	5
48	T045RTY	4
48	IWorkAtIkea	4
48	ooga47	4
48	Toiton	4
48	Groundler	4
48	bladeefan2009	4
54	Cryptacity	3
54	lillips	3
54	NameGenerat0r	3
54	OffWithTheirHead	3
54	MineMaster0012	3
59	FazeObama69	2
59	ImpavidArcher	2
59	QuiCreans	2
59	SteveCraftBlocks	2
59	Kamflame10	2
59	Zaridey	2
59	Marbz_	2
59	Di_infiri	2
59	RefluxRatio	2
59	Onennon	2
59	fkGrim	2
59	MovingFish7	2
59	EngagedGrub41	2
72	Bandito_Roamer	1
72	dudcreeper	1
72	CryoInferno_	1
72	BlancoFlaco	1
72	SaucyDark	1
72	Sna_Ke	1
72	CoffeeNoir	1
72	H72l9w	1
72	Historical_Sand	1
72	Swexti	1
72	nocturne78	1
72	beeperbeeper5	1
72	m_be9	1
72	MattieHD	1
72	_Dean_123	1
72	CollinMH06	1
72	Hyp3rion_	1
72	S4tox	1
72	msJabberwock	1
72	Corbsman	1
72	TheWildMateo	1
72	AlexxO_o	1
72	cedric72	1
72	KeruNatsema	1
72	Akoot_	1
72	DarlaMeow	1
72	weabis	1
72	FreakGenius	1
72	Typadopoulos	1
72	mihimihimihi	1
72	Kura2218	1
72	Eraxa	1
72	Kowcio_	1
72	SammiWolfGirl	1
72	Kferno	1
72	Skippeh	1
72	anbbang	1
72	RadarHz	1
72	Enderxz3	1
72	TechnoNinja64	1
72	coobert42	1
