rank	username	minecraft:mined/minecraft:birch_stairs
1	SuperPooch06	1054
2	EveryonesUncle	910
3	TheShyPig	833
4	Legendosh	607
5	rarrq	439
6	pintsizedrogue	413
7	Mahoose	339
8	Blackberry1310	321
9	Simon_Lowell	285
10	Freak_Genius	244
11	Russiancat1	241
12	Stiar	222
13	_Karmaa	197
14	lordpipe	179
15	PabloGonza02	148
16	phomic	145
17	Dedalus36	143
18	_Dean_123	141
19	MyNameIsJobo	138
20	xxPipperDipperxx	136
21	Wooptey	135
22	Soplight	133
23	SkyHighSkier	126
24	Skyler_Diablo	105
25	Smoke____	99
26	Arceus1975	85
27	KarlKaek	84
27	500am	84
29	_Cloverbelle_	82
30	ItzYaBoiPicard	79
31	egglapras	77
32	ImpavidArcher	72
32	beeperbeeper5	72
34	The_slideV3	71
35	Nicky_H225	70
35	TechnoNinja64	70
37	ProfessorDiaper	67
38	InfernalMound	66
39	Ezekson	65
40	IAmTheWalrus910	62
41	OnlyOfficial	61
42	ROY4LE	60
42	MakeHistory157	60
42	sebastiensaborio	60
45	Jackattack53	59
45	dendydoom	59
45	Kryktal	59
48	ApophisNova	58
48	MyNamaSheff	58
50	Rebytre	55
51	Merv__	54
51	The11thDoctor	54
53	Ssor69	53
53	anbbang	53
55	12Magner05	52
55	Racengan	52
57	Onennon	51
58	Snowflowe	50
58	Hoid_the_Roamer	50
60	MangoSalad316	49
61	Jokerman369	48
62	Eraxa	47
63	Diavri	46
63	BreadBacon	46
65	CoffeeNoir	45
66	bloodbiter	44
67	LexMakesHistory	43
67	h2p_emrld	43
69	ooga47	41
69	Vetral1	41
69	Blu3beast	41
72	heckface	40
72	SirMinza	40
72	mwrty	40
75	Yatitay	38
75	titanlax	38
77	MonitorLizards	37
78	Wowful	34
79	Optiprimus	33
79	cichy096	33
81	WET_WET_WET	32
82	seramalen	31
83	NYJ	30
84	DBoydart303	29
84	EcksDofficial	29
86	EMC_	28
86	Austinizzle	28
86	chipklip	28
86	Eczbek	28
90	dudcreeper	27
90	Adlair	27
92	littlesophiagirl	26
92	jacxhadow	26
94	livingdaydreams	25
94	kekhon	25
94	NotTrixi	25
97	ChocolatePepsi	24
98	diamondgolem35	23
98	surfinggiraffejp	23
98	Frozil12	23
101	Myszoaz	22
101	MelodyGaysharks	22
103	pr33tu	20
103	Awyrlas	20
103	Dali1465	20
103	oxfordschool	20
103	Nicserso	20
108	swag_bro2004	19
108	Skylord_Luke	19
110	angwla	18
110	UncreativeArtist	18
110	Inbefour	18
110	Deathkob	18
110	jnp_gaming	18
115	6king6colt6	17
