rank	username	minecraft:mined/minecraft:polished_granite_slab
1	joethahobo	1649
2	Mahoose	1415
3	Steelynan	978
4	AdmiralSmoke	917
5	Merv__	496
6	beeperbeeper5	479
7	AlphaWolfPlaysMC	430
8	Doom_melon	338
9	valkam13	158
10	bearlystraight	155
11	Ssor69	128
11	Werbe	128
13	Touched_Bread	100
14	seramalen	97
15	xolstoi	91
16	Jackattack53	89
17	ShedJr_	87
18	luseis	86
19	kekhon	79
20	Crizma_	78
21	Mr_Byzantine	64
22	Winklepicker279	57
23	Hoid_the_Roamer	55
24	Lord_Jord	54
25	BobDeBouwer1337	52
25	_Bguette_	52
27	KarlKaek	50
28	YungMaki	48
28	Enderxz3	48
30	Frozil20	47
30	Onennon	47
32	stellarjay	45
32	CalebDHawk	45
34	_Karmaa	42
35	tlustyCZARNY	32
35	PlasticOtari	32
37	ImpavidArcher	31
38	MoistMicrowave	29
39	Akoot_	27
39	DanTheBuilderino	27
39	Ezekson	27
42	Racengan	24
43	_stets	20
44	ApophisNova	18
44	MyNamaSheff	18
46	TheThomas69	16
46	Soplight	16
48	youhjjhhhjj	15
48	SingedBread	15
48	Nicserso	15
51	mwrty	14
52	pintsizedrogue	13
52	LeauVox4921	13
52	NameGenerat0r	13
55	SexcMf	12
55	Legendosh	12
57	SaucyDark	11
57	Deerfoot	11
59	Hpdinosaur	10
59	bpmm	10
59	FGamerJ	10
62	Huwulling	8
62	Historical_Sand	8
62	Inchef	8
62	Moofyman	8
66	Stiar	7
67	m_be9	6
67	NNikitas	6
67	TheShyPig	6
67	Tergandius	6
67	ProfessorDiaper	6
72	PazinGaming	5
72	himak1	5
72	Kakolbus	5
72	oscminus	5
72	Deathkob	5
72	Spacewardharpy7	5
72	Kowcio_	5
72	Quotary	5
80	Groovy_MoonBird	4
80	the_fireminer	4
80	noam464	4
80	pappaberg	4
80	Matorz	4
80	Eraxa	4
86	eitanzaki	3
86	12Magner05	3
86	Fullut	3
86	claivin	3
90	Lukeee33	2
90	2Stout	2
90	Snowflowe	2
90	lillips	2
90	Meatlaugh	2
90	Dakar_	2
90	fluddd	2
90	pixelviolin	2
90	VentiHilton	2
90	laron58	2
100	j5ylim	1
100	TheSecondLord	1
100	Kkanot	1
100	r123moore	1
100	Felenov	1
100	ItsAki_	1
100	TiborSterle	1
100	razorarctic	1
100	BlankityMcBlank	1
100	tartanboy	1
100	jnp_gaming	1
