rank	username	minecraft:mined/minecraft:magenta_bed
1	Mahoose	67
2	HellsSponge	50
3	Arceus1975	16
4	ApophisNova	13
4	MyNamaSheff	13
6	beeperbeeper5	9
7	luseis	7
7	SammiWolfGirl	7
9	Bandito_Roamer	6
9	Kateesaur	6
11	500am	5
11	El_Jalapeno	5
11	Blu3beast	5
14	Lez_	4
14	DarlaMeow	4
14	lcvezra	4
17	kekhon	3
17	natajimi	3
17	masskedman	3
20	NatalieTW	2
20	SaucyDark	2
20	thewindmillman	2
20	YahooScreen9000	2
20	OverallConcept	2
20	Soul_Atreus	2
26	pintsizedrogue	1
26	Jorrdi	1
26	Frozil20	1
26	Esme_1	1
26	Frxnkz	1
26	ROY4LE	1
26	IronyMan69	1
26	Chromary	1
26	Smussa	1
26	FishyBoy3811	1
26	Maenara	1
26	_Crimson_Legate	1
26	Quaintster	1
26	MAns_44	1
26	fluddd	1
26	Blaiku	1
26	monky_irl	1
26	YungMaki	1
26	djancak	1
26	Bawbman	1
26	Professor_x8	1
26	jcool7	1
26	TechnoNinja64	1
