rank	username	minecraft:mined/minecraft:white_stained_glass
1	noam464	8869
2	Hyp3rion_	4617
3	pintsizedrogue	3729
4	eitanzaki	3345
5	XboxPanda	3217
6	Spacewardharpy7	2764
7	lordpipe	2654
8	Smoke____	2283
9	beeperbeeper5	1920
10	Racengan	1915
11	Di_infiri	1897
12	m_be9	1183
13	Blaiku	1170
14	obzii	865
15	jnp_gaming	789
16	T045RTY	754
17	PigDab	638
18	Arceus1975	590
19	Enderslayerxz3	534
20	Snowflowe	522
21	stavgod	471
22	Chromary	430
23	jimintyy	401
24	Jackattack53	384
25	ApophisNova	366
25	MyNamaSheff	366
27	BumbleBeever	345
28	Soplight	339
29	ShedJr_	301
30	r123moore	294
31	Drlzyy	256
32	Groundler	249
33	MightyWertu	240
34	kekhon	237
35	Xalithia	233
36	Incinere	226
37	Mahoose	212
38	Blu3beast	196
39	Mewar	195
40	Zoeyfortnite	182
41	ImpavidArcher	169
42	gcaisawesome	167
43	KG1999	166
44	mawileite	164
45	Werbe	163
45	AssEatrAndLicker	163
47	Sky_light_KING	160
48	ssleepless	153
49	emrekn	143
50	Ezekson	140
51	Inbefour	139
52	_Karmaa	138
53	sebastiensaborio	135
54	_Dean_123	133
54	MakeHistory157	133
56	_Virify_	130
57	Sral7	128
58	EcksD	125
59	NotMeanttoChange	123
60	__tomato	119
61	Freak_Genius	112
62	12Magner05	110
63	SpookyDraggin	94
64	eiC_	89
65	cog	84
66	Blackberry1310	83
67	CoffeeNoir	81
68	diamondgolem35	76
69	Merv__	75
69	Warlord324	75
71	jcool7	72
72	TheShyPig	63
73	thescout7	59
73	Eraxa	59
75	Quincannon	57
76	Kyrum2169	51
77	rarrq	47
78	pr33tu	43
79	_NieToksikpl_	42
79	Rumpletaezer	42
81	Skippeh	41
81	EcksDofficial	41
83	alderban107	40
84	MyNameIsJobo	39
85	mwrty	38
85	lillips	38
87	oxfordschool	37
87	h2p_emrld	37
89	Eerini	35
89	anbbang	35
91	SellyZ	34
92	titanlax	32
92	thewindmillman	32
94	Nicserso	31
95	Kowcio_	30
95	Sheldor097	30
97	Iagoku	29
97	Lord_Jord	29
99	q_wq	28
99	Hpdinosaur	28
99	El_Jalapeno	28
102	NameGenerat0r	26
103	Hoid_the_Roamer	25
103	JESS_THE_RERE	25
105	TheSecondLord	24
106	M_Patata	23
106	MasterNueve	23
108	Frozil12	22
109	EMC_	21
109	Akoot_	21
109	Barlycorn	21
109	kinas45y5	21
113	Dogcorn69420	19
114	_stets	18
114	nocturne78	18
114	Fullut	18
114	KartivGal	18
114	DTwenty	18
119	RobotMinion101	17
120	Sloths_Ender	16
120	SokaOtaku	16
120	chipklip	16
123	joethahobo	14
124	ROY4LE	12
124	Maenara	12
124	sp00ky_ghost977	12
124	little_dUki	12
128	StormPool	11
128	TheEnderman548	11
130	CalebDHawk	10
131	500am	9
131	PortlyPete69	9
133	LoboTheLobster	8
133	set67	8
133	yaboo88	8
133	cedric72	8
133	fluddd	8
138	Zorin_Blitz	7
138	S4tox	7
138	claivin	7
138	Hermanni__	7
142	xxXMrDragonXxx	6
142	ayqq	6
142	_Bguette_	6
142	Cocoamallows	6
142	YungMaki	6
147	6king6colt6	5
147	livingdaydreams	5
147	Motsaro	5
147	Winklepicker279	5
147	NebulousBadger	5
147	OfficerAnvil	5
153	CliffEmAll	4
153	epiksk8erduck	4
153	JWiseheart	4
153	Spenduh	4
153	Kubeusz2010	4
158	Firecracker320	3
158	groggregg42	3
158	egglapras	3
158	Norrhede	3
158	dezxalo	3
158	CookTheChef3	3
158	Quaintster	3
158	TechnoNinja64	3
166	Jorrdi	2
166	Dedalus36	2
166	SaucyDark	2
166	lotarp	2
166	SpaceGrenadier	2
166	oxygen_c99	2
166	xxPipperDipperxx	2
166	wTXop	2
166	Skylord_Luke	2
166	Afinnity	2
166	HyperCave	2
166	theofiel	2
166	TheTrueClipse	2
166	Wowful	2
166	NomadicRobin_	2
166	masskedman	2
166	KatieBelle04	2
166	Airem_Core	2
166	Dusk_95	2
166	aidanwest	2
166	WyngGoy	2
166	SexcMf	2
166	sadvavilloso	2
166	stahouo	2
166	_TCARREIRA_	2
166	ItsJunoIGuess	2
166	Quotary	2
166	MeetTheWollo	2
194	Mr_Byzantine	1
194	teslawolf38	1
194	AshleeCW	1
194	I_Am_Mushkin	1
194	bigstankyy	1
194	Natty	1
194	oreee	1
194	MattieHD	1
194	himak1	1
194	SharpDev	1
194	2_young_2_die	1
194	TUNDR0	1
194	UncleDanDan	1
194	mimbo1211	1
194	TruGuire	1
194	tobinwilliams	1
194	Voxin2K	1
194	Onennon	1
194	fred870d	1
194	Aangezet	1
194	EveryonesUncle	1
194	Deathkob	1
194	KermitTheKripple	1
194	RaahLowe	1
194	DanTheBuilderino	1
194	Nycteus_	1
194	Steven1282598	1
194	Hisiste	1
194	MovingFish7	1
194	monky_irl	1
194	geekbird	1
194	Nagasaki_Riku	1
194	lcvezra	1
194	SammiWolfGirl	1
194	Poppy235	1
194	fffMike	1
194	_3Stump_	1
194	tartanboy	1
194	cichy096	1
