rank	username	minecraft:mined/minecraft:acacia_pressure_plate
1	xXTheWolfmanXx	9
2	KarlKaek	7
3	Tyrannosplart	6
4	eitanzaki	5
4	2Stout	5
4	Meatlaugh	5
7	set67	4
7	Moofyman	4
7	tartanboy	4
10	4774	3
10	FreakGenius	3
12	joethahobo	2
12	TheSeismicDuck	2
12	HellsSponge	2
12	ReflexCode	2
12	RedcatVII	2
12	Toriankel	2
12	Powowowow	2
12	AdmiralSmoke	2
20	Apollo_993	1
20	TheSecondLord	1
20	mariominejedi	1
20	Jackattack53	1
20	Snowflowe	1
20	Chuvacevedo	1
20	RobotMinion101	1
20	TheShyPig	1
20	Lord_Jord	1
20	Steelynan	1
