rank	username	minecraft:mined/minecraft:gold_ore
1	joethahobo	8372
2	Frozil20	6182
3	lordpipe	5768
4	TheShyPig	5115
5	pintsizedrogue	4182
6	Spacewardharpy7	3882
7	thewindmillman	3871
8	gcaisawesome	3697
9	YungMaki	3593
10	Werbe	3559
11	Enderxz3	3229
12	Fullut	3179
13	Di_infiri	3043
14	alderban107	2816
15	Tyrannosplart	2665
16	The11thDoctor	2522
17	Steelynan	2492
18	Skippeh	2409
19	AdmiralSmoke	2349
20	Mahoose	2335
21	livingdaydreams	2307
22	rarrq	2244
23	Ezekson	2208
24	beeperbeeper5	2094
25	EcksD	2088
26	Iamthejo	1961
27	HellsSponge	1787
28	ROY4LE	1767
29	Hyp3rion_	1717
30	500am	1681
31	PhantomsGhost_	1638
32	Snowflowe	1635
33	Blaiku	1477
34	EMC_	1476
35	BobDeBouwer1337	1457
36	TheSecondLord	1414
37	ConnorDanky_	1393
38	m_be9	1368
39	xzvu	1357
40	PigDab	1345
41	Skylord_Luke	1339
42	Cocoamallows	1322
43	fade_emerge78823	1307
44	Bumpy419	1302
45	oscminus	1268
45	claivin	1268
47	Zaridey	1258
48	OrewaSora	1232
49	MovingFish7	1228
50	FreakGenius	1210
50	vandmanden	1210
52	Kowcio_	1189
53	Cowison	1186
54	Nicserso	1182
55	Kakolbus	1160
56	mwrty	1148
57	TheDankPlatypus	1137
58	RebelAndroid	1133
59	SaintJosie	1127
60	sp00ky_ghost977	1125
61	MightyWertu	1096
62	wezzzi	1080
63	T045RTY	1063
64	Barlycorn	1044
65	12Magner05	1035
66	Rumpletaezer	1021
67	yulgur1	973
68	SaucyDark	956
69	censorsheep	954
70	Franco093	944
71	noam464	931
72	Hisiste	921
73	Ryan_GEMS	919
73	RadarHz	919
75	Hoid_the_Roamer	911
76	Deathkob	903
77	Xclax101	898
78	SingedBread	894
79	MoistMicrowave	886
80	MilleGrug	885
81	__tomato	882
82	Airem_Core	879
83	F_Uhre	868
83	cedric72	868
85	ApophisNova	859
85	MyNamaSheff	859
87	Bandito_Roamer	850
87	NatalieTW	850
89	Blackberry1310	816
90	Vetral1	814
91	thescout7	811
91	Zythose	811
93	diamondgolem35	810
94	Njensen7	808
95	Windo_licker	806
96	kekhon	791
97	_i_ERROR_i_	782
98	Maenara	742
99	Steve897	737
100	Jackattack53	735
101	Inbefour	730
102	Onennon	727
103	6king6colt6	726
104	SuperPooch06	718
104	PlasticOtari	718
106	h2p_emrld	703
107	mariominejedi	701
107	MyNameIsJobo	701
109	Lord_Jord	696
110	EveryonesUncle	686
111	Ecplosive	683
112	PlzNoBM	681
113	ougstur	668
114	Groovy_MoonBird	663
115	ayamefag	659
116	PeteO1995	658
117	DarlaMeow	644
118	AssFullaCum	641
119	Mewar	640
120	TooManyDuck	631
121	Rocco_Lane	629
122	_8man	616
123	Hermanni__	606
124	Racengan	600
125	RefluxRatio	588
126	lcvezra	583
127	Kubelz	582
128	set67	576
129	EfficientC52	573
130	G1ldor	565
131	GoofyBread	553
132	Warlord324	550
133	lotarp	547
134	Sabby65	546
135	Deodorante	544
136	masskedman	543
137	Jovaphobic	537
138	I_Am_Mushkin	536
139	SpaceGrenadier	532
140	Corbsman	522
141	Arceus1975	520
141	anbbang	520
143	fffMike	519
144	youhjjhhhjj	516
144	Malorn_Aetherius	516
146	Meatlaugh	513
147	Akoot_	510
147	_TCARREIRA_	510
149	M_Patata	503
150	djancak	501
151	_Nuf	495
151	Winklepicker279	495
153	AuroraValkyrie	494
154	eitanzaki	490
154	Legendosh	490
156	Dogcorn69420	486
157	MasterNueve	485
158	CoffeeNoir	480
159	Comma__	474
160	MirielThePastor	470
161	luseis	467
161	fluddd	467
163	Noah_Bez	466
164	Vizzoid	462
165	NomadicRobin_	456
166	UncreativeArtist	455
166	Soplight	455
168	Xalithia	450
168	Toriankel	450
170	BlancoFlaco	444
171	fanofbands101	441
171	Lutres_	441
173	boog4loo	432
174	QuiCreans	430
175	starbits140	428
176	KarlKaek	426
177	TheThomas69	425
177	SammiWolfGirl	425
179	zorin123	423
180	pixelviolin	422
181	KingMatthew506	421
182	XboxPanda	420
183	RedcatVII	418
184	ImpavidArcher	416
185	ShedJr_	414
186	epiksk8erduck	410
187	fkGrim	406
188	WyngGoy	404
189	Soap_Bender	402
189	SSytex_X	402
191	Awyrlas	394
191	lizardfightclub	394
193	SkateboardR6	393
193	bloomkieren	393
195	Myszoaz	389
196	PegLegPete93	388
197	FishyBoy3811	387
197	NYJ	387
199	Typadopoulos	384
199	Decaying_Lotus	384
201	Nyxiom_	381
202	MattieHD	380
203	IamCL4SSY	379
203	_Mythic____	379
205	TheSeismicDuck	378
205	monky_irl	378
207	Kyrum2169	377
208	ClemenPine	376
209	Paint	375
209	yheece	375
211	Groundler	374
212	lewieinnit	373
213	picardred	370
214	Flores991	369
215	Eczbek	367
216	Powowowow	366
217	Eczbox	364
218	bloodbiter	362
218	Shogunite	362
220	Darkgon	359
221	Quaintster	358
222	Russiancat1	356
223	Euclidoris	354
223	SwooshBoi	354
225	Houstonion	352
226	surfinggiraffejp	349
227	ProfessorBee	347
228	FelixPSY375	346
229	Reamdin	344
230	ImDisconnected_	343
231	Kijiki	342
231	TechnoNinja64	342
233	Merv__	341
234	_Virify_	340
234	Zoeyfortnite	340
236	Kamflame10	336
237	NinjaKnifeKill	335
237	Scathra	335
239	EngagedGrub41	334
240	jnp_gaming	333
241	Tobinator_007	329
242	__Fanda__	325
242	jcool7	325
244	1442	324
245	cytotoxaint	323
246	Spenduh	320
247	Skomo	318
248	Covalents	317
249	H72l9w	309
249	intropass	309
249	BumbleBeever	309
252	SeverianOfUrth	307
253	301851	306
254	Jackster03	301
254	Dreamdbr14	301
256	Thaumatarge	298
256	eiC_	298
258	selectrix	295
259	yatsuta	294
260	RyuNeko932000	293
261	amkold	292
262	wfk7	291
262	Sral7	291
264	obzii	290
265	Factoroni	288
266	skrongus	287
267	silverpopcorn	285
268	DaviusMaximoose	282
268	Dakar_	282
270	FirsTimeGamingTV	280
271	TheTrueClipse	278
272	ssleepless	277
273	IWorkAtIkea	274
273	Fildyr	274
275	Zedducius	273
275	501g	273
275	layabout100	273
278	_Meow_Mix	272
279	Kim_Jong_eel	265
280	geekbird	262
280	Razzgriz	262
282	platinumzero	261
282	DTwenty	261
282	Syropatathe	261
285	soundad	259
285	TheTommyGun63	259
287	Nycteus_	258
288	RatatJuice	257
288	NoChumpChange	257
290	Froste131	256
291	eviltunix	255
291	AlphaWolfPlaysMC	255
293	CoryJJ	254
294	Batman922	251
295	poopybh	249
296	q_wq	247
297	Ozixar	246
297	_Karmaa	246
299	xxPipperDipperxx	244
300	Wooptey	243
