rank	username	minecraft:mined/minecraft:soul_campfire
1	Hyp3rion_	1743
2	non089	132
3	Nicserso	43
4	CLG_Kata	35
4	Enderxz3	35
6	EveryonesUncle	34
7	TheWickedBird	27
8	Mahoose	18
9	12Magner05	13
9	ConnorDanky_	13
11	Masssonnn	12
12	RebelAndroid	11
12	UncreativeArtist	11
14	joethahobo	10
14	Jackattack53	10
16	Mattesco	9
16	Airem_Core	9
18	AstreaTSS	8
18	Legendosh	8
20	kekhon	7
20	fw3xy74	7
20	CalebDHawk	7
23	Marbz_	6
23	Moofyman	6
23	EcksD	6
26	Druid95	5
26	PlasticOtari	5
28	beeperbeeper5	4
28	Arceus1975	4
28	Jekyll	4
28	fffMike	4
28	ZeroKraken	4
33	pintsizedrogue	3
33	Historical_Sand	3
33	TheSecondLord	3
33	pixelviolin	3
33	HesDemonPants	3
38	_Dean_123	2
38	Mookle96	2
38	noam464	2
38	TheShyPig	2
38	HellsSponge	2
38	El_Jalapeno	2
38	Eraxa	2
38	Yamdalorian	2
46	ImpavidArcher	1
46	Alteriity	1
46	ShedJr_	1
46	Lez_	1
46	Dark_Crusader21	1
46	rarrq	1
46	Fullut	1
46	oscminus	1
46	Racengan	1
46	Spacewardharpy7	1
