rank	username	minecraft:mined/minecraft:birch_leaves
1	Smoke____	30969
2	thewindmillman	22675
3	CoffeeNoir	15265
4	EveryonesUncle	11001
5	Blackberry1310	10968
6	Mahoose	9871
7	PlasticOtari	8917
8	Ezekson	8178
9	beeperbeeper5	5436
10	SpacesickPrism	4182
11	Legendosh	3858
12	Cowison	3754
13	pintsizedrogue	3652
14	Iamthejo	3427
15	TheShyPig	3350
16	Hyp3rion_	3334
17	Spacewardharpy7	3105
18	Snowflowe	2987
19	joethahobo	2634
20	Jackattack53	2419
21	UCP_TheKingK	2345
22	gcaisawesome	2168
23	binman420	2134
24	q_wq	1911
25	KarlKaek	1893
26	Di_infiri	1785
27	HellsSponge	1572
28	LeauVox4921	1487
29	Skylord_Luke	1423
30	FreakGenius	1066
31	coobert42	1050
32	RebelAndroid	1034
33	M_Patata	1023
33	MasterNueve	1023
35	ShedJr_	1013
35	YungMaki	1013
37	claivin	923
38	Marbz_	922
39	intropass	900
40	Jimi7hits	898
41	Zythose	890
42	Mr_Byzantine	883
43	EcksD	878
44	KingMatthew506	862
45	Werbe	859
46	PortlyPete69	857
47	Arceus1975	854
48	TechnoNinja64	842
49	SyntheticSurgeon	814
50	KeruNatsema	792
51	BlancoFlaco	741
52	ROY4LE	723
53	El_Jalapeno	714
54	ediballbearings	695
55	Gamergirl420628	666
56	Merv__	648
56	djancak	648
58	500am	643
59	Wooptey	633
60	kekhon	631
61	pixelviolin	629
62	Soplight	628
63	kyouma777	620
64	Jeteight	617
65	Esme_1	610
66	RoskobiOne	609
67	ItzYaBoiPicard	604
68	lordpipe	602
69	Sheldor097	601
70	Tommhh	597
71	The_slideV3	541
72	seramalen	514
73	r123moore	507
74	Bandito_Roamer	501
74	xPixelRainx	501
76	natajimi	488
77	LordSpeed37	472
78	PazinGaming	471
79	Hermanni__	465
80	Deerfoot	462
81	ImpavidArcher	455
82	CollinMH06	451
83	Akoot_	450
84	Ryker	449
84	masskedman	449
86	SingedBread	447
87	DkansK	443
88	DemTechAlpha	437
89	LilLizardWizard	431
90	Enderxz3	411
91	TheALV	406
92	Kowcio_	403
93	Jimb0nat0r	399
94	wwwwinnebagoooo	398
95	eitanzaki	390
96	IAmTheWalrus910	369
97	LordAurum	356
98	Fullut	352
99	MAns_44	351
100	HesDemonPants	346
101	SaucyDark	335
102	LeeMcGee30	333
103	Zedducius	331
104	bladeefan2009	322
