rank	username	minecraft:mined/minecraft:blue_wall_banner
1	beeperbeeper5	182
2	Mattesco	128
3	YungMaki	62
4	pintsizedrogue	48
4	Lez_	48
6	PlasticOtari	40
7	TheShyPig	36
8	Xclax101	28
9	luseis	26
10	Mahoose	24
10	EveryonesUncle	24
12	kekhon	20
12	Soplight	20
14	eitanzaki	17
15	TheSecondLord	13
15	Inchef	13
15	FreakGenius	13
18	Merv__	10
18	Kowcio_	10
20	joethahobo	8
20	_Dean_123	8
20	Jackattack53	8
23	Blackberry1310	7
23	ApophisNova	7
23	PaperCanvas	7
23	Eraxa	7
23	MyNamaSheff	7
28	MattieHD	6
28	500am	6
28	Hyp3rion_	6
28	Rebytre	6
32	HollieDaNugget	5
32	ShedJr_	5
32	Tiberonus	5
32	Lord_Doob	5
32	Legendosh	5
37	SmashingPump	4
37	Fullut	4
37	Smashic	4
37	LeauVox4921	4
37	Akoot_	4
37	Manaateee	4
37	UCP_TheKingK	4
44	PazinGaming	3
44	John6970	3
44	nitram49b	3
44	SvenskaSara	3
44	Spacewardharpy7	3
44	StarCookiees_	3
44	Hermanni__	3
44	Kubeusz2010	3
52	ECstardust	2
52	hm947	2
52	Archsam	2
52	Di_infiri	2
52	Chromary	2
52	burbankbuilder28	2
52	Onennon	2
52	Sorry_Arey	2
52	Groundler	2
52	MakeHistory157	2
52	carbo_bro	2
52	Mr_Teddiursa_K	2
64	_Virify_	1
64	teslawolf38	1
64	Frozil20	1
64	Isaac70096	1
64	LionelHutzESQ	1
64	Alteriity	1
64	Natty	1
64	Huwulling	1
64	Historical_Sand	1
64	tramizu	1
64	NieToksikpl	1
64	bloodbiter	1
64	4774	1
64	noam464	1
64	Marbz_	1
64	Malware_Mara	1
64	CrateOfBoxes	1
64	oscminus	1
64	The11thDoctor	1
64	MeanTugger	1
64	halfwayup	1
64	NomadicRobin_	1
64	DarlaMeow	1
64	Fuad_R	1
64	claivin	1
64	El_Jalapeno	1
64	Blu3beast	1
64	fluddd	1
64	Blaiku	1
64	Racengan	1
64	Lunkuku	1
64	wwwwinnebagoooo	1
64	SkateboardR6	1
64	JKendig	1
64	SvenskaHugo	1
64	FadedSpade82	1
64	MineMaster0012	1
64	__tomato	1
64	KujikawaRisechi	1
64	tsitrawhy	1
64	xzvu	1
64	Vellu21	1
64	Ezekson	1
64	ConnorDanky_	1
64	Weepingbiel	1
64	Enderxz3	1
64	Jimb0nat0r	1
64	MandenR1	1
64	xolstoi	1
