rank	username	minecraft:mined/minecraft:diorite
1	joethahobo	265775
2	gcaisawesome	220455
3	Spacewardharpy7	214746
4	HellsSponge	95620
5	Werbe	95484
6	PigDab	91012
7	EMC_	90159
8	Miko_Fullbuster	84754
9	Di_infiri	78752
10	Smoke____	73332
11	YungMaki	70546
12	Ezekson	70405
13	noam464	69296
14	TheShyPig	68475
15	EcksD	68324
16	Blaiku	50373
17	12Magner05	46833
18	Steelynan	45598
19	lordpipe	42173
20	Zythose	39768
21	beeperbeeper5	38384
22	vandmanden	36104
23	Menthas	33797
24	pintsizedrogue	33603
25	Deathkob	31431
26	m_be9	29331
27	Skippeh	26613
28	RebelAndroid	24405
29	Mewar	22514
30	TheSecondLord	20111
31	Hyp3rion_	20064
32	EveryonesUncle	19895
33	MyNameIsJobo	17275
34	eitanzaki	17168
35	Marbz_	15702
36	Blackberry1310	15631
37	MeetTheWollo	15572
38	Hoid_the_Roamer	15557
39	500am	15128
40	thewindmillman	14513
41	Snowflowe	14425
42	Mahoose	14342
43	Cowison	14217
44	ImpavidArcher	14175
45	Spenduh	13181
46	SuperPooch06	12138
47	rarrq	11958
48	Kakolbus	11877
49	Franco093	11669
50	CoffeeNoir	11664
51	Xclax101	11515
52	El_Jalapeno	11066
53	Inchef	10963
54	ProfessorBee	10822
55	FelixPSY375	10704
56	Hisiste	10681
57	PhantomsGhost_	10650
58	FallenCorps	10646
59	Maenara	10493
60	thescout7	10346
61	PlasticOtari	10093
62	obzii	9876
63	Freak_Genius	9807
64	Skylord_Luke	9742
65	Jackattack53	9727
66	Legendosh	9581
67	MilleGrug	9569
68	kekhon	9568
69	Enderslayerxz3	9462
70	Lord_Jord	9189
71	Rasmanden	8711
72	Frozil12	8693
73	Dedalus36	8302
74	TechnoNinja64	8271
75	Rumpletaezer	8066
76	Fullut	7680
77	FishyBoy3811	7652
78	Inbefour	7449
79	stahouo	7247
80	T045RTY	7144
81	_Virify_	7124
82	KG1999	7114
83	Shogunite	7050
84	Froste131	7042
85	BobDeBouwer1337	7001
86	fluddd	6985
87	Bumpy419	6919
88	Rocco_Lane	6860
89	Onennon	6857
90	set67	6833
91	alderban107	6597
92	mwrty	6564
93	audiocracked	6542
94	BumbleBeever	6414
95	XboxPanda	6353
96	Historical_Sand	6341
97	bigstankyy	6172
98	Xalithia	6164
99	ApophisNova	6135
99	MyNamaSheff	6135
101	Jimi7hits	6123
102	anbbang	6001
103	Zoeyfortnite	5961
104	livingdaydreams	5876
105	Njensen7	5848
106	NameGenerat0r	5752
107	Winklepicker279	5729
108	Nicserso	5701
109	M_Patata	5542
110	Blu3beast	5540
111	Quotary	5539
112	PlzNoBM	5531
113	cedric72	5422
114	Deodorante	5399
115	GlitchyPlate810	5356
116	Arceus1975	5272
117	MinttyFressh	5184
118	MasterNueve	5157
119	eviltunix	5132
120	h2p_emrld	5106
121	SammiWolfGirl	5089
122	Sral7	5056
123	Hermanni__	5006
124	MightyWertu	4969
125	Segotep999	4960
126	claivin	4909
127	lillips	4881
128	PortlyPete69	4715
129	q_wq	4687
130	Soplight	4642
131	sp00ky_ghost977	4574
132	CollinMH06	4548
133	Quincannon	4499
134	Groovy_MoonBird	4497
135	_Nuf	4486
136	_Karmaa	4459
137	TooManyDuck	4438
138	Groundler	4382
139	jnp_gaming	4343
140	chipklip	4336
141	MrExplorer	4320
142	oxfordschool	4293
143	SingedBread	4263
144	burbankbuilder28	4199
145	Western_1	4187
146	soundad	4160
147	Steven1282598	4135
148	Airem_Core	4082
149	SkateboardR6	4027
150	Dreamdbr14	4016
151	WyngGoy	4015
152	Jovaphobic	3985
153	CalebDHawk	3981
154	teslawolf38	3933
155	r123moore	3919
156	Strangemonkey71	3914
157	Racengan	3903
158	lotarp	3870
159	Toriankel	3834
160	Jiminie	3771
161	TheThomas69	3761
162	6king6colt6	3724
163	I_Am_Mushkin	3709
164	NoChumpChange	3668
165	awesomeoneme	3667
166	ROY4LE	3655
167	The11thDoctor	3652
168	diamondgolem35	3646
169	censorsheep	3618
170	Akoot_	3611
171	_Dean_123	3598
171	Lutres_Torane	3598
173	SaucyDark	3563
174	mariominejedi	3555
175	Chromary	3538
176	fffMike	3520
177	_TCARREIRA_	3493
178	WET_WET_WET	3450
179	SpaceGrenadier	3428
180	Cocoamallows	3361
181	Comma__	3360
182	iHuntWeeaboos	3342
183	UltraZombie	3238
184	JEWISHBadenBeele	3201
185	NomadicRobin_	3169
186	fred870d	3068
187	Awyrlas	3052
188	Zedducius	2999
189	LordSpeed37	2939
190	Fuhrer_Teemo	2934
191	Malorn_Aetherius	2830
192	Soap_Bender	2794
193	Windo_licker	2790
194	EcksDofficial	2781
195	himak1	2772
196	Corbsman	2767
197	gabriels543	2759
198	Scathra	2740
199	Lukeee33	2732
200	Gab4101	2722
201	TheSeismicDuck	2712
202	DarlaMeow	2695
203	ssleepless	2685
204	trexgb	2651
205	__tomato	2627
206	Barlycorn	2597
207	Kubelz	2565
208	Powowowow	2549
209	DTwenty	2548
210	pixelviolin	2454
211	SvenskaHugo	2433
212	AuroraValkyrie	2422
213	ElectricDragon81	2342
214	Swexti	2311
215	Eraxa	2271
216	Meatlaugh	2270
217	GoofyBread	2263
218	surfinggiraffejp	2260
219	BlankityMcBlank	2242
220	OverallConcept	2239
221	RedcatVII	2216
222	Leyna3	2205
223	drunkeeez	2188
224	Ssor69	2178
225	TheDankPlatypus	2177
226	Jonte0599	2168
227	KarlKaek	2149
228	Gooberkid223	2136
229	yulgur1	2121
230	egglapras	2116
231	Winston_Ingram	2104
232	Kowcio_	2094
233	Nycteus_	2056
233	Warlord324	2056
235	KingMatthew506	2038
236	DanTheBuilderino	2037
236	stavgod	2037
238	Covalents	2005
239	SquadMonster	1999
240	jushykins	1998
241	Darkgon	1993
242	CrateOfBoxes	1974
243	theonlymagikarp	1953
244	ediballbearings	1926
245	ExtraDumb	1924
246	jcool7	1890
247	Rebytre	1884
248	Zaridey	1874
249	bloodbiter	1873
249	HesDemonPants	1873
251	Ecplosive	1871
252	valkam13	1858
253	Prodiginus	1853
254	Flapjacker687	1842
255	_8man	1840
256	The_Quack_Dealer	1827
257	Vetral1	1812
258	OfficerAnvil	1794
259	Hiryu27	1791
260	Merv__	1776
261	07shiny	1774
262	Nagasaki_Riku	1766
263	jacxhadow	1713
264	SSytex_X	1676
265	Drlzyy	1667
265	eiC_	1667
267	drumine	1662
268	xxPipperDipperxx	1653
269	ShedJr_	1647
270	Wolverine4302	1646
271	_naturell	1641
