rank	username	minecraft:mined/minecraft:warped_hyphae
1	joethahobo	527
2	12Magner05	292
3	YungMaki	220
4	CattSoup	122
5	Crowman1	105
6	AdmiralSmoke	93
7	Huwulling	60
8	Kowcio_	32
9	Xalithia	28
10	Frozil20	19
11	rarrq	17
11	SuperPooch06	17
13	PlasticOtari	16
14	Alteriity	14
15	ZeroKraken	13
16	pintsizedrogue	12
16	Hermanni__	12
18	kekhon	10
19	TheSecondLord	8
19	EveryonesUncle	8
19	TheALV	8
19	ZoomieZoomie	8
23	beeperbeeper5	6
23	Spacewardharpy7	6
23	SammiWolfGirl	6
26	BobDeBouwer1337	5
26	mwrty	5
26	djancak	5
29	xxPipperDipperxx	4
29	thewindmillman	4
31	Mahoose	3
31	Fuad_R	3
33	bearlystraight	2
34	Apollo_993	1
34	eitanzaki	1
34	CliffEmAll	1
34	Blaiku	1
