rank	username	minecraft:mined/minecraft:warped_pressure_plate
1	thewindmillman	235
2	Legendosh	17
3	TheSecondLord	7
4	brofrickcheaters	4
5	joethahobo	3
5	beeperbeeper5	3
7	pintsizedrogue	2
8	Hpdinosaur	1
8	Awyrlas	1
8	claivin	1
8	iSammael	1
8	Soplight	1
8	oxfordschool	1
