rank	username	minecraft:mined/minecraft:hanging_roots
1	pintsizedrogue	3559
2	j5ylim	481
3	Yamdalorian	203
4	Kowcio_	118
5	TheSecondLord	68
6	Mahoose	60
7	Enderxz3	44
8	Kakolbus	31
9	500am	28
10	PlasticOtari	25
11	TheWickedBird	19
12	thewindmillman	18
13	Blackberry1310	16
14	Yahir091	11
15	2blox_	8
16	AlexxO_o	7
16	luseis	7
18	_witch_craft_	5
19	Buuck_	4
20	skroobiez	3
21	SquadMonster	2
21	Sleepy_Time_	2
21	Arceus1975	2
21	XxCookiequeenxX	2
21	Manaateee	2
21	SammiWolfGirl	2
27	Huwulling	1
27	Tersea_	1
27	TowenPL	1
27	shadowthemonkey	1
27	Ilyaskand	1
27	Segotep999	1
27	redlightshift	1
27	TheALV	1
27	Steelynan	1
27	_Dri_	1
27	00000000-0000-0000-0009-01ff0c3e5e4f	1
