rank	username	minecraft:mined/minecraft:oak_planks
1	pintsizedrogue	13991
2	HellsSponge	9922
3	Legendosh	8422
4	EveryonesUncle	7386
5	TheShyPig	6508
6	joethahobo	5855
7	El_Jalapeno	4115
8	Mr_Byzantine	4104
9	EMC_	3261
10	FreakGenius	3082
11	Di_infiri	2894
12	PazinGaming	2681
13	AdmiralSmoke	2609
14	Lez_	2341
15	tsitrawhy	2125
16	12Magner05	1947
17	Blackberry1310	1917
18	Kateesaur	1877
19	Racengan	1836
20	Winklepicker279	1810
21	PaperCanvas	1746
22	rarrq	1736
23	TheDankPlatypus	1702
24	gcaisawesome	1601
25	MineMaster0012	1523
26	beeperbeeper5	1506
27	Zythose	1498
28	_Dean_123	1472
29	Steelynan	1416
30	Onennon	1384
31	Z3braYTIL	1358
32	Burge_r	1331
33	Ryker	1200
34	ThatMan_Dave	1196
35	500am	1180
36	AuroraSkies	1179
37	Jackattack53	1177
38	Snowflowe	1123
39	LexMakesHistory	1095
40	Enderxz3	1085
41	Mahoose	1034
42	Ssor69	1031
43	DarkS0L	1024
44	cheerytomato	993
45	YungMaki	991
46	Segotep999	944
47	AlphaWolfPlaysMC	887
48	_Karmaa	885
49	bruh072	870
50	Bumpy419	868
51	EcksD	860
52	Powowowow	858
53	ThePoliteG	857
54	ogoa	839
55	Kubelz	819
56	MyNameIsJobo	804
57	CharlieButt	796
58	PigDab	781
59	m_be9	770
60	NatalieTW	765
61	GingerNeutron	760
62	burbankbuilder28	741
63	stavgod	726
64	00000000-0000-0000-0009-01ff0c3e5e4f	725
65	Rumpletaezer	712
66	fr0stss	705
66	Typadopoulos	705
68	luseis	701
68	Kowcio_	701
70	crying_wolf_13	696
71	lcvezra	694
72	Iamthejo	691
73	Skylord_Luke	682
74	mariominejedi	666
75	xxPipperDipperxx	662
76	Krowuss	655
77	_Huge_Male_	651
78	Rebytre	650
79	yulgur1	649
80	ApophisNova	647
80	MyNamaSheff	647
82	Jimb0nat0r	643
83	XboxPanda	635
83	2blox_	635
85	Syropatathe	634
86	groofles	627
87	BlankityMcBlank	613
87	ConnorDanky_	613
89	eitanzaki	610
90	lordpipe	607
91	thescout7	602
92	PlasticOtari	597
