rank	username	minecraft:mined/minecraft:purple_stained_glass
1	Smoke____	7258
2	Menthas	707
3	XboxPanda	657
4	Hyp3rion_	554
5	TheShyPig	526
6	HellsSponge	408
7	sxc_	195
8	jnp_gaming	123
9	stavgod	93
10	beeperbeeper5	86
11	lordpipe	81
12	Blaiku	66
13	mwrty	64
14	Snowflowe	59
15	ROY4LE	57
16	Lez_	55
17	TheEnderman548	51
18	m_be9	38
18	AltnumberF4	38
20	titanlax	34
21	Jovaphobic	28
22	Sleek_Storm_721	27
23	joethahobo	25
23	Touched_Bread	25
23	00000000-0000-0000-0009-01ff0c3e5e4f	25
26	TheSecondLord	23
27	Faart	19
28	Mahoose	17
28	noam464	17
28	Soplight	17
31	pintsizedrogue	16
32	YungMaki	14
33	Inbefour	13
34	Hermanni__	12
35	censorsheep	11
35	Powowowow	11
37	SaucyDark	10
37	Racengan	10
39	Groundler	9
40	AuroraValkyrie	8
40	ApophisNova	8
40	XxCookiequeenxX	8
40	MakeHistory157	8
40	MyNamaSheff	8
45	heckface	7
45	_naturell	7
45	lillips	7
45	KingMatthew506	7
49	Fullut	6
49	SeverianTheLame	6
49	thewindmillman	6
52	IronArshXS	5
52	Di_infiri	5
52	Werbe	5
52	Maenara	5
52	Jiminbub	5
52	stahouo	5
58	xxPipperDipperxx	4
58	gabriels543	4
58	__tomato	4
61	6king6colt6	3
61	I_Moose	3
61	MattieHD	3
61	The_slideV3	3
61	claivin	3
61	Spacewardharpy7	3
61	Ezekson	3
61	EcksD	3
61	Smaldo	3
61	UrbanPlanner1978	3
71	teslawolf38	2
71	itburb	2
71	WarHammer3	2
71	lotarp	2
71	pr33tu	2
71	Inchef	2
71	WWWWMWWWWWWWWWWW	2
71	Covalents	2
71	_Boipl_	2
71	HyperCave	2
71	_Bguette_	2
71	Freak_Genius	2
71	Nycteus_	2
71	fluddd	2
71	NotMeowMix	2
71	OG_Songsee	2
71	pixelviolin	2
71	VentiHilton	2
71	Wanjibon	2
71	h2p_emrld	2
91	Groovy_MoonBird	1
91	PhantomsGhost_	1
91	strongman951753	1
91	dabloons	1
91	Drlzyy	1
91	Merv__	1
91	TildaAndrea	1
91	Hpdinosaur	1
91	Incinere	1
91	Huwulling	1
91	peach0s	1
91	Vizzoid	1
91	Mercadies	1
91	BobDeBouwer1337	1
91	500am	1
91	r123moore	1
91	Giannism	1
91	Rumpletaezer	1
91	Rocco_Lane	1
91	RobotMinion101	1
91	Sharkbyte0	1
91	Onennon	1
91	CrumplyBanjo_	1
91	NYJ	1
91	MightyWertu	1
91	cog	1
91	SkateboardR6	1
91	mihimihimihi	1
91	Cocoamallows	1
91	ayamefag	1
91	carbo_bro	1
91	sadvavilloso	1
91	microcrisp	1
91	MilleGrug	1
91	Steelynan	1
91	ZoomieZoomie	1
91	Nicserso	1
91	TechnoNinja64	1
91	Jimb0nat0r	1
91	kinas45y5	1
91	camando92	1
