rank	username	minecraft:mined/minecraft:cherry_sign
1	pintsizedrogue	25
1	cutelilreno	25
3	OreTheBear	21
4	Lez_	19
5	Spaghettatron	14
6	Buuck_	9
6	robonya_	9
8	_Huge_Male_	7
9	TheWickedBird	6
10	11Brewer	5
11	royal_2	4
11	Mattesco	4
11	lordpipe	4
14	Enderxz3	3
15	Archsam	2
15	beeperbeeper5	2
15	Tersea_	2
15	TheSecondLord	2
15	MattieHD	2
15	IlkeCookes_	2
15	Jimb0nat0r	2
22	Mr_Byzantine	1
22	Frigzy_	1
22	powercas_gamer	1
22	Alteriity	1
22	bl1ss0	1
22	Jackattack53	1
22	LovableFemboy	1
22	Moofyman	1
22	XxCookiequeenxX	1
22	luseis	1
22	CacheOut	1
22	Kowcio_	1
22	Pumpkin_P_Patch	1
22	Yamdalorian	1
