rank	username	minecraft:mined/minecraft:packed_ice
1	Eraxa	89071
2	beeperbeeper5	74758
3	YungMaki	53652
4	Mattesco	49302
5	HellsSponge	39985
6	mihimihimihi	38005
7	PlasticOtari	29687
8	Spacewardharpy7	25204
9	thewindmillman	24826
10	TheShyPig	24002
11	EcksD	21233
12	ROY4LE	18887
13	m_be9	18777
14	TheSecondLord	17302
15	k_ce	16222
16	Awyrlas	14776
17	censorsheep	14239
18	Hermanni__	13819
19	AstreaTSS	13118
20	Blu3beast	12415
21	Groundler	11315
22	Blackberry1310	11173
23	Werbe	10926
24	pintsizedrogue	10471
25	Kamflame10	10255
26	BlancoFlaco	10214
27	Legendosh	9794
28	Segotep999	9736
29	Ezekson	9727
30	SnowyAvi	9617
31	jcool7	8839
32	joethahobo	8795
33	diggydog67	8708
34	Sral7	8491
35	yulgur1	8457
36	layabout100	8197
37	ssleepless	8125
38	CrateOfBoxes	7955
39	Mr_Byzantine	7855
40	Hisiste	7472
41	PigDab	7014
42	Njensen7	6947
43	Onennon	6715
44	TheBananaKat	6700
45	Kowcio_	6639
46	EveryonesUncle	6344
47	lizardfightclub	6234
48	stellarjay	6198
49	Di_infiri	6099
50	Snowflowe	5897
51	luseis	5895
52	noam464	5858
53	_Dean_123	5805
54	Maenara	5437
55	Fullut	5395
56	MyNameIsJobo	5128
57	obzii	5126
58	eitanzaki	5032
59	xzvu	4980
60	kekhon	4945
61	Racengan	4858
62	301851	4827
63	Blaiku	4766
64	ITDV	4463
65	lordpipe	4350
66	dartwaffle	4291
67	gcaisawesome	4252
68	rarrq	4145
69	Alexanderjac	4023
70	set67	3930
71	Historical_Sand	3912
72	eviltunix	3703
73	ReyTheLegend	3658
74	Hyp3rion_	3655
75	AdmiralSmoke	3624
76	NoChumpChange	3569
77	masskedman	3439
78	mwrty	3390
79	Frozil20	3374
80	Arceus1975	3008
81	andy_rex	2978
82	legal_tax_evader	2966
83	weabis	2843
84	AltnumberF4	2704
85	Kakolbus	2695
86	ScootOfBoot	2692
87	_8man	2629
87	MovingFish7	2629
89	thescout7	2598
90	AuroraValkyrie	2567
91	Rocco_Lane	2566
92	Winklepicker279	2469
93	MightyWertu	2433
94	Steve897	2393
95	Razzgriz	2374
96	Megarboh	2370
97	SmashingPump	2345
98	12Magner05	2328
99	IronArshXS	2303
100	Bumpy419	2298
101	surfinggiraffejp	2269
102	oscminus	2240
103	claivin	2228
104	Hoid_the_Roamer	2224
105	RebelAndroid	2220
106	Krowuss	2209
107	OG_Songsee	2204
108	Chromary	2192
109	handsome_strong	2188
110	FirsTimeGamingTV	2161
111	Mewar	2131
112	Akoot_	2002
113	Merv__	1966
114	Deathkob	1932
115	Skippeh	1915
116	CoffeeNoir	1884
117	6king6colt6	1875
118	CharlieButt	1860
119	Fuhrer_Teemo	1846
120	Nicserso	1826
121	Jij0	1764
122	Apollo_993	1754
123	Manaateee	1746
124	TechnoNinja64	1718
125	500am	1689
126	PortlyPete69	1674
127	__tomato	1650
128	tramizu	1641
129	ougstur	1640
130	XxCookiequeenxX	1586
131	DolphinLaugh	1565
132	I_Am_Mushkin	1548
133	F_Uhre	1522
134	Armattillo	1503
135	pixelviolin	1497
136	MattieHD	1423
137	T045RTY	1420
138	_TCARREIRA_	1413
139	Scathra	1400
140	Tiberonus	1385
141	EMC_	1382
142	hm947	1365
143	Groovy_MoonBird	1362
144	Tyrannosplart	1318
145	zmpeg	1302
146	bigstankyy	1283
147	Jimb0nat0r	1272
148	corpsecity	1227
149	SingedBread	1207
150	livingdaydreams	1174
150	IvarEXE	1174
152	EngagedGrub41	1160
153	mawileite	1159
154	BreadBacon	1155
155	_Karmaa	1151
156	Enderxz3	1144
157	TooManyDuck	1142
158	Jorrdi	1128
159	ZaneABrain	1114
159	Jackattack53	1114
161	Zythose	1113
162	Stynxy	1095
163	Cocoamallows	1067
164	Donutt	1050
165	Kubeusz2010	1040
166	PhantomsGhost_	1036
167	WYFYoyo	1035
168	himak1	1034
169	King_Pancake1	1004
170	MousePlays	990
171	H72l9w	976
172	IAmTheWalrus910	973
173	Fizznut909	943
174	SellyZ	938
175	Kyrum2169	926
176	h2p_emrld	921
177	voiding_	902
178	valiSW	897
179	diamondgolem35	892
180	ShedJr_	888
181	XeroByMyth	886
182	eiC_	882
182	DarlaMeow	882
184	Inchef	874
185	TheTrueClipse	839
186	Myszoaz	817
187	UrbanPlanningEx	812
188	CLG_Kata	808
189	JESS_THE_RERE	776
190	NatalieTW	763
191	ApophisNova	752
191	Druid95	752
191	MyNamaSheff	752
194	SammiWolfGirl	748
195	NameGenerat0r	746
196	Lord_Zacler	743
197	Zoeyfortnite	742
198	Vizzoid	740
199	yatsuta	733
200	Elastiq	721
201	ECstardust	713
202	ImpavidArcher	677
203	lcvezra	665
204	Ssor69	658
205	MilleGrug	655
206	Iagoku	628
207	tuckerdoodle	627
208	audiocracked	616
209	Bandito_Roamer	596
210	M_Patata	594
210	MasterNueve	594
212	StinkyDiplomat	582
213	Mahoose	555
214	MOSS000	550
215	TheSeismicDuck	535
216	fffMike	527
217	Kura2218	521
218	El_Jalapeno	513
219	Leyna3	505
220	Tolhart	490
220	Lez_	490
222	Rumpletaezer	488
223	DaviusMaximoose	485
224	Fuad_R	456
225	MakeHistory157	455
226	Nyxiom_	444
227	Majonezzon	437
228	Spenduh	435
229	NATE_the_HALO	430
230	skrongus	410
231	jnp_gaming	408
232	AngalexikCZ	406
233	Dragonlfw	404
234	ewsophie	395
235	j5ylim	392
236	poopybh	388
237	HolyVenom	383
238	Soplight	380
239	ratglock	374
240	MandenR1	368
241	Skylord_Luke	361
242	theonlymagikarp	332
243	BodaciousCake	317
244	RedcatVII	307
245	Paintz	296
246	AshleeCW	294
246	Nycteus_	294
