rank	username	minecraft:mined/minecraft:light_blue_stained_glass
1	Hyp3rion_	6250
2	Snowflowe	2433
3	Ezekson	2018
4	T045RTY	1089
5	12Magner05	809
6	MyNameIsJobo	573
7	gcaisawesome	535
8	beeperbeeper5	513
9	Hiryu27	491
10	RoskobiOne	401
11	MilleGrug	365
12	joethahobo	359
13	lordpipe	336
14	EcksDofficial	262
15	Legendosh	223
16	Jackattack53	162
17	eitanzaki	145
18	claivin	144
19	Paintz	126
20	_Karmaa	112
21	sp00ky_ghost977	108
22	XboxPanda	103
23	RebelAndroid	99
24	TheSecondLord	92
25	Di_infiri	83
25	NomadicRobin_	83
27	Crowvens	70
28	YungJakobo	62
29	TheShyPig	56
30	TechnoNinja64	52
31	Groovy_MoonBird	48
32	NotMeanttoChange	47
33	ROY4LE	44
34	titanlax	43
34	Groundler	43
36	Zaridey	42
37	rarrq	41
38	Drlzyy	40
38	Freak_Genius	40
40	QueenShuvi	39
41	Arceus1975	38
42	Eraxa	35
43	Miko_Fullbuster	32
44	pintsizedrogue	31
45	Akoot_	26
45	Smoke____	26
47	Rumpletaezer	23
48	kekhon	22
48	Inbefour	22
50	ProfessorBee	21
51	mwrty	20
51	thewindmillman	20
51	MakeHistory157	20
54	Merv__	18
54	Iagoku	18
56	hm947	15
56	LexMakesHistory	15
56	The_slideV3	15
59	BobDeBouwer1337	14
59	Hoid_the_Roamer	14
61	oxfordschool	12
62	Steelynan	11
63	KarlKaek	10
63	MinttyFressh	10
63	El_Jalapeno	10
63	KingMatthew506	10
63	UrbanPlanner1978	10
68	valkam13	9
69	Wooptey	8
69	Blackberry1310	8
69	pr33tu	8
69	Onennon	8
73	_Virify_	7
73	xxPipperDipperxx	7
73	Soplight	7
73	Nekomin0	7
77	ApophisNova	6
77	EveryonesUncle	6
77	MyNamaSheff	6
80	SellyZ	5
80	noam464	5
80	Zythose	5
80	Maenara	5
80	Jiminbub	5
80	Blaiku	5
80	AltnumberF4	5
87	CliffEmAll	4
87	GLLogan2	4
87	Hoshi	4
87	HellsSponge	4
87	Xclax101	4
87	stahouo	4
87	PortlyPete69	4
87	diggydog67	4
95	6king6colt6	3
95	thescout7	3
95	Marbz_	3
95	Werbe	3
95	fred870d	3
95	wezzzi	3
95	DarkS0L	3
95	Blu3beast	3
95	Optiprimus	3
95	sadvavilloso	3
95	jcool7	3
106	ssleepless	2
106	SaucyDark	2
106	Hpdinosaur	2
106	LionelHutzESQ	2
106	Rox_The_Box	2
106	Mahoose	2
106	MSK__	2
106	NasdaqCrash	2
106	eclipseboi	2
106	groggregg42	2
106	SuperPooch06	2
106	Wowful	2
106	audiocracked	2
106	chipklip	2
106	DarlaMeow	2
106	Frozil12	2
106	fluddd	2
106	geekbird	2
106	OG_Songsee	2
106	little_dUki	2
126	Mr_Byzantine	1
126	MixerDixer	1
126	Jorrdi	1
126	TildaAndrea	1
126	jimintyy	1
126	Swexti	1
126	m_be9	1
126	MattieHD	1
126	Tyranar	1
126	NotTrixi	1
126	CruncyIsTaken	1
126	Mattesco	1
126	Matyyy15	1
126	cedric72	1
126	RodSerlingCringe	1
126	Nycteus_	1
126	Spacewardharpy7	1
126	extralargenose	1
126	lcvezra	1
126	SammiWolfGirl	1
126	VentiHilton	1
126	Skippeh	1
126	EcksD	1
126	Enderslayerxz3	1
126	aao001	1
