rank	username	minecraft:mined/minecraft:observer
1	noam464	6715
2	Di_infiri	4310
3	thescout7	3867
4	eitanzaki	3643
5	thewindmillman	1725
6	HellsSponge	1298
7	Spacewardharpy7	1178
8	Jackattack53	1094
9	PigDab	878
10	EcksD	778
11	m_be9	571
12	Werbe	550
13	Freak_Genius	527
14	WyngGoy	480
15	Smoke____	460
16	beeperbeeper5	441
17	Sky_light_KING	416
18	Hyp3rion_	352
19	MangoTheFish	340
20	joethahobo	319
20	Eczbek	319
22	Historical_Sand	317
23	MightyWertu	314
24	Sral7	305
25	Hiryu27	303
26	Blaiku	301
27	FreddyFart	297
28	Racengan	281
29	TechnoNinja64	274
30	El_Jalapeno	266
31	Warlord324	234
32	EMC_	226
33	Snowflowe	201
34	Lord_Jord	198
34	fffMike	198
36	EveryonesUncle	196
37	eiC_	192
38	Frozil12	188
39	ProfessorBee	180
40	ApophisNova	178
40	MyNamaSheff	178
42	MilleGrug	177
43	YungMaki	173
44	Zoeyfortnite	162
45	Soplight	155
45	PlasticOtari	155
47	gcaisawesome	153
48	Xalithia	148
49	KG1999	143
50	UrbanPlanner1978	139
51	Inbefour	128
52	Inchef	126
53	Blu3beast	125
54	T045RTY	119
55	Kakolbus	116
56	Akoot_	115
57	eviltunix	114
58	pintsizedrogue	111
59	pixelviolin	110
60	Ezekson	105
61	ImpavidArcher	104
61	set67	104
61	Wowful	104
64	PhantomsGhost_	100
65	Enderslayerxz3	98
66	TheShyPig	97
67	Powowowow	96
68	vandmanden	94
69	geekbird	90
69	obzii	90
71	_Nuf	89
72	xxPipperDipperxx	88
73	The_slideV3	87
74	Nesquiczek	84
74	Awyrlas	84
76	jnp_gaming	81
77	PortlyPete69	80
78	FishyBoy3811	78
78	sp00ky_ghost977	78
80	Arceus1975	77
81	Dedalus36	75
81	NoChumpChange	75
83	Mahoose	72
84	domagawha	71
85	Fullut	70
86	SkateboardR6	69
87	Deathkob	67
87	Freedrik	67
89	_Virify_	66
89	Groundler	66
89	Legendosh	66
92	Sheldor097	63
92	sebastiensaborio	63
94	awesomeoneme	62
94	mariominejedi	62
94	TheSeismicDuck	62
97	RebelAndroid	61
97	Onennon	61
99	Kijiki	60
100	soundad	58
100	Ssor69	58
100	Quotary	58
103	Soap_Bender	55
104	Hermanni__	54
105	NameGenerat0r	53
106	q_wq	52
107	Merv__	50
107	ediballbearings	50
109	Spenduh	49
110	layabout100	46
110	07shiny	46
112	Jovaphobic	44
112	valkam13	44
112	fluddd	44
115	Bumpy419	43
115	Skylord_Luke	43
117	MAns_44	40
117	SvenskaHugo	40
117	yatsuta	40
120	Quincannon	39
120	oxfordschool	39
120	FishisTTV	39
123	ssleepless	38
123	12Magner05	38
125	ShedJr_	37
126	masskedman	36
126	Western_1	36
126	VentiHilton	36
129	Groovy_MoonBird	35
129	LotusProject	35
129	Covalents	35
132	Prodiginus	34
132	JESS_THE_RERE	34
132	EcksDofficial	34
135	youhjjhhhjj	33
135	AnnieBathory	33
135	Hoid_the_Roamer	33
138	Swexti	32
138	bloodbiter	32
138	MinttyFressh	32
138	Soul_Atreus	32
142	2blox	31
143	SteveCraftBlocks	30
143	Paintz	30
145	jcool7	29
146	Iagoku	28
146	kekhon	28
146	SellyZ	28
