rank	username	minecraft:mined/minecraft:polished_diorite_slab
1	joethahobo	13295
2	6king6colt6	2934
3	_TCARREIRA_	1155
4	Marbz_	753
5	Hyp3rion_	458
6	Ezekson	401
7	jushykins	389
8	Lord_Jord	377
9	burbankbuilder28	287
10	Inbefour	247
11	himak1	212
12	valkam13	210
13	Comma__	191
14	Ssor69	167
15	Akoot_	165
16	NatalieTW	151
16	kekhon	151
16	Biites	151
19	ShedJr_	117
20	Tolhart	114
21	Snowflowe	113
21	Legendosh	113
23	Hoid_the_Roamer	109
24	teslawolf38	96
25	JESS_THE_RERE	95
26	H72l9w	93
27	Nach0Bear	92
28	Western_1	84
29	DarlaMeow	77
30	KarlKaek	70
31	Teebone15	68
32	Blu3beast	66
32	PlasticOtari	66
34	Werbe	59
35	MrExplorer	57
36	PazinGaming	54
37	diggydog67	53
38	FreakGenius	51
39	Mahoose	50
40	ooga47	48
41	LittleBug562	46
42	Smashic	45
43	seanitoo	43
44	Stiar	42
44	AltnumberF4	42
46	Meatlaugh	40
47	Megarboh	39
47	lordpipe	39
47	CalebDHawk	39
50	oreee	38
50	TechnoNinja64	38
52	SSytex_X	37
53	titanlax	36
54	Optiprimus	34
55	JayToe	33
56	Onennon	29
56	sp00ky_ghost977	29
58	eitanzaki	27
59	12Magner05	26
59	BlankityMcBlank	26
61	ItsGrayWolf	25
61	_Huge_Male_	25
61	SellyZ	25
61	Darkgon	25
61	ReflexCode	25
61	RedcatVII	25
67	m_be9	24
67	Xalithia	24
69	Lukeee33	23
70	ROY4LE	20
71	AdmiralSmoke	18
72	Jovaphobic	17
72	Soplight	17
74	pintsizedrogue	16
75	SyK7	15
75	ryan521	15
75	slkiey	15
75	Jaka_Saurus_715	15
79	Merv__	14
79	500am	14
81	Xclax101	12
81	Racengan	12
83	Mookle96	11
83	Maenara	11
85	mwrty	10
85	Kowcio_	10
85	ConnorDanky_	10
88	Rebytre	9
88	TheShyPig	9
88	Matorz	9
88	07shiny	9
88	EcksD	9
93	rarrq	8
93	Conrad139	8
93	jcool7	8
96	Froste131	7
96	luseis	7
96	Nekomin0	7
99	FirsTimeGamingTV	6
99	noam464	6
99	Purplehere	6
99	killmeiamtraitor	6
99	oscminus	6
99	Mattesco	6
99	Moofyman	6
99	_Bguette_	6
99	handsome_strong	6
99	claivin	6
99	fluddd	6
99	Hermanni__	6
111	Groovy_MoonBird	5
111	Frozil20	5
111	ssleepless	5
111	Arceus1975	5
111	ApophisNova	5
111	MineMaster0012	5
111	SammiWolfGirl	5
111	EngagedGrub41	5
111	MyNamaSheff	5
120	Studyhallsaver	4
120	NameGenerat0r	4
120	Vicemaniac	4
120	Sheldor097	4
120	Dreamdbr14	4
125	AikoShayz	3
125	the_fireminer	3
125	lilsay	3
125	NoxxxxiS	3
125	SuperPooch06	3
125	Solar_Power	3
125	pappaberg	3
125	rotten_mango	3
125	Deerfoot	3
125	Enderxz3	3
135	k_ce	2
135	Mr_Byzantine	2
135	ImpavidArcher	2
135	Incinere	2
135	T045RTY	2
135	beeperbeeper5	2
135	TinMaster	2
135	ratglock	2
135	_Dean_123	2
135	LeauVox4921	2
135	2Stout	2
135	hayybails	2
135	Kakolbus	2
135	legal_tax_evader	2
135	seramalen	2
135	Ajax6	2
135	The_slideV3	2
135	bruh072	2
135	Kijiki	2
135	tsitrawhy	2
155	Sabby65	1
155	TheSecondLord	1
155	jacxhadow	1
155	MinttyFressh	1
155	NotMeanttoChange	1
155	fallingemma	1
155	Chromary	1
155	dendydoom	1
155	Elastiq	1
155	Fuhrer_Teemo	1
155	avalan64	1
155	DemTechAlpha	1
155	Manaateee	1
155	FlashMigma	1
155	geekbird	1
155	YungMaki	1
155	xzvu	1
155	fffMike	1
155	xolstoi	1
