rank	username	minecraft:mined/minecraft:oak_wood
1	Bumpy419	3666
2	Marbz_	1680
3	Spacewardharpy7	317
4	Inbefour	298
5	Onennon	201
6	EveryonesUncle	196
7	_naturell	195
8	pintsizedrogue	124
9	epiksk8erduck	111
10	rarrq	110
11	kekhon	85
12	oreee	70
13	Smoke____	63
14	Kowcio_	61
15	Merv__	60
16	master9067	54
17	Mahoose	47
18	beeperbeeper5	45
19	Werbe	35
19	Ezekson	35
21	PlasticOtari	32
22	Cryptacity	29
23	IWorkAtIkea	28
24	Legendosh	26
25	Alphanzt99	25
25	Smashic	25
25	__tomato	25
28	eclipseboi	24
29	Luigipunch989	19
30	CollinMH06	18
30	Kouridragon	18
32	FirsTimeGamingTV	16
32	FennYuzuna	16
32	Arceus1975	16
32	ApophisNova	16
32	MyNamaSheff	16
37	m_be9	15
38	noam464	14
38	MightyWertu	14
38	Quotary	14
41	EMC_	12
41	JollyDroopy52	12
43	NomadicRobin_	11
44	Rebytre	10
45	Babushka0430	9
46	_NieToksikpl_	8
46	CalebDHawk	8
48	MixerDixer	7
48	thescout7	7
48	lordpipe	7
51	ehunt54	6
51	dualvoidzz	6
51	floodjon	6
51	Maenara	6
51	GoofyBread	6
56	SullyhS	5
56	dj1121	5
56	Jiminie	5
56	KG1999	5
60	vampgey	4
60	thewindmillman	4
60	Akoot_	4
60	NinetyNick	4
60	Soplight	4
65	TheSecondLord	3
65	Parcc	3
65	regulator75	3
65	Forcolp	3
65	Xeno175	3
65	DASH_X7	3
65	Blaiku	3
65	__Auspicious	3
65	carbo_bro	3
65	PortlyPete69	3
65	h2p_emrld	3
76	6king6colt6	2
76	KarlKaek	2
76	eitanzaki	2
76	Historical_Sand	2
76	500am	2
76	LikeableSausage	2
76	M_Patata	2
76	Zythose	2
76	ogoa	2
76	LibertyMutual	2
76	proxivitoid	2
76	DemTechAlpha	2
76	NameGenerat0r	2
76	MasterNueve	2
76	UCP_TheKingK	2
76	oxfordschool	2
92	Incinere	1
92	T045RTY	1
92	TheMaster972	1
92	SteveCraftBlocks	1
92	iTurbo	1
92	Felenov	1
92	Ender_Souls	1
92	Lord_Jord	1
92	JakobDylanC	1
92	El_Jalapeno	1
92	BlankityMcBlank	1
92	Western_1	1
92	OfficerAnvil	1
92	Wolverine4302	1
92	Oxygen16	1
92	jnp_gaming	1
92	Tristankill	1
