rank	username	minecraft:mined/minecraft:cobblestone_stairs
1	TheShyPig	1892
2	burbankbuilder28	1746
3	Blackberry1310	1381
4	rarrq	1037
5	ApophisNova	1023
5	MyNamaSheff	1023
7	kekhon	1015
7	Racengan	1015
9	Legendosh	825
10	Frozil20	822
11	Cowison	806
12	slkiey	764
13	MightyWertu	685
14	Ezekson	604
15	thescout7	581
16	pintsizedrogue	550
17	Di_infiri	526
18	lcvezra	475
19	m_be9	469
20	__tomato	467
21	Akoot_	441
22	_Karmaa	406
23	Enderxz3	404
24	beeperbeeper5	396
25	MissCeleste7	394
26	yoyoYoloMonke	377
27	Jeteight	360
28	impossibleteapot	353
29	StinkyDiplomat	352
30	bruh072	349
31	Xclax101	333
32	JoCoLi	331
33	Mahoose	326
34	EMC_	324
35	Malorn_Aetherius	318
36	jushykins	307
37	LexMakesHistory	299
38	MovingFish7	296
39	Deathkob	284
40	fffMike	268
41	mwrty	262
42	MakeHistory157	256
43	redikul	245
44	PlasticOtari	243
45	xxPipperDipperxx	241
46	_Dean_123	240
47	CharlieButt	239
48	Smoke____	231
49	ChocolatePepsi	230
50	Prodiginus	229
51	soundad	228
52	jcool7	225
53	CalebDHawk	223
54	6king6colt6	219
55	Megarboh	209
55	Wolverine4302	209
57	Hermanni__	208
58	El_Jalapeno	205
59	XeroByMyth	203
59	_Bguette_	203
59	Groundler	203
62	RefluxRatio	198
63	TechnoNinja64	192
64	Lukeee33	191
65	Winklepicker279	189
66	ImpavidArcher	183
67	Awyrlas	180
67	HellsSponge	180
69	Eraxa	176
70	c0la_c0ca	172
70	xolstoi	172
72	Mr_Byzantine	171
72	Comma__	171
74	fluddd	167
75	Onennon	163
76	NotMeowMix	159
76	Airem_Core	159
76	Sral7	159
79	Merv__	157
79	00000000-0000-0000-0009-01f073f37a91	157
81	joethahobo	154
82	gabriels543	153
83	Deodorante	144
84	Luigipunch989	143
85	TheSecondLord	141
85	bloodbiter	141
87	Werbe	138
88	Historical_Sand	137
89	lordpipe	134
90	AlazelTheReal	133
90	Lord_Jord	133
92	Burge_r	131
93	tartanboy	130
94	q_wq	129
94	Kowcio_	129
96	Deguns123	127
97	Groovy_MoonBird	126
97	MattieHD	126
97	FreakGenius	126
97	Typadopoulos	126
101	privatemeekly	123
102	MuffinManzz	122
102	YungMaki	122
104	PortlyPete69	121
105	sammidk	120
105	Ze_BaronKrigler	120
107	Natty	117
108	Jackattack53	115
109	PigDab	113
110	monolu	112
110	Smaldo	112
112	Chayula	110
113	Quincannon	109
114	Cocoamallows	108
114	OfficerAnvil	108
116	jacxhadow	106
117	seanitoo	105
118	Soap_Bender	104
118	NebulousBadger	104
120	ShedJr_	103
120	RobotMinion101	103
120	Quotary	103
123	Louiis123	102
123	ElectricDragon81	102
125	GoofyBread	101
125	EcksD	101
127	Hyp3rion_	99
127	Soul_Atreus	99
129	FennYuzuna	96
130	luseis	94
131	Rebytre	92
132	Bumpy419	91
133	killmeiamtraitor	90
133	F_Uhre	90
133	The_slideV3	90
136	EveryonesUncle	89
137	shineh10	88
138	Snowflowe	86
138	Shogunite	86
140	heysushii	84
140	youhjjhhhjj	84
140	AngalexikCZ	84
143	Smiguli_	83
144	Spacewardharpy7	82
145	ssleepless	81
145	madderfall	81
145	Bloo2406	81
148	TheMilkerOfCats	79
148	DemTechAlpha	79
150	Pelbo	78
150	seramalen	78
