rank	username	minecraft:mined/minecraft:red_candle
1	Luminad3	47
2	Kakolbus	31
3	Mahoose	11
4	Lez_	10
5	k_ce	9
6	xxPipperDipperxx	8
7	YungMaki	6
8	Yamdalorian	5
9	kekhon	4
9	Snowflowe	4
9	Jimb0nat0r	4
12	pintsizedrogue	3
12	_Huge_Male_	3
14	PosPsycher	2
14	KamFurnace	2
14	Enderxz3	2
14	Legendosh	2
18	Merv__	1
18	Minimize501	1
18	Crowman1	1
18	TheSecondLord	1
18	Marbz_	1
18	thewindmillman	1
18	Mattesco	1
18	Racengan	1
18	Myntsys	1
18	Eraxa	1
18	Pumpkin_P_Patch	1
18	Weepingbiel	1
18	PlasticOtari	1
