rank	username	minecraft:mined/minecraft:diamond_ore
1	Werbe	21856
2	EcksD	11332
3	joethahobo	7033
4	Hyp3rion_	6332
5	Spacewardharpy7	5555
6	lordpipe	5341
7	YungMaki	5248
8	HellsSponge	3443
9	500am	3304
10	beeperbeeper5	2732
11	eitanzaki	2208
12	thewindmillman	2201
13	PhantomsGhost_	2144
14	Smoke____	2059
15	Fullut	1997
16	TheShyPig	1912
17	gcaisawesome	1905
18	claivin	1873
19	Di_infiri	1826
20	Mahoose	1760
21	Skippeh	1661
22	alderban107	1636
23	TheSecondLord	1449
24	Skylord_Luke	1431
25	ROY4LE	1373
26	PigDab	1338
27	gusstationwerker	1331
28	livingdaydreams	1321
29	pintsizedrogue	1280
30	mwrty	1224
31	Ezekson	1219
32	xzvu	1148
33	F_Uhre	1139
34	h2p_emrld	1100
35	Inchef	1098
36	12Magner05	1094
37	Snowflowe	1060
38	Enderxz3	1042
39	noam464	1034
40	EMC_	1021
41	Steelynan	990
42	Hoid_the_Roamer	980
43	Cowison	973
44	fluddd	959
45	Jackattack53	948
46	Tyrannosplart	945
47	SpaceGrenadier	940
48	SmashingPump	937
49	Racengan	933
50	rarrq	931
51	SingedBread	918
52	Iamthejo	895
53	MangoTheFish	872
53	Eczbek	872
55	Blaiku	859
56	ZA07	844
57	PlasticOtari	841
58	m_be9	832
59	EveryonesUncle	830
60	Esme_1	800
61	MilleGrug	791
62	NomadicRobin_	790
63	_Dean_123	772
64	Kakolbus	761
65	Rocco_Lane	757
66	The11thDoctor	748
67	NatalieTW	747
68	Groovy_MoonBird	734
68	MakeHistory157	734
68	Njensen7	734
71	FallenCorps	728
72	I_Am_Mushkin	724
73	Bumpy419	716
74	xolstoi	713
75	Deathkob	685
76	diamondgolem35	678
77	ConnorDanky_	674
78	DolphinLaugh	666
79	GlitchyPlate810	650
80	RebelAndroid	647
81	Zoeyfortnite	639
82	kekhon	631
83	XboxPanda	628
84	set67	625
85	Onennon	623
86	Cocoamallows	621
87	thescout7	617
88	Frozil20	608
89	SaucyDark	604
90	CoffeeNoir	598
91	fffMike	597
92	TheThomas69	586
93	WyngGoy	572
94	Karbl	571
95	ApophisNova	568
95	MyNamaSheff	568
97	Corbsman	561
97	Xclax101	561
99	jcool7	551
100	Barlycorn	541
101	Franco093	537
102	ssleepless	534
103	vandmanden	520
104	Xalithia	507
105	Soap_Bender	503
106	lcvezra	501
107	T045RTY	495
108	yulgur1	477
109	Legendosh	472
110	Airem_Core	469
111	Lord_Jord	466
112	GoofySilly	461
113	BumbleBeever	450
114	Mythic1130	447
115	Sabby65	445
116	ThiccExotic	443
117	cedric72	439
118	obzii	437
119	Inbefour	428
120	Maenara	426
121	censorsheep	418
122	Zythose	413
123	PlzNoBM	409
124	Nicserso	408
125	Rumpletaezer	399
126	FreakGenius	398
127	MyNameIsJobo	395
128	Kowcio_	391
129	AlazelTheReal	381
130	FirsTimeGamingTV	376
130	ediballbearings	376
132	Awyrlas	372
133	Quaintster	368
134	Covalents	367
135	_Yonk_	366
136	MattieHD	362
137	Hermanni__	361
138	PortlyPete69	353
139	33sudo	352
140	Zaridey	350
140	Groundler	350
142	monky_irl	344
143	Jovaphobic	340
144	ougstur	335
145	SaintJosie	332
146	__tomato	331
146	MirielThePastor	331
148	Vetral1	329
148	TheOuterCore	329
150	TheDankPlatypus	328
151	Blackberry1310	326
152	EfficientC52	323
153	ShedJr_	321
153	ClemenPine	321
155	_Virify_	320
156	sp00ky_ghost977	317
157	eviltunix	313
157	RobotMinion101	313
159	H72l9w	312
160	BobDeBouwer1337	309
161	Scathra	307
161	NameGenerat0r	307
163	_TCARREIRA_	302
164	Cyntrical	301
165	boog4loo	299
166	drunkeeez	298
167	Kyrum2169	296
168	Akoot_	287
169	wezzzi	286
170	Ecplosive	283
171	fkGrim	282
171	weabis	282
171	SammiWolfGirl	282
174	Ender_Souls	276
175	Leithz6	275
175	Dogcorn69420	275
177	Mewar	274
178	youhjjhhhjj	273
178	FishyBoy3811	273
178	Kubeusz2010	273
181	Shogunite	272
182	Blu3beast	271
183	Historical_Sand	269
183	Sral7	269
185	gabriels543	268
186	hcb238	267
187	LilyNova	265
188	RedcatVII	261
189	_Nuf	259
190	diggydog67	258
191	6king6colt6	257
191	BlancoFlaco	257
191	Winklepicker279	257
191	Nycteus_	257
191	Hisiste	257
196	soundad	255
196	NotKaden_	255
198	SSytex_X	254
199	SeverianTheLame	252
199	Chromary	252
201	bigstankyy	251
201	audiocracked	251
201	SkateboardR6	251
204	Kura2218	250
205	Arceus1975	249
206	UrbanPlanningEx	248
207	Paintz	246
208	TheSeismicDuck	244
209	jnp_gaming	242
210	Afinnity	240
211	ayamefag	236
212	G1ldor	235
212	Wowful	235
214	GoofyBread	233
214	bladeefan2009	233
216	TooManyDuck	232
217	geekbird	231
218	Hiryu27	228
218	MightyWertu	228
220	lotarp	226
221	anbbang	224
222	Malorn_Aetherius	219
222	mattybeewrapss	219
222	eiC_	219
225	Zedducius	214
226	abramgray	209
227	little_dUki	208
228	KarlKaek	207
228	SellyZ	207
228	binman420	207
231	Deodorante	206
232	IWorkAtIkea	205
232	burbankbuilder28	205
234	surfinggiraffejp	202
234	AlphaWolfPlaysMC	202
234	Meatlaugh	202
237	07shiny	201
238	FelixPSY375	200
239	theonlymagikarp	197
240	CadenSteele	195
240	Wooptey	195
242	cytotoxaint	191
243	Blazebit	188
243	NYJ	188
243	TheTommyGun63	188
246	silverpopcorn	187
246	Warlord324	187
248	ExtraDumb	186
249	RadarHz	184
250	Bloo2406	183
250	trexgb	183
252	_Razaria	182
252	Euclidoris	182
252	masskedman	182
255	pappaberg	181
256	Luigipunch989	180
257	MissCeleste7	179
258	epiksk8erduck	178
258	sammidk	178
260	lizardfightclub	177
261	dudcreeper	176
261	gaziter10	176
263	Bandito_Roamer	175
263	Kubelz	175
265	Kamflame10	174
266	DaviusMaximoose	173
266	Factoroni	173
268	IamCL4SSY	172
268	Toriankel	172
270	Noah_Bez	167
270	JayToe	167
272	JohnnyFyes	166
272	Swexti	166
272	Skomo	166
272	Lutres_Torane	166
276	Jackster03	164
276	zorin123	164
276	SUN_DREAM	164
276	ItsDeltaMC	164
280	xXTheWolfmanXx	163
281	picardred	162
281	Comma__	162
281	SwooshBoi	162
284	slkiey	161
284	M_Patata	161
284	MasterNueve	161
284	Dreamdbr14	161
288	jushykins	160
289	r123moore	159
290	q_wq	158
291	TheHarryMeister	157
292	Windo_licker	154
292	Jonte0599	154
292	Serval2000	154
295	Flapjacker687	153
295	Donutt	153
295	xDraggin	153
295	ElectricDragon81	153
299	SquadMonster	152
300	PegLegPete93	151
