rank	username	minecraft:mined/minecraft:crimson_door
1	ShedJr_	31
2	Optiprimus	18
3	Hyp3rion_	11
4	beeperbeeper5	10
5	Mahoose	9
5	Legendosh	9
7	Luigipunch989	8
8	Hpdinosaur	7
9	Freak_Genius	6
10	kekhon	5
10	r123moore	5
10	jnp_gaming	5
10	Smoke____	5
14	pintsizedrogue	4
14	Spacewardharpy7	4
14	oxfordschool	4
17	eitanzaki	3
17	bloodbiter	3
17	mwrty	3
17	Jiminie	3
21	KarlKaek	2
21	RebelAndroid	2
21	SammiWolfGirl	2
24	MixerDixer	1
24	CliffEmAll	1
24	12Magner05	1
24	noam464	1
24	Marbz_	1
24	Billious	1
24	TheShyPig	1
24	MyNameIsDakar	1
24	kyouma777	1
24	djancak	1
24	Soplight	1
24	fffMike	1
24	Kubeusz2010	1
