rank	username	minecraft:mined/minecraft:red_sandstone
1	Xclax101	392
2	TheShyPig	98
3	Steelynan	66
4	Fullut	58
4	lordpipe	58
6	PhantomsGhost_	55
7	RobotMinion101	41
8	Groovy_MoonBird	40
8	Eraxa	40
10	Smoke____	39
11	Merv__	19
12	Freak_Genius	17
13	bloodbiter	16
14	ImpavidArcher	13
15	Jackattack53	11
16	RatatJuice	7
16	Onennon	7
16	oxfordschool	7
19	Parcc	5
19	TrollerYT	5
21	pintsizedrogue	4
21	ROY4LE	4
21	Sral7	4
24	Frozil12	3
25	MrKrabOnCoke	2
25	Di_infiri	2
25	Moofyman	2
28	lotarp	1
28	Mahoose	1
28	ProfessorBee	1
28	noam464	1
28	audiocracked	1
28	ItsDeltaMC	1
28	KingMatthew506	1
