rank	username	minecraft:mined/minecraft:warped_nylium
1	thewindmillman	19254
2	Alteriity	14241
3	Spacewardharpy7	8100
4	Manaateee	4261
5	Enderxz3	3301
6	Decaying_Lotus	1773
7	YungMaki	1653
8	joethahobo	1574
9	PlasticOtari	805
10	TheSecondLord	766
11	pintsizedrogue	722
12	Kowcio_	711
13	beeperbeeper5	704
14	EveryonesUncle	616
15	HellsSponge	598
16	CoffeeNoir	470
17	Winklepicker279	464
18	Akoot_	455
19	Jimb0nat0r	347
20	500am	345
21	eitanzaki	341
22	Awyrlas	339
23	Ryker	336
24	Marbz_	326
25	12Magner05	305
26	Fullut	287
27	mwrty	263
28	FreakGenius	261
28	Luigipunch989	261
30	Kakolbus	255
31	PigDab	219
32	CliffEmAll	217
33	lordpipe	208
34	monky_irl	203
35	00000000-0000-0000-0009-01ff0c3e5e4f	199
36	Ezekson	194
37	Mr_Byzantine	188
38	TheDankPlatypus	184
38	lizardfightclub	184
40	ShedJr_	178
41	DinoDoctor_	165
42	Kubelz	160
43	Skippeh	157
44	DanTheBuilderino	156
45	excelsionprime	153
46	kekhon	147
47	anbbang	144
48	Hermanni__	140
49	r123moore	138
49	ZoomieZoomie	138
51	HolyVenom	133
51	LazySupport00	133
53	trexgb	132
54	noam464	127
55	shadowthemonkey	118
56	RoskobiOne	112
56	Arceus1975	112
58	Moofyman	110
59	Blackberry1310	109
59	SammiWolfGirl	109
59	PortlyPete69	109
62	Mahoose	107
62	Xalithia	107
64	Historical_Sand	106
65	Snowflowe	105
66	Shogunite	101
66	EngagedGrub41	101
68	SpacesickPrism	99
69	gcaisawesome	91
70	brofrickcheaters	90
71	whoaluv	89
71	07shiny	89
73	BobDeBouwer1337	88
74	_Huge_Male_	87
74	set67	87
74	TheEnderMan548	87
77	trixterrx	86
78	Hyp3rion_	83
79	_Mythic____	82
80	AdmiralSmoke	78
81	mihimihimihi	67
81	Nicserso	67
83	CarltheCuck	66
84	Crowman1	60
85	Chromary	58
86	KartivGal	57
87	Dakar_	55
87	diggydog67	55
89	Kubeusz2010	49
90	SuperPooch06	47
91	livingdaydreams	46
91	rarrq	46
93	AuroraSkies	43
94	MightyWertu	42
95	LeonelSalamanca	41
96	Cowison	39
97	Apollo_993	38
98	soundad	37
98	Secret_Canary	37
98	Sheldor097	37
101	Legendosh	36
102	ExtraDumb	35
102	LordBlaze11	35
102	Soplight	35
102	MilleGrug	35
106	aruzs	34
106	ConnorDanky_	34
108	IgnoredBee	31
108	TheShyPig	31
110	M_Patata	30
110	MasterNueve	30
112	bigstankyy	29
112	DemTechAlpha	29
112	UltraZombie	29
115	luseis	28
115	Nycteus_	28
115	Druid95	28
118	Segotep999	25
119	Lord_Jord	23
119	2blox_	23
121	T045RTY	22
121	DarlaMeow	22
121	Toriankel	22
124	SingedBread	21
124	FishisTTV	21
126	FishyBoy3811	20
127	ITDV	18
127	titanlax	18
127	yheece	18
130	bloodbiter	17
131	benediktine1	16
131	Deathkob	16
131	SvenskaHugo	16
134	Travasaur	15
134	fanofbands101	15
134	jacxhadow	15
134	__TheNorseMan__	15
138	NomadicRobin_	14
138	Lutres_	14
140	RatatJuice	13
140	drunkeeez	13
140	bearlystraight	13
143	teslawolf38	12
143	Hpdinosaur	12
143	PegLegPete93	12
143	Silvo614	12
143	wwwwinnebagoooo	12
143	MissCeleste7	12
149	_Virify_	11
149	shineh10	11
149	bee_gorl	11
149	Steelynan	11
153	Inchef	10
153	kalzor	10
153	iSammael	10
153	non089	10
153	Erased_Identity	10
158	breadbowlgamer	9
159	ccwildfire1	8
159	masskedman	8
161	_Razaria	7
161	Jackattack53	7
161	FreddyFart	7
161	Blaiku	7
161	_i_ERROR_i_	7
166	PhantomBionic	6
166	IdeallyGrey	6
166	pixelviolin	6
166	EcksD	6
166	MirielThePastor	6
171	PazinGaming	5
171	Jindong	5
171	Avocadogerms	5
171	MAns_44	5
171	djancak	5
171	fffMike	5
177	Krasnal1337	4
177	ECstardust	4
177	EMC_	4
177	hm947	4
177	RebelAndroid	4
177	NatrixxddxYT	4
177	xPixelRainx	4
177	Jakobo1337	4
177	MinttyFressh	4
177	Z3braYTIL	4
177	Scathra	4
177	Rebytre	4
177	SvenskaAlvar	4
177	yulgur1	4
177	LexMakesHistory	4
177	NATE_the_HALO	4
177	cichy096	4
177	Weepingbiel	4
195	k_ce	3
195	I_Am_Mushkin	3
195	Ryan_GEMS	3
