rank	username	minecraft:mined/minecraft:diamond_block
1	NameGenerat0r	989
2	EcksD	819
3	eitanzaki	757
4	Maenara	621
5	gusstationwerker	470
6	xzvu	463
7	Di_infiri	414
8	Blaiku	413
9	joethahobo	386
10	RealGroot	361
11	pintsizedrogue	307
12	jnp_gaming	292
13	Hyp3rion_	288
14	yulgur1	275
15	SingedBread	238
16	beeperbeeper5	233
17	Blu3beast	210
18	kekhon	204
19	NomadicRobin_	201
20	Inchef	189
20	vandmanden	189
22	Fullut	181
23	ImpavidArcher	164
24	Leithz6	156
25	Smoke____	152
26	lordpipe	145
27	fluddd	144
28	Blackberry1310	143
29	noam464	141
30	TheShyPig	137
31	PlasticOtari	128
32	Kyrum2169	127
33	BlancoFlaco	122
34	Werbe	119
35	Fuad_R	112
36	Legendosh	108
37	Mahoose	105
37	YungMaki	105
39	fffMike	104
40	claivin	101
41	Merv__	99
42	jcool7	96
43	Esme_1	95
44	Marbz_	93
45	12Magner05	91
45	Racengan	91
47	Spacewardharpy7	90
48	FreakGenius	87
49	lillips	82
50	__tomato	81
50	Sral7	81
52	Frozil20	80
53	Inbefour	77
54	masskedman	76
54	Steelynan	76
54	h2p_emrld	76
57	Ezekson	75
58	Corbsman	74
59	rarrq	72
60	ConnorDanky_	68
60	camando92	68
62	Groovy_MoonBird	66
62	issazumi	66
64	Myszoaz	65
64	Historical_Sand	65
66	Skippeh	64
67	zToasty69z	63
68	_Virify_	51
68	Wooptey	51
70	boog4loo	46
70	Smashic	46
70	Powowowow	46
70	Jimb0nat0r	46
74	Covalents	40
75	WyngGoy	39
75	pixelviolin	39
77	500am	37
78	lorpus	35
78	EveryonesUncle	35
80	Akoot_	34
81	6king6colt6	33
81	SaucyDark	33
81	dimitri0s	33
81	mwrty	33
85	_Dean_123	32
85	SammiWolfGirl	32
87	PortlyPete69	31
88	Ailmast	30
88	MinttyFressh	30
88	ProbsNotNova	30
91	ItsJunoIGuess	28
92	tobinwilliams	27
93	H0UNDFRMH3LL	26
93	Skylord_Luke	26
95	Sabby65	25
95	set67	25
95	Eraxa	25
98	_Huge_Male_	24
98	Lez_	24
100	pr33tu	23
101	thescout7	21
101	Onennon	21
101	_Karmaa	21
104	PlzNoBM	20
105	thewindmillman	19
105	IamCL4SSY	19
105	Groundler	19
105	Airem_Core	19
109	Comma__	18
109	ese_wn_po	18
109	07shiny	18
112	Lord_Jord	17
112	bladeefan2009	17
114	Awyrlas	16
114	SBean737	16
116	nattybears	14
116	jessewegottacook	14
116	RedcatVII	14
116	Enderxz3	14
120	Snowflowe	13
120	Truckoss	13
120	audiocracked	13
120	Nycteus_	13
120	MirielThePastor	13
125	Jackattack53	12
125	dartwaffle	12
125	BlankityMcBlank	12
128	seanitoo	11
128	T045RTY	11
128	PigDab	11
128	TechnoNinja64	11
128	FishisTTV	11
133	Sleepy_Time_	10
133	Ssor69	10
133	ROY4LE	10
133	gcaisawesome	10
133	juuustpeachy	10
133	Rumpletaezer	10
133	Bumpy419	10
133	wezzzi	10
133	DolphinLaugh	10
142	TildaAndrea	9
142	LoboTheLobster	9
142	CliffEmAll	9
142	zorin123	9
142	xxPipperDipperxx	9
142	Arceus1975	9
142	Smussa	9
142	Momomia1997	9
142	Soplight	9
142	LeEricc	9
152	CoffeeNoir	8
152	Cryptacity	8
152	eviltunix	8
152	SellyZ	8
152	XboxPanda	8
152	seramalen	8
152	DemTechAlpha	8
152	HellsSponge	8
152	MakeHistory157	8
152	Sheldor097	8
152	MilleGrug	8
163	Hiryu27	7
163	sufjanlover	7
163	RoofTyler	7
163	MovingFish7	7
163	SpacesickPrism	7
163	Njensen7	7
169	chipklip	6
169	PhantomsGhost_	6
169	ThiccExotic	6
169	NotMeanttoChange	6
169	gabriels543	6
169	k1ngGilgamesh	6
169	AlexxO_o	6
169	theofiel	6
169	Fuhrer_Teemo	6
169	weabis	6
169	SkateboardR6	6
169	monky_irl	6
169	NATE_the_HALO	6
169	Dreamdbr14	6
169	Hermanni__	6
169	xolstoi	6
185	Krasnal1337	5
185	dimondking777	5
185	ZaneABrain	5
185	TheSecondLord	5
185	bloodbiter	5
185	MattieHD	5
185	paranoid_plant	5
185	Yirtle	5
185	LAVA129	5
185	groofles	5
185	DarlaMeow	5
185	TheTommyGun63	5
185	lcvezra	5
185	ZeroKraken	5
199	NatalieTW	4
199	EMC_	4
199	Dogbound	4
199	Da_Boss_Rani	4
199	ProfessorBee	4
199	Scathra	4
199	Rebytre	4
199	RobotMinion101	4
199	halfwayup	4
199	Katthaj	4
199	Arlosaurus	4
199	Mythic1130	4
199	HesDemonPants	4
212	Mr_Byzantine	3
212	Incinere	3
212	Ryker	3
212	ITDV	3
212	oreee	3
212	heckface	3
212	BilboBaggins23	3
212	Mjolnir145	3
212	Kakolbus	3
212	SuperPooch06	3
212	Wowful	3
212	FreddyFart	3
212	bruh072	3
212	Cocoamallows	3
212	layabout100	3
212	kyouma777	3
212	obzii	3
212	Iamthejo	3
212	Nicserso	3
212	JayToe	3
232	k_ce	2
232	PazinGaming	2
232	featherflyy	2
232	titanlax	2
232	roxycherry	2
232	Crowman1	2
232	TheThomas69	2
232	DermeinUser	2
232	Zaridey	2
232	AmbroseForLife	2
232	ItsMrRamen	2
232	ApophisNova	2
232	The11thDoctor	2
232	F_Uhre	2
232	ZA07	2
232	Rasmanden	2
232	Jimi7hits	2
232	gustarlep	2
232	fkGrim	2
232	madderfall	2
232	Babushka0430	2
232	SexcMf	2
232	SvenskaHugo	2
232	Kowcio_	2
232	UCP_TheKingK	2
232	brofrickcheaters	2
232	_TCARREIRA_	2
232	MyNamaSheff	2
260	JohnnyFyes	1
260	FazeObama69	1
260	CadenSteele	1
260	teslawolf38	1
260	q_wq	1
260	I_Am_Mushkin	1
260	bigstankyy	1
260	gren_ben	1
260	LeDuctTape	1
260	NotP0tato	1
260	Hpdinosaur	1
260	RebelAndroid	1
260	WarHammer3	1
260	peach0s	1
260	H72l9w	1
260	MrKrabOnCoke	1
260	gaziter10	1
260	Whiterooster001	1
260	Pofen	1
260	jacxhadow	1
260	MrExplorer	1
260	SoftSix	1
260	noodlepack	1
260	Timfinity4	1
260	Z3braYTIL	1
260	Kamflame10	1
260	groggregg42	1
260	intropass	1
260	2Stout	1
260	TheDankPlatypus	1
260	Winklepicker279	1
260	Lil_Breadboy	1
260	Jonafrog99	1
260	pappaberg	1
