rank	username	minecraft:mined/minecraft:grindstone
1	PlasticOtari	147
2	Mahoose	116
3	rarrq	68
4	Smoke____	65
5	Soplight	63
6	HellsSponge	60
7	ROY4LE	58
8	noam464	57
9	Freak_Genius	50
10	Jackattack53	47
11	Blackberry1310	32
12	Drlzyy	31
13	masskedman	30
14	pintsizedrogue	27
15	Hyp3rion_	26
15	Blaiku	26
17	pixelviolin	24
18	TheSecondLord	22
19	Merv__	20
20	jacxhadow	19
20	SlayerCrypto	19
22	ImpavidArcher	18
22	500am	18
22	YungMaki	18
25	burbankbuilder28	17
26	beeperbeeper5	16
26	MyNameIsJobo	16
26	Ezekson	16
29	pappaberg	15
29	LexMakesHistory	15
31	joethahobo	14
31	Vizzoid	14
31	EveryonesUncle	14
31	Groundler	14
31	Racengan	14
31	Steelynan	14
31	Quotary	14
38	EMC_	13
38	thescout7	13
38	EcksDofficial	13
41	youhjjhhhjj	12
41	12Magner05	12
41	thewindmillman	12
41	Kim_Jong_eel	12
41	Xclax101	12
41	Luigipunch989	12
47	Historical_Sand	11
47	Lutres_Torane	11
47	Skippeh	11
47	TechnoNinja64	11
51	MattieHD	10
51	mwrty	10
51	TheShyPig	10
51	fffMike	10
55	Ryker	9
55	Xalithia	9
55	Onennon	9
55	Jiminie	9
55	Eraxa	9
55	UltraZombie	9
61	Jovaphobic	8
61	Bandito_Roamer	8
61	KarlKaek	8
61	UncreativeArtist	8
61	fred870d	8
61	ClemenPine	8
61	wezzzi	8
61	JESS_THE_RERE	8
61	ReyTheLegend	8
61	starbits140	8
71	ShedJr_	7
71	mennorovers	7
71	Megarboh	7
71	egglapras	7
71	Kubelz	7
71	Bumpy419	7
71	fluddd	7
71	ayamefag	7
71	diggydog67	7
80	_Virify_	6
80	eitanzaki	6
80	Di_infiri	6
80	Snowflowe	6
80	Zythose	6
80	ooga47	6
80	aec9	6
80	brofrickcheaters	6
80	oxfordschool	6
80	Enderslayerxz3	6
80	Legendosh	6
91	H72l9w	5
91	Euclidoris	5
91	MangoTheFish	5
91	Maenara	5
91	Hisiste	5
91	Spacewardharpy7	5
91	_3Stump_	5
91	Eczbek	5
91	WYFYoyo	5
100	lewieinnit	4
100	Yatitay	4
100	TooManyDuck	4
100	Jackster03	4
100	Fullut	4
100	emrekn	4
100	CharlieButt	4
100	Winklepicker279	4
100	Rumpletaezer	4
100	Arceus1975	4
100	CarryLine	4
100	Sky_light_KING	4
100	fkGrim	4
100	rotten_mango	4
100	El_Jalapeno	4
100	Blu3beast	4
100	Factoroni	4
100	geekbird	4
100	sp00ky_ghost977	4
100	UrbanPlanner1978	4
120	fanofbands101	3
120	soundad	3
120	TildaAndrea	3
120	ivorico	3
120	MSK__	3
120	Malorn_Aetherius	3
120	ratglock	3
120	kekhon	3
120	Smashic	3
120	surfinggiraffejp	3
120	BlueZabu	3
120	Ecplosive	3
120	mariominejedi	3
120	SuperPooch06	3
120	Fast_Turtle	3
120	Rebytre	3
120	Werbe	3
120	jewbacaman	3
120	MonitorLizards	3
120	xo_Marren_xo	3
120	AuroraSkies	3
120	AlphaWolfPlaysMC	3
120	DemTechAlpha	3
120	_Karmaa	3
120	NameGenerat0r	3
120	StinkyDiplomat	3
120	MightyWertu	3
120	LetsDoItLive	3
120	stahouo	3
120	TheOuterCore	3
120	RadarHz	3
120	Lowjinx	3
120	jnp_gaming	3
153	Groovy_MoonBird	2
153	Froste131	2
153	JEWISHBadenBeele	2
153	Paint	2
153	AuroraValkyrie	2
153	diamondgolem35	2
153	Dedalus36	2
153	hm947	2
153	Tolhart	2
153	Frozt99	2
153	Incinere	2
153	livingdaydreams	2
153	Prismyst	2
153	Sleepy_Time_	2
153	Ssor69	2
153	titanlax	2
153	m_be9	2
153	ProfessorBee	2
153	lordsaladito	2
153	Kkanot	2
153	himak1	2
153	orxngejuice	2
153	PegLegPete93	2
153	Mewar	2
153	SellyZ	2
153	xxPipperDipperxx	2
153	Paintz	2
153	XboxPanda	2
153	TheDankPlatypus	2
153	SHAOBADMAN	2
153	Kakolbus	2
153	ImDisconnected_	2
153	Ristebraaten	2
153	gabriels543	2
153	whoaluv	2
153	King_Pancake1	2
153	PigDab	2
153	victorLIE	2
153	FishyBoy3811	2
153	RodSerlingCringe	2
153	Akoot_	2
153	Deathkob	2
153	claivin	2
153	MAns_44	2
153	LordAurum	2
153	Fildyr	2
153	wwwwinnebagoooo	2
153	Dusk_95	2
153	stavgod	2
153	PabloGonza02	2
153	kyouma777	2
153	Kowcio_	2
153	Segotep999	2
153	PlzNoBM	2
153	mawileite	2
153	KingMatthew506	2
153	MissCeleste7	2
153	TheOnlyRake	2
153	anbbang	2
153	_AAZAR	2
153	2blox	2
153	00000000-0000-0000-0009-01ff0c3e5e4f	2
215	Louiis123	1
215	SugarMyNuggets	1
215	PhantomsGhost_	1
215	Cowison	1
215	teslawolf38	1
215	KingFaenor	1
215	Wooptey	1
215	KomputerDude	1
215	AlazelTheReal	1
215	awesomeoneme	1
215	SpaceGrenadier	1
215	301851	1
215	Unitas_isa	1
215	uhm__okay	1
215	DirtyDalle	1
215	Stynxy	1
215	dopplexd	1
215	Cryptacity	1
215	Comma__	1
215	StanceTB	1
215	noodlepack	1
215	Austine6698	1
215	G1ldor	1
215	set67	1
215	Nach0Bear	1
215	Awyrlas	1
215	Patwannabegamer	1
215	2Stout	1
215	hcb238	1
215	gcaisawesome	1
215	r123moore	1
215	Zorin_Blitz	1
215	Chromary	1
215	GreedyFern8581	1
215	Nyxiom_	1
215	domagawha	1
215	RobotMinion101	1
215	Kynigito	1
215	fxiryglitch	1
215	_naturell	1
215	Dan_Scha	1
215	ADEXTV	1
215	TheTrueClipse	1
215	Lord_Jord	1
215	Joestra	1
215	yulgur1	1
215	natajimi	1
215	NomadicRobin_	1
215	TheSeismicDuck	1
215	NoChumpChange	1
215	chipklip	1
215	Meatlaugh	1
215	WeebleSock	1
215	DarlaMeow	1
215	The_slideV3	1
215	SwooshBoi	1
215	Nycteus_	1
215	censorsheep	1
215	BumbleBeever	1
215	DeGodz4life	1
215	Typadopoulos	1
215	bndo	1
215	WyngGoy	1
215	KG1999	1
215	underscore_2	1
215	Goldiethebear03	1
215	BlankityMcBlank	1
215	__tomato	1
215	Juh1s	1
215	SammiWolfGirl	1
215	Moetis	1
215	Ir0npack	1
215	TheNobleOstrich	1
215	Sheldor097	1
215	jcool7	1
215	Kubeusz2010	1
215	laron58	1
215	EcksD	1
215	imaginek1d	1
215	Powowowow	1
215	vandmanden	1
215	Sral7	1
215	Zoeyfortnite	1
215	trexgb	1
215	Kateesaur	1
