rank	username	minecraft:mined/minecraft:mossy_cobblestone_wall
1	pintsizedrogue	129
2	Onennon	62
3	KarlKaek	60
4	thescout7	30
4	PaperCanvas	30
6	Dakar_	28
7	Kowcio_	27
8	EMC_	23
9	beeperbeeper5	22
10	luseis	17
11	500am	16
12	SaltineDream	13
12	soundad	13
14	Mahoose	11
15	jessewegottacook	9
15	TheShyPig	9
17	surfinggiraffejp	8
17	Shogunite	8
19	Legendosh	6
20	Mr_Byzantine	5
20	Merv__	5
20	Maenara	5
23	InfernalMound	4
23	RefluxRatio	4
23	DemTechAlpha	4
26	eitanzaki	3
26	Soplight	3
28	_Huge_Male_	2
28	xxPipperDipperxx	2
28	Arceus1975	2
28	burbankbuilder28	2
28	Eraxa	2
28	carbo_bro	2
28	Enderxz3	2
35	TildaAndrea	1
35	rachcl	1
35	Malorn_Aetherius	1
35	Notta	1
35	Pelbo	1
35	noam464	1
35	killmeiamtraitor	1
35	Krowuss	1
35	Rebytre	1
35	Kynigito	1
35	Lord_Jord	1
35	audiocracked	1
35	HellsSponge	1
35	Xclax101	1
35	ItsDeltaMC	1
35	obzii	1
35	Sral7	1
