rank	username	minecraft:mined/minecraft:polished_deepslate
1	titanlax	1306
2	500am	1031
3	pintsizedrogue	522
4	Winklepicker279	188
5	RebelAndroid	165
6	Hermanni__	147
7	thewindmillman	133
8	pixelviolin	115
9	benediktine1	87
10	Spenduh	67
11	beeperbeeper5	53
12	Inchef	48
13	Mahoose	47
14	Kowcio_	39
15	Rebytre	34
16	IdeallyGrey	30
17	PlasticOtari	26
18	TAKrules	21
19	EMC_	20
19	sp00ky_ghost977	20
21	Gryglu583	17
22	Jiminie	16
23	MAns_44	14
24	PigDab	12
24	TJawesome09	12
26	lizardfightclub	10
27	Kubelz	9
27	Hyp3rion_	9
27	lordpipe	9
30	sebastiensaborio	8
31	Legendosh	7
32	EcksD	6
33	Megarboh	5
33	breadbowlgamer	5
33	fffMike	5
33	Smoke____	5
37	Deathkob	4
37	RadarHz	4
37	Enderslayerxz3	4
40	TheSecondLord	3
40	CalebDHawk	3
42	CoffeeNoir	2
42	crying_wolf_13	2
42	mobunni	2
42	AltnumberF4	2
46	hm947	1
46	SquadMonster	1
46	Jackattack53	1
46	_Boipl_	1
46	ApophisNova	1
46	Ezekson	1
46	MyNamaSheff	1
