rank	username	minecraft:mined/minecraft:purple_banner
1	SteveCraftBlocks	95
2	_i_ERROR_i_	11
3	acatter	10
3	thewindmillman	10
5	LuvLuvLove	9
6	craaaash	7
7	Dakar_	5
8	ConnorDanky_	4
9	SaucyDark	3
9	Blackberry1310	3
9	Kowcio_	3
12	Groovy_MoonBird	2
12	Mr_Byzantine	2
12	Merv__	2
12	Lez_	2
12	Sleepy_Time_	2
12	beeperbeeper5	2
12	Ssor69	2
12	CircusKazi	2
12	gustarlep	2
12	luseis	2
12	BinChickenBrine	2
12	SammiWolfGirl	2
24	Jovaphobic	1
24	pintsizedrogue	1
24	k_ce	1
24	ECstardust	1
24	Mahoose	1
24	MyNameIsJobo	1
24	MinerDec	1
24	thatsjustfrankie	1
24	lordpipe	1
24	_purple	1
24	Soplight	1
24	TheBananaKat	1
24	Enderxz3	1
