rank	username	minecraft:mined/minecraft:orange_banner
1	Lez_	38
2	skitzxo	25
3	beeperbeeper5	12
4	jnp_gaming	10
5	eitanzaki	9
5	rarrq	9
7	FreakGenius	8
8	pintsizedrogue	5
8	Mr_Byzantine	5
8	Hoid_the_Roamer	5
8	Onennon	5
8	Eczbek	5
13	MixerDixer	4
13	Blackberry1310	4
13	Snowflowe	4
13	Kowcio_	4
17	funeralhome	3
17	RebelAndroid	3
17	12Magner05	3
17	Werbe	3
17	Akoot_	3
17	Myntsys	3
23	500am	2
23	r123moore	2
23	zcrk	2
23	bl1ss0	2
23	burbankbuilder28	2
23	audiocracked	2
23	pretty_pink_reno	2
23	lordpipe	2
23	MakeHistory157	2
23	Eraxa	2
23	pixelviolin	2
34	Cowison	1
34	WarHammer3	1
34	Mahoose	1
34	joethahobo	1
34	Swexti	1
34	TheSecondLord	1
34	kekhon	1
34	ChillenChiggen	1
34	fragrantmonke444	1
34	pappaberg	1
34	Mattesco	1
34	Blaiku	1
34	Buuck_	1
34	Spacewardharpy7	1
34	Soplight	1
34	miramyu	1
34	ConnorDanky_	1
34	h2p_emrld	1
