rank	username	minecraft:mined/minecraft:pink_concrete
1	lordpipe	4731
2	EveryonesUncle	1629
3	PigDab	794
4	beeperbeeper5	792
5	AdmiralSmoke	781
6	xxPipperDipperxx	638
7	LordSpeed37	566
8	Legendosh	561
9	Lez_	554
10	ROY4LE	525
11	YungMaki	395
12	Spacewardharpy7	392
13	_Huge_Male_	369
14	CornOnTheCobalt	249
15	jnp_gaming	245
16	Tyrannosplart	228
17	Tobinator_007	210
17	remmisrat	210
19	obzii	209
20	Deguns123	208
21	ConnorDanky_	197
22	TheSecondLord	178
23	pintsizedrogue	158
24	joethahobo	129
25	xzvu	102
26	Fullut	98
27	Hyp3rion_	87
27	LexMakesHistory	87
29	__tomato	80
30	IAmTheWalrus910	75
31	Manaateee	67
32	noam464	66
33	RoboTramp7865	65
34	HellsSponge	58
35	CollinMH06	57
36	k_ce	48
37	MakeHistory157	41
38	Ezekson	40
39	lillips	31
40	SvenskaHugo	26
41	thewindmillman	25
41	Avocadogerms	25
43	pr33tu	19
43	Ahketen	19
45	EcksD	17
46	Frozil20	16
47	chipklip	14
48	OreTheBear	12
49	500am	11
50	hanaryheatwave	8
50	Jimb0nat0r	8
52	ShedJr_	7
52	Cyntrical	7
52	Lunkuku	7
52	StarCookiees_	7
56	Arceus1975	6
57	UCP_TheKingK	5
58	HyperCave	4
58	IamCL4SSY	4
60	eitanzaki	3
60	SteveCraftBlocks	3
60	JESS_THE_RERE	3
60	Nycteus_	3
60	Kowcio_	3
65	Mahoose	2
65	Shadoko_	2
65	mariominejedi	2
65	pixelviolin	2
65	Quotary	2
70	Sleek_Storm_721	1
70	Archsam	1
70	Historical_Sand	1
70	rarrq	1
70	lunathelemon	1
70	lorpus	1
70	Jackattack53	1
70	Werbe	1
70	MousePlays	1
70	NameGenerat0r	1
70	Blaiku	1
70	Eraxa	1
70	_Mythic____	1
70	Spenduh	1
