rank	username	minecraft:mined/minecraft:zombie_wall_head
1	YungMaki	20
2	Blaiku	11
3	Ezekson	10
4	Jovaphobic	5
5	kekhon	4
5	Fullut	4
5	Akoot_	4
5	Blu3beast	4
5	jcool7	4
10	beeperbeeper5	3
10	Inbefour	3
10	SingedBread	3
10	2blox	3
14	pintsizedrogue	2
14	eitanzaki	2
14	Mahoose	2
14	ROY4LE	2
14	Hiryu27	2
14	stavgod	2
14	Smoke____	2
21	weezygator	1
21	SaucyDark	1
21	ShedJr_	1
21	TheSecondLord	1
21	egglapras	1
21	noam464	1
21	fw3xywashere	1
21	lillips	1
21	claivin	1
21	Spacewardharpy7	1
21	lordpipe	1
21	Dusk_95	1
21	SammiWolfGirl	1
21	CalebDHawk	1
21	oxfordschool	1
21	cichy096	1
21	TechnoNinja64	1
