rank	username	minecraft:mined/minecraft:cherry_leaves
1	SpacesickPrism	36525
2	EveryonesUncle	17577
3	Apollo_993	11976
4	oscminus	1352
5	Kowcio_	1080
6	pintsizedrogue	1028
7	Lez_	884
8	Mr_Byzantine	868
9	Enderxz3	815
10	xolstoi	596
11	Mr_Sun15	593
12	j5ylim	529
13	k_ce	524
14	Fullut	423
15	lunathelemon	419
16	Alteriity	370
17	12Magner05	352
18	beeperbeeper5	351
19	Krowuss	341
20	Mattesco	305
21	KarlKaek	262
22	MineMaster0012	229
23	luseis	211
24	Manaateee	201
25	Napoleonpancake	188
26	Steelynan	187
27	MAns_44	156
28	Jackattack53	139
29	hanaryheatwave	129
30	pixelviolin	122
31	tuckerdoodle	108
32	SvenskaSara	104
33	Merv__	92
34	Hahaa_0	65
35	ECstardust	57
36	PaperCanvas	56
37	Jimb0nat0r	54
38	ScootOfBoot	50
39	Archsam	41
40	Buuck_	36
40	MadmanRaven	36
42	Hyp3rion_	32
43	Reneedium	31
44	StarCookiees_	25
45	corvidpartyfor6	23
46	Myntsys	22
47	Kakolbus	19
48	Soplight	14
48	TheBananaKat	14
50	excelsionprime	6
51	KamFurnace	5
52	lorywithay	4
53	Werbe	3
53	Samificator	3
55	SOA1RR	2
55	jessewegottacook	2
55	OreTheBear	2
58	Nucket	1
