rank	username	minecraft:mined/minecraft:dandelion
1	beeperbeeper5	1467
2	SpacesickPrism	1174
3	TheShyPig	633
4	wwwwinnebagoooo	481
5	Lord_Jord	432
6	Smoke____	428
7	pintsizedrogue	426
8	Snowflowe	367
9	joethahobo	313
10	FreakGenius	291
11	WyngGoy	288
12	Xclax101	282
13	TheSecondLord	278
14	PeteO1995	274
14	Legendosh	274
16	EveryonesUncle	268
17	500am	267
17	LordSpeed37	267
19	cedric72	253
20	Lez_	251
21	PortlyPete69	239
22	EMC_	234
22	mihimihimihi	234
24	Skylord_Luke	226
25	Steelynan	216
26	YungMaki	215
27	LeauVox4921	206
28	Di_infiri	194
29	El_Jalapeno	192
30	SuperPooch06	187
31	_Dean_123	182
32	m_be9	180
33	luseis	170
34	00000000-0000-0000-0009-01ff0c3e5e4f	164
35	Mahoose	162
36	Blackberry1310	161
36	xxPipperDipperxx	161
38	kekhon	158
39	Onennon	157
39	ReflexCode	157
41	Merv__	151
42	Groovy_MoonBird	148
42	SSytex_X	148
44	anbbang	144
45	Rasmanden	141
46	Notta	139
47	HellsSponge	135
48	CoffeeNoir	132
48	Kakolbus	132
48	djancak	132
51	lordpipe	130
51	SammiWolfGirl	130
53	Smashic	129
54	Wolf_Mauler_73	127
55	ImpavidArcher	125
55	Fullut	125
55	Rumpletaezer	125
55	Arceus1975	125
59	masskedman	122
60	burbankbuilder28	121
60	xolstoi	121
62	PlasticOtari	119
63	claivin	117
64	TheDankPlatypus	114
65	NatalieTW	113
65	Frozil20	113
67	eitanzaki	112
67	MovingFish7	112
69	sp00ky_ghost977	111
70	Njensen7	110
71	Crowman1	105
72	PhantomsGhost_	102
73	Kowcio_	97
74	ProfessorBee	96
75	SaucyDark	95
76	ZeroAbyssTTV	94
77	Jimb0nat0r	91
78	TheFlfthHorseman	90
79	AuroraSkies	89
80	Huwulling	88
80	Bumpy419	88
82	lcvezra	86
83	IAmTheWalrus910	83
84	AuroraValkyrie	82
84	Spacewardharpy7	82
84	EngagedGrub41	82
87	Zythose	81
88	starbits140	79
89	jnp_gaming	76
90	AJplaysMC_	73
90	Hyp3rion_	73
90	groofles	73
93	fluddd	71
93	Enderxz3	71
95	AlexStrange	70
95	Akoot_	70
97	GlitchyPlate810	69
98	jacxhadow	68
98	XxCookiequeenxX	68
100	T045RTY	67
100	rarrq	67
100	thewindmillman	67
103	QuiCreans	66
103	MyNameIsDakar	66
105	12Magner05	65
106	SirBreadward	64
107	FishyBoy3811	63
107	Nicserso	63
109	titanlax	61
109	Dusk_95	61
111	MyNameIsJobo	60
111	wezzzi	60
113	tobinwilliams	59
113	_TCARREIRA_	59
115	Ozixar	58
115	pappaberg	58
115	Kim_Jong_eel	58
115	Luigipunch989	58
119	Wooptey	57
119	Blu3beast	57
121	BlancoFlaco	56
121	ROY4LE	56
121	tsitrawhy	56
124	Xalithia	55
125	RoskobiOne	54
125	ThiccExotic	54
125	Ze_BaronKrigler	54
128	Bandito_Roamer	52
128	shineh10	52
128	bloodbiter	52
128	Inchef	52
128	Inbefour	52
133	Kubeusz2010	51
134	Windo_licker	50
134	ItsAki_	50
134	DarlaMeow	50
134	Warlord324	50
134	MrMeisterProper	50
139	seanitoo	49
139	Froste131	49
139	Awyrlas	49
139	_Boipl_	49
139	ougstur	49
139	SaintJosie	49
139	Fuad_R	49
139	07shiny	49
147	Tommhh	48
147	KlausVonStiglitz	48
149	Louiis123	47
149	Chuvacevedo	47
151	CompAir	46
152	set67	45
152	himak1	45
152	Soplight	45
155	xXTheWolfmanXx	44
155	theonlymagikarp	44
155	ApophisNova	44
155	Meatlaugh	44
155	_k2x	44
155	Hisiste	44
155	fffMike	44
155	MyNamaSheff	44
163	binman420	43
164	ExtraDumb	42
164	RebelAndroid	42
164	Cortexia	42
164	LavenderBi1ch	42
164	Jackattack53	42
164	Deguns123	42
170	Mr_Byzantine	41
170	PegLegPete93	41
170	hcb238	41
170	TechnoNinja64	41
174	monky_irl	40
174	pixelviolin	40
174	ThisUserIsStump	40
177	Cowison	39
177	Touched_Bread	39
177	MAns_44	39
180	KarlKaek	38
180	noam464	38
180	__tomato	38
180	mawileite	38
180	VentiHilton	38
180	Kiki_Majiki	38
186	hm947	37
186	Rebytre	37
186	Dreamdbr14	37
186	Ezekson	37
186	h2p_emrld	37
191	Tolhart	36
191	Werbe	36
191	NomadicRobin_	36
191	MinuteMira	36
191	Karbl	36
191	xzvu	36
191	CattSoup	36
198	drunkeeez	35
198	thebaddruid	35
198	Maenara	35
198	Nekomin0	35
198	Quotary	35
203	prizm_	34
203	Jeteight	34
203	OffWithTheirHead	34
206	DJenthousiast	33
206	wobn	33
206	Soap_Bender	33
206	Blaiku	33
210	M_Patata	32
210	toetagnyc	32
210	Deathkob	32
210	Typadopoulos	32
214	XboxPanda	31
214	CollinMH06	31
214	Parcc	31
214	The11thDoctor	31
214	Elastiq	31
219	jspwn	30
219	ShedJr_	30
219	Dali1465	30
219	Zielo2017PL	30
223	Jovaphobic	29
223	thescout7	29
225	Dragonfest	28
225	jillian12345	28
225	KartivGal	28
225	Lord_Zacler	28
225	Tyrannosplart	28
225	ewpunk	28
231	Sleek_Storm_721	27
231	Tetzel55	27
231	Hiryu27	27
231	Corbsman	27
231	Cattoh	27
231	KeruNatsema	27
231	AltnumberF4	27
238	Historical_Sand	26
238	Avrelion	26
238	ImDisconnected_	26
238	Winklepicker279	26
238	TheSeismicDuck	26
238	sufjanlover	26
238	LeeMcGee30	26
238	diggydog67	26
246	Esme_1	25
246	TooManyDuck	25
246	ZigzagLily43042	25
246	MrExplorer	25
246	CyrusIsTired	25
246	r123moore	25
246	Kynigito	25
246	Lutres_Torane	25
246	MightyWertu	25
255	TheWildMateo	24
255	Mattesco	24
255	epiksk8erduck	24
255	1442	24
255	UCP_TheKingK	24
255	EcksD	24
261	mimbo1211	23
261	superGamerBoy_	23
261	PigDab	23
261	Toasty_Tom	23
261	Nycteus_	23
261	ConnorDanky_	23
261	RadarHz	23
268	ImNotYuqii	22
268	Ssor69	22
268	lordofthelight95	22
268	orxngejuice	22
268	SvenskaSara	22
268	_Cloverbelle_	22
268	IamCL4SSY	22
268	fkGrim	22
268	RedcatVII	22
268	Barlycorn	22
268	CalebDHawk	22
279	_stets	21
279	Dumkii	21
279	JokoFiskare	21
279	Covalents	21
279	HoltGrim	21
279	AnnieBathory	21
279	rotten_mango	21
279	smogfrog	21
287	Prismyst	20
287	Jokerman369	20
287	Moofyman	20
287	Skomo	20
287	MilleGrug	20
287	JayToe	20
293	Prodiginus	19
293	CrookedKaptain	19
293	Tjhodskins19	19
293	Kubelz	19
293	BRRRN179	19
293	YahooScreen9000	19
293	420BreadLizard	19
300	bigstankyy	18
