rank	username	minecraft:mined/minecraft:beacon
1	joethahobo	163
2	EcksD	118
3	mwrty	111
4	Spacewardharpy7	110
5	lordpipe	102
6	Blaiku	94
7	beeperbeeper5	90
8	HellsSponge	89
9	noam464	85
10	PigDab	84
11	Spenduh	81
12	YungMaki	75
13	Werbe	74
13	AssEatrAndLicker	74
15	Mahoose	71
16	eitanzaki	68
17	Wowful	63
18	TheSecondLord	62
19	Ezekson	58
20	thescout7	57
20	Di_infiri	57
22	gcaisawesome	56
23	pintsizedrogue	53
24	Freak_Genius	52
24	Frozil12	52
26	EveryonesUncle	47
27	12Magner05	45
27	Sral7	45
29	Hyp3rion_	44
30	Snowflowe	36
30	Maenara	36
30	Smoke____	36
33	Rumpletaezer	34
33	ApophisNova	34
33	MyNamaSheff	34
36	rarrq	33
36	MilleGrug	33
38	CoffeeNoir	29
38	ROY4LE	29
38	chipklip	29
38	fffMike	29
42	Jovaphobic	27
43	jnp_gaming	26
43	EcksDofficial	26
45	Inbefour	25
46	Blackberry1310	24
46	GlitchyPlate810	24
48	Incinere	23
49	OtariCharlie	22
50	Merv__	21
50	awesomeoneme	21
50	dimitri0s	21
50	Inchef	21
50	Hermanni__	21
55	thewindmillman	20
55	lillips	20
55	NameGenerat0r	20
58	kekhon	19
58	Jackattack53	19
58	pixelviolin	19
61	Groovy_MoonBird	18
61	_Nuf	18
61	MyNameIsJobo	18
61	SingedBread	18
61	stahouo	18
66	teslawolf38	17
66	set67	17
68	Arceus1975	16
68	Hisiste	16
68	Kowcio_	16
68	Enderslayerxz3	16
72	Euclidoris	15
72	vandmanden	15
74	Historical_Sand	14
74	Swexti	14
74	Fullut	14
74	Kakolbus	14
74	Zythose	14
74	El_Jalapeno	14
74	Eraxa	14
74	sadvavilloso	14
82	Natofthese	13
82	m_be9	13
82	xxPipperDipperxx	13
82	XboxPanda	13
82	Skylord_Luke	13
82	fred870d	13
82	Shogunite	13
82	Blu3beast	13
82	Soplight	13
82	Dogcorn69420	13
82	sebastiensaborio	13
82	jcool7	13
82	Skippeh	13
82	HesDemonPants	13
82	Zoeyfortnite	13
97	PhantomsGhost_	12
97	Zaridey	12
97	Winklepicker279	12
97	Corbsman	12
97	Soap_Bender	12
97	claivin	12
97	__tomato	12
97	PortlyPete69	12
97	Legendosh	12
97	MeetTheWollo	12
107	SquadMonster	11
107	ProfessorBee	11
107	Marbz_	11
107	wezzzi	11
107	yulgur1	11
107	masskedman	11
107	NoChumpChange	11
107	fluddd	11
107	Racengan	11
107	Sheldor097	11
107	Nicserso	11
107	little_dUki	11
119	diamondgolem35	10
119	ExtraDumb	10
119	mariominejedi	10
119	gabriels543	10
119	Hoid_the_Roamer	10
119	the__Reaper4999	10
119	KG1999	10
119	TechnoNinja64	10
127	Dedalus36	9
127	RebelAndroid	9
127	lotarp	9
127	Awyrlas	9
127	ayqq	9
127	Onennon	9
127	Lord_Jord	9
127	NomadicRobin_	9
127	Dusk_95	9
127	Optiprimus	9
127	stavgod	9
127	Strangemonkey71	9
139	Cowison	8
139	bigstankyy	8
139	ImpavidArcher	8
139	SaucyDark	8
139	IforgotCS_Source	8
139	Hoshi	8
139	Hiryu27	8
139	the_russell1611	8
139	GoofyBread	8
139	cog	8
139	SkateboardR6	8
139	FallenCorps	8
139	h2p_emrld	8
152	_Virify_	7
152	Drlzyy	7
152	TildaAndrea	7
152	ssleepless	7
152	FirsTimeGamingTV	7
152	Mewar	7
152	AlphaWolfPlaysMC	7
152	Nycteus_	7
152	Xclax101	7
152	Factoroni	7
152	alderban107	7
152	anbbang	7
152	Miko_Fullbuster	7
152	oxfordschool	7
152	2blox	7
152	kinas45y5	7
168	soundad	6
168	q_wq	6
168	EMC_	6
168	TooManyDuck	6
168	BodaciousCake	6
168	LionelHutzESQ	6
168	Rich_Kat	6
168	boog4loo	6
168	Kamflame10	6
168	r123moore	6
168	SuperPooch06	6
168	Bumpy419	6
168	Truckoss	6
168	FishyBoy3811	6
168	Rasmanden	6
168	Akoot_	6
168	The_Quack_Dealer	6
168	Steven1282598	6
168	MightyWertu	6
168	Groundler	6
168	sp00ky_ghost977	6
168	SvenskaHugo	6
168	lcvezra	6
168	obzii	6
192	Gundam_Steven	5
192	ShedJr_	5
192	gaziter10	5
192	himak1	5
192	eviltunix	5
192	_8man	5
192	BronkerBrum	5
192	Sky_light_KING	5
192	The_slideV3	5
192	DanTheBuilderino	5
192	Barlycorn	5
192	SexcMf	5
192	PlzNoBM	5
192	RadarHz	5
192	FelixPSY375	5
192	UrbanPlanner1978	5
208	Bandito_Roamer	4
208	JEWISHBadenBeele	4
208	I_Am_Mushkin	4
208	Franco093	4
208	TheThomas69	4
208	_Dean_123	4
208	groggregg42	4
208	Flapjacker687	4
208	CollinMH06	4
208	loveseeker	4
208	Issachan	4
208	MangoTheFish	4
208	RobotMinion101	4
208	ogoa	4
208	Deodorante	4
208	Deathkob	4
208	DarlaMeow	4
208	secondstepsis	4
208	Warlord324	4
208	MakeHistory157	4
208	VentiHilton	4
208	trexgb	4
208	diggydog67	4
231	nataliecool	3
231	_NieToksikpl_	3
231	MixerDixer	3
231	abramgray	3
231	Bad_At_Names_Guy	3
231	T045RTY	3
231	NinjaKnifeKill	3
231	SpaceGrenadier	3
231	MSK__	3
231	301851	3
231	Chickenchaser2	3
231	MinttyFressh	3
231	surfinggiraffejp	3
231	__Fanda__	3
231	WET_WET_WET	3
231	burbankbuilder28	3
231	Rocco_Lane	3
231	Afinnity	3
231	Vetral1	3
231	TheShyPig	3
231	audiocracked	3
231	Syropatathe	3
231	YungWali	3
231	_Karmaa	3
231	BumbleBeever	3
231	TheTommyGun63	3
231	33sudo	3
231	07shiny	3
231	_TCARREIRA_	3
231	Winston_Ingram	3
231	MissCeleste7	3
231	Quotary	3
231	The_SlideV5	3
231	camando92	3
265	_stets	2
265	Iagoku	2
265	BoraMC	2
265	Octatrack	2
265	oreee	2
265	Ssor69	2
265	NasdaqCrash	2
265	Zedducius	2
265	jushykins	2
265	jiggywraps	2
265	YungJakobo	2
265	Dragonfest	2
265	pr33tu	2
265	500am	2
265	Z3braYTIL	2
265	emrekn	2
265	PegLegPete93	2
265	SellyZ	2
265	zylanzagreat	2
265	theonlymagikarp	2
265	NotKaden_	2
265	Bazongoman	2
265	Chromary	2
265	King_Pancake1	2
265	DaviusMaximoose	2
265	pappaberg	2
265	domagawha	2
265	k1ngGilgamesh	2
265	Sqwishy	2
265	Invisie	2
265	Jonte0599	2
265	Loraxonlyfans	2
265	Huic_ostiarius	2
265	ClemenPine	2
265	KliBeast21	2
265	Negriuke	2
