rank	username	minecraft:mined/minecraft:orange_shulker_box
1	Blackberry1310	2242
2	TechnoNinja64	2120
3	YungMaki	852
4	AdmiralSmoke	692
5	Onennon	554
6	pintsizedrogue	550
7	m_be9	543
8	Hyp3rion_	530
9	lordpipe	502
10	Kakolbus	435
11	Lez_	406
12	Blaiku	404
13	beeperbeeper5	326
14	luseis	277
15	Mahoose	250
16	Eraxa	242
17	PlasticOtari	235
18	Enderxz3	230
19	HellsSponge	219
20	Rasmanden	213
21	Kowcio_	207
22	500am	190
23	Alteriity	180
24	12Magner05	171
25	Huwulling	167
26	oscminus	162
27	Fullut	161
28	kekhon	153
29	claivin	148
29	Segotep999	148
31	yulgur1	129
32	Hoid_the_Roamer	125
33	MineMaster0012	117
33	jnp_gaming	117
35	Apollo_993	113
36	lillips	109
37	TheSecondLord	108
38	Snowflowe	107
39	Bumpy419	104
40	mwrty	101
41	Jackattack53	100
42	PhantomsGhost_	93
42	Skylord_Luke	93
42	selectrix	93
45	Jimb0nat0r	92
46	Manaateee	90
47	Smashic	88
48	FirsTimeGamingTV	85
49	Ezekson	83
50	Cowison	76
51	SteveCraftBlocks	74
52	ROY4LE	73
53	Myszoaz	72
53	Dogcorn69420	72
55	Swexti	71
55	Awyrlas	71
55	Rumpletaezer	71
58	MightyWertu	70
59	set67	67
59	alderban107	67
61	ItsDeltaMC	66
62	_Virify_	65
63	sp00ky_ghost977	64
63	jcool7	64
65	Bandito_Roamer	62
65	Spacewardharpy7	62
65	HesDemonPants	62
68	Barlycorn	60
69	ConnorDanky_	55
70	hanaryheatwave	52
70	Mattesco	52
70	Spenduh	52
73	teslawolf38	51
73	jessewegottacook	51
75	fade_emerge78823	49
75	Akoot_	49
77	Krowuss	46
77	_Mythic____	46
79	Winklepicker279	43
79	Lord_Jord	43
79	Tyrannosplart	43
82	Njensen7	42
82	Iamthejo	42
84	CoffeeNoir	41
85	pixelviolin	40
86	rarrq	39
86	burbankbuilder28	39
86	LeonelSalamanca	39
89	Luigipunch989	34
90	corvidpartyfor6	31
90	iSammael	31
92	QuiCreans	30
92	Crowman1	30
92	SingedBread	30
92	Nicserso	30
96	Merv__	29
96	ECstardust	29
96	gcaisawesome	29
96	NameGenerat0r	29
96	Groundler	29
96	Strangemonkey71	29
96	Steelynan	29
103	_i_ERROR_i_	28
103	EcksD	28
105	SmashingPump	27
105	SaucyDark	27
105	4774	27
108	joethahobo	26
108	MattieHD	26
108	noam464	26
111	diamondgolem35	24
111	FadedSpade82	24
113	SellyZ	22
113	Di_infiri	22
113	Jonafrog99	22
113	Deathkob	22
117	Ecplosive	21
117	Sral7	21
119	masskedman	20
120	Euclidoris	19
120	IamCL4SSY	19
120	Karbl	19
120	Blu3beast	19
124	PazinGaming	18
124	ImpavidArcher	18
124	hm947	18
124	Chromary	18
124	ApophisNova	18
124	MyNamaSheff	18
130	TooManyDuck	17
130	Hpdinosaur	17
130	SkateboardR6	17
133	thewindmillman	16
133	Xclax101	16
133	OffWithTheirHead	16
133	SpacesickPrism	16
137	ItsDed	15
137	Marbz_	15
137	audiocracked	15
137	fffMike	15
137	mawileite	15
142	Da_Boss_Rani	14
142	TheDankPlatypus	14
142	PigDab	14
142	bearlystraight	14
142	UCP_TheKingK	14
147	wwwwinnebagoooo	13
147	Hisiste	13
147	Razzgriz	13
147	SvenskaHugo	13
147	Eczbek	13
152	RatatJuice	12
152	jushykins	12
152	TheShyPig	12
155	prizm_	11
155	Kouridragon	11
155	mihimihimihi	11
158	MuffinManzz	10
158	eitanzaki	10
158	Inchef	10
158	Zaridey	10
158	Nycteus_	10
158	CattSoup	10
164	pappaberg	9
164	Truckoss	9
164	EveryonesUncle	9
164	FishisTTV	9
168	Mr_Byzantine	8
168	soundad	8
168	Octatrack	8
168	yheece	8
168	Soplight	8
168	obzii	8
174	lorpus	7
174	MAns_44	7
174	Aezekial	7
174	SammiWolfGirl	7
174	Legendosh	7
179	Historical_Sand	6
179	Secret_Canary	6
179	Kkanot	6
179	surfinggiraffejp	6
179	SBean737	6
179	AlexxO_o	6
179	ZeroKraken	6
179	little_dUki	6
187	MixerDixer	5
187	AuroraValkyrie	5
187	EMC_	5
187	Sleek_Storm_721	5
187	Jagyeol	5
187	catandmoose	5
187	SoftSix	5
187	NomadicRobin_	5
187	TheOuterCore	5
187	Biites	5
197	dimondking777	4
197	Iagoku	4
197	Ryan_GEMS	4
197	Covalents	4
197	k1ngGilgamesh	4
197	fw3xy74	4
197	FreakGenius	4
197	fluddd	4
197	MilleGrug	4
197	Powowowow	4
207	Flapjacker687	3
207	thescout7	3
207	Xalithia	3
207	r123moore	3
207	Zythose	3
207	shockdocta	3
207	Deodorante	3
207	_Karmaa	3
207	EfficientC52	3
207	MakeHistory157	3
207	SexcMf	3
207	__tomato	3
207	KujikawaRisechi	3
207	stellarjay	3
207	AltnumberF4	3
222	ExtraDumb	2
222	Bad_At_Names_Guy	2
222	lunathelemon	2
222	poopybh	2
222	Pineapplesugr	2
222	emrekn	2
222	SlayerCrypto	2
222	Werbe	2
222	Kynigito	2
222	Inbefour	2
222	Lord_Zacler	2
222	Shogunite	2
222	Lunkuku	2
222	sadvavilloso	2
222	Kyrum2169	2
222	BlankityMcBlank	2
222	PortlyPete69	2
222	FelixPSY375	2
222	2blox_	2
241	H0UNDFRMH3LL	1
241	_Huge_Male_	1
241	SaphLaseer	1
241	AgressiveEggdog	1
241	q_wq	1
241	BoraMC	1
241	Batman922	1
241	MC_Gamer_Geek	1
241	PhantomBionic	1
241	Butternutsquatch	1
241	Jakobo1337	1
241	Motsaro	1
241	xxPipperDipperxx	1
241	theonlymagikarp	1
241	benediktine1	1
241	MyNameIsJobo	1
241	WET_WET_WET	1
241	King_Pancake1	1
241	Eczbox	1
241	Capss	1
241	sammidk	1
241	Dennid	1
241	wezzzi	1
241	Agent108	1
241	KSI	1
241	DarlaMeow	1
241	Fuad_R	1
241	StinkyDiplomat	1
241	AnArtisticDud	1
241	3_Solar_3	1
241	OG_Songsee	1
241	non089	1
241	SkinnyBois	1
241	Hermanni__	1
241	VentiHilton	1
241	ZoomieZoomie	1
241	TrollerYT	1
241	TheBananaKat	1
