rank	username	minecraft:mined/minecraft:light_blue_candle
1	SingedBread	14
2	NomadicRobin_	3
2	Steven1282598	3
4	lordpipe	2
4	EcksDofficial	2
6	pintsizedrogue	1
6	Mahoose	1
6	xxPipperDipperxx	1
6	lillips	1
6	Nycteus_	1
6	Ezekson	1
6	Legendosh	1
6	PlasticOtari	1
