rank	username	minecraft:mined/minecraft:cyan_candle
1	12Magner05	6
1	luseis	6
3	Enderxz3	5
4	noam464	4
5	TheSecondLord	3
6	cutelilreno	2
6	00000000-0000-0000-0009-01fe065167f0	2
8	pintsizedrogue	1
8	craaaash	1
8	HolyVenom	1
8	emreknugrlu	1
8	Ezekson	1
8	PlasticOtari	1
