rank	username	minecraft:mined/minecraft:cherry_trapdoor
1	Lez_	215
2	k_ce	91
3	pretty_pink_reno	69
4	skitzxo	60
5	bl1ss0	48
6	StarCookiees_	46
7	Reneedium	41
8	Kowcio_	26
9	OreTheBear	24
10	Krowuss	20
11	Mr_Byzantine	13
11	KamFurnace	13
13	Merv__	12
13	HUNTERmaun	12
15	Alteriity	11
16	Napoleonpancake	10
17	XxCookiequeenxX	8
18	PazinGaming	7
18	Myntsys	7
20	MattieHD	6
21	Mattesco	4
22	lorywithay	3
22	fragrantmonke444	3
22	EveryonesUncle	3
22	MAns_44	3
26	pintsizedrogue	2
26	Jackattack53	2
26	Gus2005	2
26	Buuck_	2
26	Legendosh	2
31	noam464	1
31	U_Mos_	1
31	Moofyman	1
31	Mr_Sun15	1
31	Hahaa_0	1
31	luseis	1
31	Pumpkin_P_Patch	1
31	Enderxz3	1
31	Jimb0nat0r	1
