rank	username	minecraft:mined/minecraft:cherry_log
1	Apollo_993	9979
2	SpacesickPrism	7312
3	11Brewer	6640
4	EveryonesUncle	4044
5	Mr_Byzantine	3286
6	Enderxz3	3158
7	Caribouse	3098
8	Dynamic_wolf_1	2299
9	Spaghettatron	1504
10	Merv__	1007
11	Steelynan	833
12	XxCookiequeenxX	829
13	Lazy_geniusig	825
14	Lez_	754
15	Alex_Hansen	734
16	ee_echo_oo	686
17	Alteriity	644
18	RatatJuice	632
19	Yamdalorian	619
20	emreknugrlu	592
21	Rebytre	561
21	FiguraDei	561
23	powercas_gamer	551
24	shineh10	539
25	robonya_	522
26	CacheOut	469
27	Mattesco	454
28	pintsizedrogue	438
29	Moofyman	391
30	Sleepy_Evelyn	382
31	lorywithay	360
32	craaaash	353
33	cutelilreno	333
34	k_ce	315
35	royal_2	287
36	Reneedium	284
37	Pumpkin_P_Patch	279
38	12Magner05	275
39	PercivalCaduceus	261
40	MattieHD	257
41	kaiwill0w	236
42	TheWickedBird	234
43	thatsjustfrankie	231
44	j5ylim	220
45	xxPipperDipperxx	215
46	Tersea_	211
47	LovableFemboy	209
48	Paul_Katan	207
49	oscminus	195
50	milltesco	192
51	AstreaTSS	182
52	_witch_craft_	160
52	hanaryheatwave	160
54	Colmer94	155
55	MisfitsMike	150
56	U_Mos_	141
57	Hahaa_0	139
58	MyMawgDonaldsGon	133
59	IlkeCookes_	129
60	HUNTERmaun	120
61	beeperbeeper5	118
62	MAns_44	100
63	theonlymagikarp	98
64	Athenaeaen	97
65	steppe_nomad	94
65	Synthoum	94
67	InchoateOyster	89
68	Juansinmiedo18	87
69	Jekyll	84
70	Hetti301	81
71	Moss_2006	74
72	lunaticusx	71
73	Kakolbus	69
73	Hoid_the_Roamer	69
75	Galactic_Badger	67
75	KamFurnace	67
77	Krowuss	66
78	Buuck_	63
79	Lorcout	62
79	nagyvad	62
81	ECstardust	51
81	corvidpartyfor6	51
83	Kowcio_	49
84	hydrothebot	45
85	pixelviolin	42
86	NATE_the_HALO	40
87	Archsam	36
87	QuiCreans	36
89	tuckerdoodle	32
89	SvenskaSara	32
91	Manaateee	30
91	Gus2005	30
93	Fullbit_	29
94	excelsionprime	25
94	Nach0Bear	25
96	Napoleonpancake	24
96	AmmiDesu	24
96	_vlex	24
96	philandr	24
96	noam464	24
101	Hyp3rion_	23
102	Hashises	22
102	MustardSquid	22
104	CLG_Kata	21
104	thewindmillman	21
104	Mr_Sun15	21
107	PazinGaming	20
107	gabukun_	20
107	Jackattack53	20
110	Fullut	19
110	Taco_Cat898	19
110	ScootOfBoot	19
110	DJzombiehunter	19
114	TheSecondLord	18
114	Strats__	18
114	Mr_Froxy	18
117	WoofWare	17
117	_Destina_	17
117	OreTheBear	17
117	Spenduh	17
121	Werbe	16
122	Frigzy_	14
123	Tropiicant	12
124	BPTY4618	10
124	DairyNickel756	10
126	Touched_Bread	9
126	TheBananaKat	9
128	Doriok0817	8
128	PaperCanvas	8
130	pizzarel_	7
131	Secret_Canary	6
131	luseis	6
131	Myntsys	6
131	icim	6
135	lordpipe	5
136	_Huge_Male_	4
136	Soplight	4
138	Huwulling	3
138	00000000-0000-0000-0009-01fe065167f0	3
140	bl1ss0	2
141	SpartanNamor	1
141	Kondzik2008	1
