rank	username	minecraft:mined/minecraft:beetroots
1	TechnoNinja64	8208
2	bloodbiter	6178
3	TheShyPig	3956
4	SpacesickPrism	3851
5	Snowflowe	2851
6	FreakGenius	2065
7	RadarHz	1989
8	BumbleBeever	1765
9	Kim_Jong_eel	1635
10	thgrocks	1589
11	pintsizedrogue	1314
12	kekhon	1305
13	Skippeh	1280
14	Di_infiri	1214
15	NormanFetus	1144
16	PegLegPete93	1128
17	Comma__	1120
18	RebelAndroid	1095
19	Njensen7	1074
20	ProfessorBee	1019
21	Rumpletaezer	940
22	MonitorLizards	913
23	Blackberry1310	891
24	luseis	839
25	Mowelan	730
26	m_be9	707
27	Merv__	694
28	Kakolbus	669
29	beeperbeeper5	611
30	youhjjhhhjj	575
31	Smoke____	516
32	Lord_Jord	515
33	Werbe	509
34	UrbanPlanningEx	487
35	BobDeBouwer1337	478
36	KarlKaek	436
37	Voxin2K	422
38	HellsSponge	410
39	LordAurum	347
40	CoffeeNoir	346
41	Ezekson	324
42	GingerNeutron	323
43	ItsAki_	322
44	Akoot_	310
45	El_Jalapeno	294
46	Fullut	292
47	TheSecondLord	289
48	Mahoose	260
48	ApophisNova	260
48	MyNamaSheff	260
51	UncreativeArtist	253
52	WYFYoyo	245
53	6king6colt6	229
53	rachcl	229
55	Dogcorn69420	228
56	Windo_licker	227
57	MineMaster0012	223
58	lcvezra	215
59	SammiWolfGirl	214
60	SaucyDark	211
61	UltimuShadow	205
62	Warlord324	202
63	Malorn_Aetherius	199
64	Joestra	189
65	DanTheBuilderino	182
66	xolstoi	180
67	Tobinator_007	178
67	Xclax101	178
69	Hpdinosaur	176
69	striker90333	176
71	Prodiginus	173
72	thewindmillman	166
73	eitanzaki	162
73	Typadopoulos	162
75	Ailmast	158
76	joethahobo	155
77	Killercatty78	152
78	smogfrog	150
79	thescout7	148
80	cedric72	147
81	Cortexia	135
82	Russiancat1	132
83	kars0n	128
84	jewbacaman	126
85	_Nuf	125
85	Kubelz	125
87	KlausVonStiglitz	122
88	Marbz_	119
89	platinumzero	117
89	cytotoxaint	117
91	ILoveCarrot	116
92	peach0s	114
93	AJplaysMC_	105
94	MyNameIsJobo	104
94	bloomkieren	104
96	Spacewardharpy7	103
97	sufjanlover	101
98	Blaiku	97
99	q_wq	94
99	Purplehere	94
101	Deguns123	93
102	Studyhallsaver	92
102	_TCARREIRA_	92
104	Natty	91
105	Bad_At_Names_Guy	90
105	shdesolt	90
105	MS_Pryxx	90
108	Smashic	89
109	Darkgon	87
110	EMC_	85
110	FirsTimeGamingTV	85
112	VentiHilton	84
113	Ssor69	81
113	A_Large_Rock	81
115	KingFaenor	80
115	HollieDaNugget	80
115	mwrty	80
115	BreadBacon	80
119	OfficerAnvil	79
120	SlavBylat	78
121	Skylord_Luke	75
121	yulgur1	75
121	MyNameIsDakar	75
124	xxPipperDipperxx	69
124	_Cloverbelle_	69
126	SPUDonSTEROIDS	67
127	StinkyDiplomat	66
128	Dali1465	64
129	killmeiamtraitor	62
130	Maenara	61
131	aldplaysmc	60
132	Fakiuss	59
133	legal_tax_evader	58
133	The_slideV3	58
133	KatieBelle04	58
133	TheALV	58
133	TrollerYT	58
138	TakeThis2UrGrave	57
138	Drewen24	57
138	Vicemaniac	57
141	SpicyMeatballs	56
141	whoaluv	56
143	TiborSterle	55
143	Poppy235	55
145	felincaus	54
146	Ganongeek	53
146	Zythose	53
146	tobinwilliams	53
149	ClemenPine	52
149	Shadow4381	52
151	Hobobrine	51
151	Septemb3r	51
151	marumochis	51
154	DiscardedCE	50
155	Ripzch	49
155	Legendosh	49
157	Ze1ig	48
157	Toriankel	48
159	Zoeyfortnite	47
160	heckface	46
160	PlasticOtari	46
160	JayToe	46
163	linxthesontaran	45
164	ewsophie	44
164	Bumpy419	44
164	KeruNatsema	44
164	NotMeowMix	44
164	LeeMcGee30	44
169	eviltunix	43
169	Aftrbrnr	43
169	layabout100	43
169	FGamerJ	43
173	TooManyDuck	42
174	Lez_	41
174	DermeinUser	41
174	Shiirazu	41
177	ThiccExotic	40
177	500am	40
177	BuildTheGondola	40
180	Frozil20	39
180	SirUnderpants	39
180	jacxhadow	39
180	Hamsanders	39
180	stuy9	39
180	censorsheep	39
186	mobunni	38
187	intropass	37
187	ImDisconnected_	37
187	33sudo	37
190	eiC_	36
190	Matek_	36
190	_Boipl_	36
190	Sharkbyte0	36
190	RedcatVII	36
195	bbrothers_5	35
195	Moetis	35
197	Frankb	34
197	varvania	34
197	Vizzoid	34
197	Soplight	34
197	Lowjinx	34
202	Nab3rius	32
202	fluddd	32
202	Barlycorn	32
205	claivin	31
205	AvaRosey	31
207	sxc_	30
207	Enderxz3	30
209	Bandito_Roamer	29
209	CompoundMedic	29
209	LitoDelvito	29
209	SUN_DREAM	29
209	switch1e	29
209	Yahrto	29
215	KomputerDude	28
215	dopplexd	28
215	Ardennes	28
215	virtual_acid	28
215	Megarboh	28
215	toj__	28
215	CaptainDeadBread	28
215	Otarichi	28
215	Tyrannosplart	28
215	OG_Songsee	28
225	bigstankyy	27
225	Uzbeki_John	27
225	SirMeowsMucho	27
225	impossibleteapot	27
225	AlexStrange	27
225	FastLane1	27
225	Meatlaugh	27
225	KermitTheKripple	27
233	DarlaMeow	26
233	luckykill123	26
235	Rorrofighter	25
235	wiqor	25
235	SaltiestJustice	25
235	__tomato	25
239	bbquakes	24
239	Motsaro	24
239	lordpipe	24
239	mackintosh_x	24
243	valiSW	23
243	sp00ky_ghost977	23
245	soundad	22
245	Item_Store	22
245	JoshCranlet	22
245	mimbo1211	22
245	rotten_mango	22
245	Professor_x8	22
251	_Virify_	21
251	ratglock	21
251	SaintJosie	21
251	master9067	21
255	Huwulling	20
255	jandrs	20
255	Luigipunch989	20
258	dabloons	19
258	noam464	19
258	jnp_gaming	19
261	Sleek_Storm_721	18
261	mrnosetackle	18
261	LilLizardWizard	18
261	DrGrant	18
261	skote77	18
266	corvidpartyfor6	17
266	Blamphe	17
266	kiluaemc	17
266	Dusk_95	17
266	Cocoamallows	17
266	EricAurum	17
272	dudcreeper	16
272	Sero277	16
272	dongli	16
272	Cidah	16
272	KillerNekoRain	16
272	Alfman007	16
278	Louiis123	15
278	_Minnty_	15
278	_j_u_n_o_	15
278	bruh072	15
278	jaimshae	15
283	gary_	14
283	Froste131	14
283	Cowison	14
283	TheMilkerOfCats	14
283	Houstonion	14
283	Jackster03	14
283	H72l9w	14
283	Euclidoris	14
283	Devintronix	14
283	DarkFisto	14
283	Albertalo	14
283	laolitongxue122	14
283	Zaridey	14
283	Hiryu27	14
283	lOlmantschi	14
283	TahkoLive	14
283	Tobias0113	14
283	iGotUrHost	14
