rank	username	minecraft:mined/minecraft:red_shulker_box
1	TheSecondLord	2877
2	Zythose	1408
3	beeperbeeper5	1399
4	Mahoose	1347
5	Hyp3rion_	1172
6	Eraxa	763
7	thescout7	554
8	YungMaki	535
9	MilleGrug	518
10	Snowflowe	471
11	Lez_	456
12	pintsizedrogue	401
13	HellsSponge	396
14	Spacewardharpy7	392
15	Fullut	366
16	luseis	363
17	Jovaphobic	359
18	BumbleBeever	354
19	CoffeeNoir	342
20	PlasticOtari	337
21	Smashic	335
22	Smoke____	322
23	binman420	315
24	Kowcio_	294
25	FreakGenius	291
26	Lutres_Torane	284
26	lordpipe	284
28	RealGroot	282
29	Quincannon	281
30	Jackattack53	269
31	Blaiku	266
32	claivin	265
33	Ezekson	233
34	noam464	224
35	Awyrlas	223
36	500am	212
37	IamCL4SSY	203
38	TheEnderMan548	201
39	pixelviolin	199
40	Blackberry1310	196
41	NameGenerat0r	195
42	TheDankPlatypus	192
43	Jimb0nat0r	190
44	Soap_Bender	189
45	EveryonesUncle	186
46	eitanzaki	184
47	m_be9	183
48	gusstationwerker	182
49	non089	179
50	XboxPanda	176
51	2Stout	174
51	Groundler	174
53	SaucyDark	171
54	kekhon	168
55	set67	165
56	Bandito_Roamer	164
57	EcksD	161
58	Eczbek	153
59	r123moore	142
60	Burge_r	140
61	Merv__	137
62	thewindmillman	133
63	mwrty	132
64	Skylord_Luke	127
65	xzvu	125
66	6king6colt6	124
67	Mattesco	123
68	Bumpy419	118
69	Xalithia	112
69	obzii	112
71	Fizznut909	110
72	Kakolbus	108
73	Alteriity	107
73	PortlyPete69	107
75	ConnorDanky_	106
76	SpacesickPrism	104
77	rarrq	102
78	Lord_Jord	99
79	DemTechAlpha	98
80	jnp_gaming	97
81	MAns_44	96
82	Inchef	95
83	Fuhrer_Teemo	91
84	Huwulling	86
84	sp00ky_ghost977	86
86	Jimi7hits	83
86	mihimihimihi	83
86	Enderxz3	83
89	Akoot_	81
89	Deathkob	81
91	Historical_Sand	79
91	gcaisawesome	79
91	Steelynan	79
94	RoofTyler	77
94	alderban107	77
96	gabriels543	76
97	Ecplosive	74
98	joethahobo	71
99	Tyrannosplart	70
99	SingedBread	70
101	ImpavidArcher	68
101	AlexxO_o	68
101	TheSeismicDuck	68
104	Hoid_the_Roamer	66
104	MightyWertu	66
104	SvenskaHugo	66
107	Jakobo1337	65
107	HesDemonPants	65
109	Ailmast	64
109	cedric72	64
111	Chromary	63
112	Esme_1	62
112	Skippeh	62
114	diamondgolem35	61
114	Natty	61
114	Blu3beast	61
117	MovingFish7	60
118	corpsecity	59
119	ITDV	58
119	Crowman1	58
119	fade_emerge78823	58
122	teslawolf38	55
122	mobunni	55
