rank	username	minecraft:mined/minecraft:cyan_carpet
1	noam464	1281
2	joethahobo	1095
3	eitanzaki	517
4	Lez_	391
5	Ezekson	219
6	Swexti	199
7	Fullut	177
8	Apollo_993	150
9	luseis	148
10	KingMatthew506	118
11	beeperbeeper5	117
12	Inbefour	103
13	YungMaki	99
14	pintsizedrogue	84
14	heckface	84
16	AdmiralSmoke	59
17	Merv__	48
18	Quotary	45
19	ZeroKraken	44
20	IamCL4SSY	43
20	non089	43
22	Huwulling	36
22	Fildyr	36
24	jnp_gaming	35
25	SaucyDark	32
26	Manaateee	31
27	Rumpletaezer	30
28	PlasticOtari	24
29	Blaiku	22
30	mariominejedi	21
31	mwrty	18
31	emrekn	18
33	Mahoose	15
33	Dakar_	15
33	ConnorDanky_	15
33	Legendosh	15
37	xolstoi	14
38	Factoroni	13
39	CattSoup	12
40	TheSecondLord	11
41	oscminus	10
41	TheShyPig	10
41	AuroraSkies	10
44	Kowcio_	9
44	Soplight	9
46	HellsSponge	8
46	pixelviolin	8
46	Hermanni__	8
49	RebelAndroid	7
49	r123moore	7
49	Spacewardharpy7	7
49	Njensen7	7
53	IWorkAtIkea	6
53	Werbe	6
53	UCP_TheKingK	6
53	TechnoNinja64	6
57	Cowison	5
57	Hysna	5
57	kekhon	5
57	pappaberg	5
57	AlphaWolfPlaysMC	5
57	NameGenerat0r	5
63	Crowman1	4
63	lunathelemon	4
63	Snowflowe	4
63	iSammael	4
63	Dr0xzy	4
68	ImpavidArcher	3
68	500am	3
68	fr_ser	3
68	Nicserso	3
68	00000000-0000-0000-0009-01f6557d802a	3
73	rarrq	2
73	pr33tu	2
73	SteveCraftBlocks	2
73	4774	2
73	XboxPanda	2
73	SvenskaSara	2
73	Mattesco	2
73	Deathkob	2
73	Blu3beast	2
73	Ma_name_alex	2
73	Segotep999	2
73	xzvu	2
73	EngagedGrub41	2
73	Enderxz3	2
87	CLG_Kata	1
87	PhantomsGhost_	1
87	Frozil20	1
87	ImNotYuqii	1
87	Incinere	1
87	Chickenchaser2	1
87	bloodbiter	1
87	LeauVox4921	1
87	Touched_Bread	1
87	Shiirazu	1
87	cedric72	1
87	PineappleZ215	1
87	StinkyDiplomat	1
87	Racengan	1
87	Lunkuku	1
87	StarCookiees_	1
87	lcvezra	1
87	_Yonk_	1
87	CalebDHawk	1
87	Steelynan	1
87	Sral7	1
