rank	username	minecraft:mined/minecraft:lime_shulker_box
1	beeperbeeper5	894
2	pintsizedrogue	637
3	sp00ky_ghost977	375
4	Euclidoris	329
5	Eraxa	321
6	Fullut	305
7	T045RTY	295
7	Inbefour	295
9	joethahobo	271
10	HellsSponge	258
11	Skippeh	203
12	Racengan	191
13	Deathkob	189
14	Merv__	163
15	Hyp3rion_	161
16	Skylord_Luke	152
17	Mahoose	151
17	Xalithia	151
19	Quaintster	148
20	Blaiku	146
21	500am	139
22	NameGenerat0r	138
23	EcksD	126
23	jnp_gaming	126
23	Smoke____	126
26	pixelviolin	125
27	ApophisNova	121
27	MyNamaSheff	121
29	Werbe	117
30	mwrty	109
31	titanlax	108
32	SaucyDark	103
33	Bumpy419	99
34	claivin	94
34	Fizznut909	94
36	eitanzaki	92
37	Historical_Sand	83
37	rarrq	83
39	Groundler	76
40	MightyWertu	72
41	kekhon	71
41	stellarjay	71
43	Chromary	70
44	noam464	68
45	gcaisawesome	66
46	intropass	65
47	chipklip	59
48	fluddd	58
49	lillips	55
50	Zythose	54
51	Snowflowe	52
52	Enderslayerxz3	48
53	oxfordschool	42
54	TheSecondLord	39
55	Jiminie	37
56	YungMaki	35
56	TechnoNinja64	35
58	stahouo	34
59	fr0stss	32
60	Arceus1975	28
60	Xclax101	28
60	Dogcorn69420	28
63	ProfessorBee	27
64	r123moore	26
64	Sky_light_KING	26
66	Quotary	25
67	_Bguette_	23
67	Eczbek	23
69	Myszoaz	22
69	Ecplosive	22
69	MyNameIsJobo	22
69	Soplight	22
73	Marbz_	21
74	Akoot_	20
75	Nicserso	19
76	TheShyPig	17
76	EcksDofficial	17
78	MSK__	16
78	xxPipperDipperxx	16
80	little_dUki	15
80	Zoeyfortnite	15
82	_Virify_	14
82	MixerDixer	14
84	Th6masss	13
84	lordpipe	13
84	jcool7	13
84	Njensen7	13
88	__tomato	12
88	SammiWolfGirl	12
90	JEWISHBadenBeele	11
90	12Magner05	11
90	TheSeismicDuck	11
90	Spacewardharpy7	11
90	Segotep999	11
90	ZeroKraken	11
96	pappaberg	10
96	Lord_Jord	10
96	EveryonesUncle	10
96	Hisiste	10
96	felincaus	10
101	pZygh0st	9
101	Blu3beast	9
103	Jovaphobic	8
103	jushykins	8
103	King_Pancake1	8
103	Steelynan	8
107	Cryptacity	7
107	_Dean_123	7
107	Rumpletaezer	7
107	MangoTheFish	7
107	Hoid_the_Roamer	7
107	Razzgriz	7
107	Miko_Fullbuster	7
114	Katthaj	6
114	ElKaySVK	6
114	K_a__a_n	6
117	seanitoo	5
117	Freak_Genius	5
117	Sral7	5
120	Incinere	4
120	SpaceGrenadier	4
120	emrekn	4
120	thewindmillman	4
120	Steven1282598	4
120	BlueWyvern5170	4
120	sadvavilloso	4
120	Ezekson	4
120	Legendosh	4
120	PlasticOtari	4
130	Di_infiri	3
130	audiocracked	3
130	Soap_Bender	3
130	Smiguli_	3
130	SexcMf	3
130	PortlyPete69	3
136	PhantomsGhost_	2
136	teslawolf38	2
136	6king6colt6	2
136	KarlKaek	2
136	ssleepless	2
136	BoraMC	2
136	noodlepack	2
136	gabriels543	2
136	PigDab	2
136	Shogunite	2
146	IronArshXS	1
146	Masssonnn	1
146	XboxPanda	1
146	TheDankPlatypus	1
146	XLIFluid	1
146	Jackattack53	1
146	SuperPooch06	1
146	drompje	1
146	k1ngGilgamesh	1
146	ToastedGamingYT	1
146	sxc_	1
146	wezzzi	1
146	Frozil12	1
146	Cyntrical	1
146	MovingFish7	1
146	Xovalt_	1
146	Spenduh	1
146	obzii	1
146	_3Stump_	1
146	2blox	1
146	kinas45y5	1
