rank	username	minecraft:mined/minecraft:yellow_bed
1	HellsSponge	111
2	Alteriity	107
3	pintsizedrogue	80
4	EMC_	63
5	Freak_Genius	37
6	kekhon	35
7	Dan_Scha	28
8	Bandito_Roamer	24
9	Di_infiri	22
10	YungMaki	21
11	Zoeyfortnite	20
12	Jackattack53	19
12	Xclax101	19
14	PigDab	18
14	Legendosh	18
16	BlancoFlaco	15
17	JosephCW	14
17	Smoke____	14
19	Louiis123	13
19	CharlieButt	13
21	Frxnkz	12
21	claivin	12
21	El_Jalapeno	12
24	NomadicRobin_	11
25	PegLegPete93	10
25	DanTheBuilderino	10
25	Luigipunch989	10
28	corvidpartyfor6	9
28	sp00ky_ghost977	9
28	2blox	9
28	diggydog67	9
32	Vizzoid	8
32	500am	8
32	Vetral1	8
32	Akoot_	8
32	EveryonesUncle	8
32	lcvezra	8
38	Sleepy_Time_	7
38	Hyp3rion_	7
38	Hoid_the_Roamer	7
38	BlossomOwO	7
38	TheShyPig	7
43	Myrlewen	6
43	MyNameIsDakar	6
45	Groovy_MoonBird	5
45	Mahoose	5
45	benediktine1	5
45	gabriels543	5
45	thewindmillman	5
45	FishyBoy3811	5
45	RodSerlingCringe	5
45	djancak	5
45	Enderslayerxz3	5
54	Mr_Byzantine	4
54	ImpavidArcher	4
54	beeperbeeper5	4
54	uhm__okay	4
54	set67	4
54	thescout7	4
54	emrekn	4
54	Inchef	4
54	ROY4LE	4
54	TableTim	4
54	Freeman666	4
54	AJplaysMC_	4
54	AlexxO_o	4
54	Meepcraft	4
54	Fuad_R	4
54	EfficientC52	4
54	EcksD	4
71	lwyl	3
71	chlorinex	3
71	aikabot	3
71	Notta	3
71	Lumien_	3
71	TerraVl	3
71	Ecplosive	3
71	swag_bro2004	3
71	whoaluv	3
71	burbankbuilder28	3
71	Rebytre	3
71	Benjii05	3
71	LilLizardWizard	3
71	Methalox1	3
71	Kyrum2169	3
71	mawileite	3
71	Kubeusz2010	3
71	blimpeey	3
71	Ezekson	3
71	jnp_gaming	3
91	JohnnyFyes	2
91	soundad	2
91	IronArshXS	2
91	Qalech	2
91	T045RTY	2
91	4383	2
91	bloodbiter	2
91	Albertalo	2
91	MattieHD	2
91	Smashic	2
91	Tmb1	2
91	Awyrlas	2
91	Billeison	2
91	mimbo1211	2
91	ImDisconnected_	2
91	Avermu	2
91	Queen_Jalapeno	2
91	happy_mileo	2
91	Skylord_Luke	2
91	fred870d	2
91	KeruNatsema	2
91	Kim_Jong_eel	2
91	YahooScreen9000	2
91	dezxalo	2
91	Maenara	2
91	ogoa	2
91	420BreadLizard	2
91	NoobSlayerPro	2
91	Frozil12	2
91	splatterhawk	2
91	LordAurum	2
91	Kowcio_	2
91	Soplight	2
91	Spenduh	2
91	MissCeleste7	2
91	BreadBacon	2
91	HesDemonPants	2
91	FishisTTV	2
91	00000000-0000-0000-0009-01ff0c3e5e4f	2
130	MunkaKris	1
130	SaltineDream	1
130	PhantomsGhost_	1
130	Jalvajar	1
130	Mowelan	1
130	Nucket	1
130	SlavBylat	1
130	bigstankyy	1
130	ExtraDumb	1
130	hm947	1
130	Tolhart	1
130	Dipjol	1
130	Ao_Ken	1
130	SpaceGrenadier	1
130	Swexti	1
130	SquadMonster	1
130	Stynxy	1
130	picardred	1
130	titanlax	1
130	Blackberry1310	1
130	Guillemet	1
130	SteveCraftBlocks	1
130	_Magdo_	1
130	eviltunix	1
130	TylerDupree	1
130	LitoDelvito	1
130	Kakolbus	1
130	loveseeker	1
130	V2Loon	1
130	_Boipl_	1
130	Werbe	1
130	CruncyIsTaken	1
130	Shiirazuku	1
130	Moofyman	1
130	Dragonlfw	1
130	Loraxonlyfans	1
130	jewbacaman	1
130	victorLIE	1
130	ToastedGamingYT	1
130	lizardfightclub	1
130	Sky_light_KING	1
130	Klerick	1
130	Leonidas2k17	1
130	AuroraSkies	1
130	Wowful	1
130	audiocracked	1
130	Gryglu583	1
130	AlexChristian	1
130	Jiminie	1
130	ydad	1
130	LexMakesHistory	1
130	Lutres_Torane	1
130	UnThinkable2110	1
130	NameGenerat0r	1
130	Leeeegend	1
130	Blu3beast	1
130	fluddd	1
130	MightyWertu	1
130	VilsSwag	1
130	Vorlice	1
130	Spacewardharpy7	1
130	ZoharGoldMine	1
130	07shiny	1
130	UCP_TheKingK	1
130	Segotep999	1
130	Ossem	1
130	__tomato	1
130	Poppy235	1
130	APS_Dan	1
130	GlitchyPlate810	1
130	HAruSAme14	1
130	ProjectKernel	1
130	Eczbek	1
130	anbbang	1
130	cichy096	1
130	JungeSchnauzer	1
130	little_dUki	1
130	Lowjinx	1
130	Sral7	1
