rank	username	minecraft:mined/minecraft:spruce_wall_sign
1	Lez_	1372
2	beeperbeeper5	476
3	HellsSponge	392
4	ROY4LE	328
5	Mahoose	282
6	TheSecondLord	270
7	500am	246
8	Eraxa	194
9	pintsizedrogue	177
10	kekhon	169
11	non089	137
12	Ryan_GEMS	132
13	joethahobo	120
14	thescout7	103
15	PlasticOtari	97
16	xolstoi	95
17	Enderxz3	89
18	Blackberry1310	78
18	Di_infiri	78
18	TechnoNinja64	78
21	Frozil20	72
21	Arceus1975	72
23	Hyp3rion_	71
24	q_wq	67
25	Mattesco	66
26	Skylord_Luke	63
27	eitanzaki	62
28	Jackattack53	61
29	Soplight	59
30	Chromary	58
31	TheShyPig	57
31	luseis	57
33	Fullut	53
34	Ezekson	50
35	lordpipe	48
36	set67	46
37	EveryonesUncle	45
38	Cryptacity	44
38	Teebone15	44
38	AdmiralSmoke	44
41	wwwwinnebagoooo	43
42	SammiWolfGirl	40
43	ImpavidArcher	39
43	Snowflowe	39
45	Onennon	38
45	Kowcio_	38
45	MineMaster0012	38
45	CalebDHawk	38
45	skrongus	38
50	Legendosh	37
51	Tyrannosplart	35
51	obzii	35
53	Druid95	33
53	ayamefag	33
55	m_be9	32
56	Manaateee	31
56	FadedSpade82	31
56	Skippeh	31
59	oscminus	30
59	Meatlaugh	30
59	claivin	30
59	Groundler	30
59	Warlord324	30
64	12Magner05	29
64	pappaberg	29
64	Felenov	29
67	selectrix	28
68	KarlKaek	27
68	SvenskaHugo	27
68	Segotep999	27
68	xzvu	27
72	Swexti	26
72	Smashic	26
72	Kakolbus	26
72	corpsecity	26
72	MovingFish7	26
72	Steelynan	26
78	Inchef	25
78	fr_ser	25
78	MyNameIsJobo	25
78	_Bguette_	25
82	rarrq	24
82	FreakGenius	24
82	Spacewardharpy7	24
82	_3Stump_	24
86	6king6colt6	23
86	Rumpletaezer	23
86	pixelviolin	23
86	lcvezra	23
90	Merv__	22
90	Comma__	22
90	_Dean_123	22
90	mwrty	22
90	Xclax101	22
90	AssFullaCum	22
90	Jimb0nat0r	22
97	BlancoFlaco	21
98	Jackster03	20
98	Sleepy_Time_	20
98	_Boipl_	20
98	YungMaki	20
102	Myszoaz	19
102	Dakar_	19
102	Blu3beast	19
102	Racengan	19
106	diamondgolem35	18
106	H72l9w	18
106	fluddd	18
106	IAmTheWalrus910	18
106	Ze_BaronKrigler	18
111	H0UNDFRMH3LL	17
111	Natty	17
111	ARandomHedge	17
111	SuperPooch06	17
111	SirPiccardo	17
111	Rebytre	17
111	seramalen	17
111	PigDab	17
111	DarlaMeow	17
120	ApophisNova	16
120	The_Cruncy	16
120	IamCL4SSY	16
120	StinkyDiplomat	16
120	Lord_Doob	16
120	MyNamaSheff	16
126	Prismyst	15
126	Jimi7hits	15
126	_Mythic____	15
126	_TCARREIRA_	15
126	ConnorDanky_	15
131	ChosenBruh	14
131	xxPipperDipperxx	14
131	Covalents	14
131	HyperCave	14
131	Fuad_R	14
131	_Meow_Mix	14
131	ediballbearings	14
131	Nicserso	14
139	Werbe	13
139	ewpunk	13
139	hdtpm	13
139	fffMike	13
139	Powowowow	13
144	soundad	12
144	ECstardust	12
144	SaucyDark	12
144	Deathkob	12
144	Honor555	12
144	KingMatthew506	12
150	k_ce	11
150	MuffinManzz	11
150	squigglybones	11
150	EMC_	11
150	hm947	11
150	bloodbiter	11
150	SteveCraftBlocks	11
150	legal_tax_evader	11
150	RobotMinion101	11
150	SingedBread	11
150	__tomato	11
150	Celeste_121	11
162	Harotio	10
162	RoskobiOne	10
162	Huwulling	10
162	jessewegottacook	10
