rank	username	minecraft:mined/minecraft:stone_button
1	m_be9	936
2	mwrty	931
3	SpacesickPrism	725
4	HellsSponge	652
5	luseis	521
6	Spacewardharpy7	465
7	beeperbeeper5	398
8	thewindmillman	297
9	joethahobo	232
10	thescout7	196
11	noam464	192
12	kekhon	183
13	Yamdalorian	173
14	Jackattack53	165
15	Historical_Sand	164
16	pappaberg	145
17	FreakGenius	143
18	k_ce	140
19	Akoot_	124
20	Mahoose	115
21	Krowuss	108
22	T045RTY	107
23	gcaisawesome	106
24	Powowowow	99
25	GooseWithin	94
26	Lord_Jord	92
26	pixelviolin	92
28	PlasticOtari	90
29	Kakolbus	89
30	YungMaki	86
31	Di_infiri	81
32	Hyp3rion_	80
33	jacxhadow	79
34	PazinGaming	75
34	Ezekson	75
36	lordpipe	74
37	eitanzaki	73
38	titanlax	65
38	Arceus1975	65
40	mihimihimihi	63
41	ApophisNova	60
41	hermmm_	60
41	MyNamaSheff	60
44	slkiey	58
45	NomadicRobin_	53
45	PortlyPete69	53
47	Alteriity	51
47	Lez_	51
47	legal_tax_evader	51
50	Manaateee	50
51	TheShyPig	48
52	EMC_	45
52	StarCookiees_	45
54	500am	44
55	bigstankyy	42
56	ImpavidArcher	41
56	Xalithia	41
56	burbankbuilder28	41
59	Eczbek	39
60	ECstardust	37
61	SteveCraftBlocks	36
61	Mattesco	36
61	NameGenerat0r	36
61	Soplight	36
61	UrbanPlanningEx	36
66	pintsizedrogue	35
66	TheSecondLord	35
68	DarlaMeow	34
69	rarrq	33
69	bloodbiter	33
71	Blackberry1310	31
71	12Magner05	31
71	Kowcio_	31
71	smogfrog	31
75	Frozil20	29
76	Sparky_KT	28
76	Blaiku	28
76	EcksD	28
79	Fullut	27
79	Maenara	27
79	EveryonesUncle	27
79	Deathkob	27
79	MightyWertu	27
79	Enderxz3	27
85	Mr_Byzantine	26
86	wwwwinnebagoooo	25
87	PhantomsGhost_	24
87	VentiHilton	24
89	ShedJr_	23
89	FirsTimeGamingTV	23
89	Werbe	23
89	PigDab	23
89	Xclax101	23
94	RobotMinion101	22
94	Blu3beast	22
94	jcool7	22
97	_Huge_Male_	20
97	RoskobiOne	20
97	Merv__	20
97	Ryan_GEMS	20
97	Rich_Kat	20
97	fluddd	20
97	WyngGoy	20
104	diamondgolem35	19
104	ooga47	19
104	Fuad_R	19
104	El_Jalapeno	19
108	excelsionprime	18
108	Winklepicker279	18
108	Legendosh	18
111	Inchef	17
111	fragrantmonke444	17
111	SuperPooch06	17
111	Groundler	17
111	skitzxo	17
116	set67	16
116	Rumpletaezer	16
116	Snowflowe	16
116	KingMatthew506	16
116	TechnoNinja64	16
116	Sral7	16
122	Malorn_Aetherius	15
122	ProfessorBee	15
122	Pumpkin_P_Patch	15
125	MinttyFressh	14
125	AlexxO_o	14
125	sp00ky_ghost977	14
125	BlankityMcBlank	14
129	wobn	13
129	MAns_44	13
129	Racengan	13
129	Teebone15	13
133	Chromary	12
133	Fildyr	12
133	TheKingK_	12
133	obzii	12
133	Jimb0nat0r	12
138	CLG_Kata	11
138	teslawolf38	11
138	tuckerdoodle	11
138	MoistMicrowave	11
138	Zythose	11
138	CrateOfBoxes	11
138	oscminus	11
138	Onennon	11
138	ReSynced	11
138	Druid95	11
138	Nicserso	11
149	Swexti	10
149	oreee	10
149	Smashic	10
149	seramalen	10
149	__tomato	10
149	CalebDHawk	10
155	j5ylim	9
155	Bandito_Roamer	9
155	Napoleonpancake	9
155	ssleepless	9
155	abdomera	9
155	Archsam	9
155	BobDeBouwer1337	9
155	WET_WET_WET	9
155	Azmodan_246	9
155	Bumpy419	9
155	IamCL4SSY	9
155	EdGalbraith	9
155	claivin	9
155	StinkyDiplomat	9
155	layabout100	9
155	starbits140	9
155	SammiWolfGirl	9
172	SmashingPump	8
172	KarlKaek	8
172	RebelAndroid	8
172	skroobiez	8
172	Nicky_H225	8
172	catandmoose	8
172	imcombxt	8
172	SeverianOfUrth	8
172	crashomon	8
172	MyNameIsJobo	8
172	Shiirazu	8
172	valkam13	8
172	Shogunite	8
172	BumbleBeever	8
172	Eraxa	8
172	fffMike	8
172	HesDemonPants	8
189	q_wq	7
189	fr0stss	7
189	heckface	7
189	crying_wolf_13	7
189	xxPipperDipperxx	7
189	hcb238	7
189	Hiryu27	7
189	Fuhrer_Teemo	7
189	Cyntrical	7
189	lunkuku	7
189	Luigipunch989	7
189	TheWickedBird	7
201	6king6colt6	6
201	Gregward_Smith	6
201	zorin123	6
201	himak1	6
201	KGTV	6
201	CharlieButt	6
201	M_Patata	6
201	ZeroAbyssTTV	6
201	Kouridragon	6
201	Mr_Sun15	6
201	Aangezet	6
201	ILoveCarrot	6
201	Trever101	6
201	SkateboardR6	6
201	Hisiste	6
201	Conrad139	6
201	stellarjay	6
201	EngagedGrub41	6
201	Skippeh	6
220	ItsGrayWolf	5
220	Jovaphobic	5
220	Groovy_MoonBird	5
220	soundad	5
220	KingFaenor	5
220	MattieHD	5
220	_Dean_123	5
220	4774	5
220	HoltGrim	5
220	DermeinUser	5
220	bl1ss0	5
220	CaptainSteve345	5
220	corpsecity	5
220	AnnieBathory	5
220	epiksk8erduck	5
220	KeruNatsema	5
220	Luminad3	5
220	Jimi7hits	5
220	Elastiq	5
220	Sorry_Arey	5
220	emreknugrlu	5
220	Typadopoulos	5
220	Lord_Doob	5
220	_Mythic____	5
220	tsitrawhy	5
220	non089	5
220	ProbsNotNova	5
220	Steelynan	5
220	jnp_gaming	5
249	Apollo_993	4
249	Sleek_Storm_721	4
249	gren_ben	4
249	Huwulling	4
249	Ssor69	4
249	Comma__	4
249	Mewar	4
249	eviltunix	4
249	Stiar	4
249	Gzrdy	4
249	Boipl	4
249	Hoid_the_Roamer	4
249	Skylord_Luke	4
249	grislgrobl	4
249	HyperCave	4
249	wrinkledpiglet	4
249	fkGrim	4
249	AspenLightVT	4
249	Soap_Bender	4
249	Ritter__	4
249	GravitySaint	4
249	QuesoCrusaderIII	4
249	ConnorTG5	4
249	xzvu	4
249	Nargotah	4
249	Winston_Ingram	4
249	ConnorDanky_	4
249	FelixPSY375	4
277	dimondking777	3
277	powercas_gamer	3
277	Julmish	3
277	Dark_Crusader21	3
277	Cryptacity	3
277	Tiberonus	3
277	pr33tu	3
277	Awyrlas	3
277	Covalents	3
277	Doom_melon	3
277	dendydoom	3
277	Will_Bee	3
277	Jekyll	3
277	TheWildMateo	3
277	k1ngGilgamesh	3
277	Leyna3	3
277	KliBeast21	3
277	Wowful	3
277	NoChumpChange	3
277	ese_wn_po	3
277	Tyrannosplart	3
277	DemTechAlpha	3
277	Vorlice	3
277	MakeHistory157	3
