rank	username	minecraft:mined/minecraft:potted_spruce_sapling
1	SaucyDark	11
2	Mahoose	10
3	PlasticOtari	8
4	EcksDofficial	7
5	Inchef	5
6	Freak_Genius	4
7	AuroraValkyrie	3
8	pintsizedrogue	2
8	KarlKaek	2
8	ImpavidArcher	2
8	BlancoFlaco	2
8	beeperbeeper5	2
8	dopplexd	2
8	kekhon	2
8	Chromary	2
8	Dusk_95	2
8	Ze_BaronKrigler	2
8	lcvezra	2
8	sebastiensaborio	2
20	jacxhadow	1
20	bloodbiter	1
20	eclipseboi	1
20	500am	1
20	Windo_licker	1
20	Rumpletaezer	1
20	Rebytre	1
20	CruncyIsTaken	1
20	_naturell	1
20	LibertyMutual	1
20	Jiminie	1
20	ydad	1
20	MyNameIsDakar	1
20	Frozil12	1
20	MakeHistory157	1
20	Eraxa	1
20	YungMaki	1
20	Ezekson	1
20	MeetTheWollo	1
20	Smoke____	1
