rank	username	minecraft:mined/minecraft:quartz_stairs
1	Di_infiri	2679
2	Hyp3rion_	2021
3	Legendosh	831
4	noam464	793
5	Rumpletaezer	731
6	Groundler	710
7	Lord_Jord	570
8	EveryonesUncle	544
9	beeperbeeper5	457
10	Lez_	433
11	Merv__	412
12	himak1	391
13	kekhon	385
14	Mahoose	377
15	TheShyPig	376
16	shineh10	374
17	Frozil20	365
18	500am	364
19	titanlax	357
20	ImpavidArcher	356
21	PlasticOtari	331
22	lordpipe	328
23	m_be9	288
24	jnp_gaming	284
25	joethahobo	282
26	xolstoi	277
27	burbankbuilder28	271
28	Jackattack53	263
29	Soplight	240
30	Spacewardharpy7	234
31	Sral7	222
32	I_Am_Mushkin	205
33	eitanzaki	178
34	Wooptey	173
35	MakeHistory157	171
35	Smoke____	171
37	xzvu	161
38	xxPipperDipperxx	152
39	Inbefour	150
40	TheWildMateo	146
41	Incinere	137
41	FreakGenius	137
43	Kouridragon	132
44	SuperPooch06	130
45	Marbz_	128
46	soundad	126
47	CliffEmAll	125
48	The_slideV3	123
49	Xclax101	121
50	Tyrannosplart	117
50	EcksD	117
52	pintsizedrogue	105
53	HellsSponge	101
54	__tomato	99
55	Ssor69	97
56	Comma__	94
57	ROY4LE	93
58	KarlKaek	91
59	SaintJosie	90
59	StinkyDiplomat	90
59	Eraxa	90
62	SammiWolfGirl	86
63	gusstationwerker	79
64	Nycteus_	78
65	ProfessorBee	75
65	RoofTyler	75
67	Winklepicker279	74
67	MyNameIsDakar	74
69	Whiterooster001	72
70	EMC_	71
71	CoffeeNoir	70
71	fffMike	70
73	rarrq	69
74	Skippeh	66
75	TheSecondLord	65
76	Truckoss	64
76	FishyBoy3811	64
78	Ezekson	57
79	nocturne78	56
79	claivin	56
81	MightyWertu	53
82	Skylord_Luke	51
82	Optiprimus	51
84	Enderxz3	50
85	ITDV	48
86	_Karmaa	47
86	Kowcio_	47
88	Blackberry1310	46
89	Blu3beast	45
90	Maenara	43
90	Mythic1130	43
92	YungMaki	41
92	EngagedGrub41	41
94	Swexti	39
94	Werbe	39
96	pixelviolin	38
97	hanaryheatwave	36
97	Akoot_	36
99	alderban107	35
100	PazinGaming	34
100	Lutres_Torane	34
102	theonlymagikarp	33
102	Blaiku	33
104	Groovy_MoonBird	32
104	dartwaffle	32
106	Huwulling	31
106	Crowman1	31
108	NinjaKnifeKill	30
108	MovingFish7	30
110	NomadicRobin_	29
111	asspharte	28
111	obzii	28
113	AuroraValkyrie	27
113	jessewegottacook	27
113	Elastiq	27
116	ssleepless	25
116	NieToksikpl	25
116	Deathkob	25
119	Leyna3	23
119	Blamphe	23
119	K_a__a_n	23
119	Steelynan	23
123	Jovaphobic	22
123	Cowison	22
123	SaucyDark	22
123	Fullut	22
123	r123moore	22
123	Rebytre	22
129	_Huge_Male_	21
129	thescout7	21
129	CharlieButt	21
129	weabis	21
129	SexcMf	21
134	bearlystraight	19
135	eclipseboi	18
136	epiksk8erduck	17
136	audiocracked	17
136	CattSoup	17
136	Nicserso	17
140	Bazongoman	16
140	AJplaysMC_	16
140	Fuad_R	16
140	AssFullaCum	16
144	Jackster03	15
144	Historical_Sand	15
146	lorpus	13
146	ooga47	13
146	Sheldor097	13
146	FelixPSY375	13
150	eiC_	12
150	ApophisNova	12
150	LexMakesHistory	12
150	MyNamaSheff	12
154	paranoid_plant	11
154	luseis	11
156	Arceus1975	10
156	Barlycorn	10
156	trexgb	10
159	teslawolf38	9
159	diamondgolem35	9
159	set67	9
159	Chromary	9
159	thewindmillman	9
159	Zythose	9
159	tobinwilliams	9
159	NameGenerat0r	9
159	erkada	9
168	Kakolbus	8
168	CrateOfBoxes	8
170	12Magner05	7
170	pr33tu	7
170	CarryLine	7
170	_Bguette_	7
170	SlinkyPinky	7
170	SingedBread	7
170	KingMatthew506	7
170	AltnumberF4	7
178	Myszoaz	6
178	mwrty	6
178	Inchef	6
178	Kyrum2169	6
178	SSytex_X	6
183	SquadMonster	5
183	jacxhadow	5
183	Avrelion	5
183	MyNameIsJobo	5
187	BPTY4618	4
187	6king6colt6	4
187	ShedJr_	4
187	Ardennes	4
187	SteveCraftBlocks	4
187	Doom_melon	4
187	Snowflowe	4
187	Mattesco	4
187	ougstur	4
187	fkGrim	4
187	Factoroni	4
187	Fizznut909	4
187	jcool7	4
187	TechnoNinja64	4
187	JayToe	4
187	diggydog67	4
203	Mr_Byzantine	3
203	Cortexia	3
203	_Nuf	3
203	PegLegPete93	3
203	Onennon	3
203	AlexxO_o	3
203	GooseWithin	3
203	FreddyFart	3
203	KlausVonStiglitz	3
203	Hermanni__	3
213	Sleek_Storm_721	2
213	ColeSnyder	2
213	Hpdinosaur	2
213	Reamdin	2
213	shdesolt	2
213	Smashic	2
213	Awyrlas	2
213	Touched_Bread	2
213	drunkeeez	2
213	Karetoko	2
213	k1ngGilgamesh	2
213	KeruNatsema	2
213	wobn	2
213	Quincannon	2
213	BartekB19	2
213	OG_Songsee	2
213	bloomkieren	2
213	MineMaster0012	2
213	tsitrawhy	2
213	Jimb0nat0r	2
213	bladeefan2009	2
213	The_SlideV5	2
235	CadenSteele	1
235	bigstankyy	1
235	Sabby65	1
235	T045RTY	1
235	ZaneABrain	1
235	MattieHD	1
235	Scathra	1
235	emrekn	1
235	Xalithia	1
235	Jonafrog99	1
235	_Boipl_	1
235	F_Uhre	1
235	ClemenPine	1
235	Luminad3	1
235	LOCKUPTHEVAULT	1
235	DemTechAlpha	1
235	DarlaMeow	1
235	Deerfoot	1
235	MAns_44	1
235	carpet4_69	1
235	marumochis	1
235	BumbleBeever	1
235	wwwwinnebagoooo	1
235	TheTommyGun63	1
235	WyngGoy	1
235	Kura2218	1
235	SvenskaHugo	1
235	PortlyPete69	1
235	Dogcorn69420	1
235	MilleGrug	1
235	striker90333	1
235	VentiHilton	1
235	Iamthejo	1
235	ConnorDanky_	1
235	FishisTTV	1
