rank	username	minecraft:mined/minecraft:magenta_stained_glass
1	Swexti	532
2	eiC_	508
3	Winklepicker279	456
4	Bandito_Roamer	198
5	YungMaki	187
6	lordpipe	176
7	Racengan	138
8	Ecplosive	123
9	Sral7	121
10	TechnoNinja64	114
11	TheSecondLord	108
12	Smoke____	103
13	Mewar	101
13	Blu3beast	101
15	jnp_gaming	93
16	TheEnderman548	91
17	PigDab	87
18	mwrty	72
19	beeperbeeper5	68
19	ROY4LE	68
21	Comma__	66
22	PhantomsGhost_	63
23	gabriels543	62
24	Di_infiri	53
24	masskedman	53
26	Fullut	52
26	Inbefour	52
26	Freak_Genius	52
29	nataliecool	50
30	Mahoose	48
30	_naturell	48
32	AltnumberF4	47
33	MinttyFressh	42
34	thewindmillman	41
35	gcaisawesome	40
36	Marbz_	39
36	madderfall	39
38	Werbe	37
38	OG_Songsee	37
40	fred870d	35
41	eitanzaki	34
42	CollinMH06	33
43	6king6colt6	32
43	awesomeoneme	32
45	set67	28
45	NameGenerat0r	28
47	LilyNova	27
47	Groundler	27
49	Inchef	26
50	HellsSponge	25
51	egglapras	24
52	Nagasaki_Riku	23
53	CoffeeNoir	21
53	pr33tu	21
53	Covalents	21
53	Onennon	21
53	SkateboardR6	21
53	striker90333	21
59	Hermanni__	20
59	UrbanPlanner1978	20
61	500am	19
61	Fizznut909	19
61	vandmanden	19
64	Maenara	18
64	claivin	18
64	Frozil12	18
64	_TCARREIRA_	18
68	thescout7	17
68	DC_XII	17
70	Jackattack53	16
70	yulgur1	16
70	MyNameIsDakar	16
70	Hisiste	16
70	stahouo	16
70	Ezekson	16
76	AuroraValkyrie	15
76	bigstankyy	15
78	NotMeanttoChange	14
78	Blaiku	14
78	Physics_Breaker	14
81	Historical_Sand	13
81	Rich_Kat	13
81	Awyrlas	13
81	Jij0	13
81	Dogcorn69420	13
86	noam464	12
86	__tomato	12
88	Bumpy419	11
89	BodaciousCake	10
89	NotMeowMix	10
89	SvenskaHugo	10
89	Winston_Ingram	10
93	Ailmast	9
93	Kakolbus	9
93	AlexxO_o	9
93	audiocracked	9
93	chipklip	9
93	MustaLoordi	9
93	Kowcio_	9
93	lcvezra	9
101	Groovy_MoonBird	8
101	__TheNorseMan__	8
101	XboxPanda	8
101	Avermu	8
101	pappaberg	8
101	lizardfightclub	8
101	Nycteus_	8
101	Steelynan	8
109	Dedalus36	7
109	ssleepless	7
109	Myszoaz	7
109	MattieHD	7
109	Zaridey	7
109	Quaintster	7
109	_k2x	7
109	MakeHistory157	7
109	ayamefag	7
109	Enderslayerxz3	7
109	PlasticOtari	7
120	Lepthymo	6
120	SaucyDark	6
120	T045RTY	6
120	shyshyannne	6
120	domagawha	6
120	Ender_Souls	6
120	fw3xywashere	6
120	fluddd	6
120	Spacewardharpy7	6
120	kinas45y5	6
130	m_be9	5
130	Scathra	5
130	surfinggiraffejp	5
130	Noah_Bez	5
130	Zythose	5
130	TheWildMateo	5
130	Rasmanden	5
130	MrQuanQuan	5
130	fkGrim	5
130	SingedBread	5
130	stavgod	5
130	ProbsNotNova	5
130	trexgb	5
143	Iagoku	4
143	TooManyDuck	4
143	Wooptey	4
143	rarrq	4
143	zorin123	4
143	SellyZ	4
143	r123moore	4
143	Hyp3rion_	4
143	Afinnity	4
143	SvenskaAlvar	4
143	TheShyPig	4
143	ClemenPine	4
143	Akoot_	4
143	TheSeismicDuck	4
143	Deodorante	4
143	1442	4
143	Shogunite	4
143	laron58	4
143	tartanboy	4
143	Skippeh	4
163	Houstonion	3
163	RebelAndroid	3
163	SailiXX	3
163	xxPipperDipperxx	3
163	ToastedGamingYT	3
163	wezzzi	3
163	lillips	3
163	_Karmaa	3
163	Xclax101	3
163	MightyWertu	3
163	ItsJWolff	3
163	MovingFish7	3
163	TheDumbHuman	3
163	Segotep999	3
163	felincaus	3
163	MilleGrug	3
163	Aryamanee	3
163	FishisTTV	3
181	pintsizedrogue	2
181	EMC_	2
181	ExtraDumb	2
181	Incinere	2
181	bloodbiter	2
181	ProfessorBee	2
181	MyNameIsJobo	2
181	Snowflowe	2
181	SamZombie	2
181	Donutt	2
181	FishyBoy3811	2
181	AuroraSkies	2
181	Gab4101	2
181	Quincannon	2
181	Aezekial	2
181	Razzgriz	2
181	ElectricDragon81	2
181	Spenduh	2
181	stellarjay	2
181	VentiHilton	2
181	Nicserso	2
181	FelixPSY375	2
181	Earlesstrain4	2
204	Merv__	1
204	IronArshXS	1
204	SpaceGrenadier	1
204	FirsTimeGamingTV	1
204	Blackberry1310	1
204	jushykins	1
204	crying_wolf_13	1
204	groggregg42	1
204	Hoshi	1
204	Rumpletaezer	1
204	WET_WET_WET	1
204	MangoTheFish	1
204	Shiirazuku	1
204	HyperCave	1
204	TheTrueClipse	1
204	DTwenty	1
204	MAns_44	1
204	501g	1
204	GravitySaint	1
204	cog	1
204	Warlord324	1
204	Dusk_95	1
204	Optiprimus	1
204	sadvavilloso	1
204	Juh1s	1
204	Eczbek	1
204	EcksD	1
