rank	username	minecraft:mined/minecraft:dead_fire_coral
1	Di_infiri	22
1	Blaiku	22
3	HellsSponge	9
4	Blackberry1310	3
5	ApophisNova	2
5	pixelviolin	2
5	Kowcio_	2
5	MyNamaSheff	2
9	eitanzaki	1
9	titanlax	1
9	eclipseboi	1
9	doublemaki	1
